financials.Month Name,financials.Country,Sum(financials. Sales),
April,United States of America,1616624.475,"1616624.475,0,1616624.475"
April,Canada,1593562.95,"1593562.95,1616624.475,3210187.425"
April,France,1332862.6950000003,"1332862.6950000003,4605000.885,5937863.58"
April,Germany,1394813.46,"1394813.46,3210187.425,4605000.885"
April,Mexico,1026911.49,"1026911.49,5937863.58,6964775.07"
August,United States of America,2007266.1199999999,"2007266.1199999999,0,2007266.1199999999"
August,Canada,952043.0399999999,"952043.0399999999,4132777.29,5084820.33"
August,France,779802.09,"779802.09,5084820.33,5864622.42"
August,Germany,1046755.1699999999,"1046755.1699999999,3086022.12,4132777.29"
August,Mexico,1078756,"1078756,2007266.1199999999,3086022.12"
December,United States of America,2394507.6799999997,"2394507.6799999997,14972721.299999997,17367228.979999997"
December,Canada,5546988.63,"5546988.63,0,5546988.63"
December,France,3325070.5199999996,"3325070.5199999996,5546988.63,8872059.149999999"
December,Germany,3141199.29,"3141199.29,8872059.149999999,12013258.439999998"
December,Mexico,2959462.8600000003,"2959462.8600000003,12013258.439999998,14972721.299999997"
February,United States of America,1332890.66,"1332890.66,5964640.7299999995,7297531.39"
February,Canada,1482165.98,"1482165.98,3135138.88,4617304.859999999"
February,France,1537438.46,"1537438.46,1597700.42,3135138.88"
February,Germany,1347335.8699999999,"1347335.8699999999,4617304.859999999,5964640.7299999995"
February,Mexico,1597700.42,"1597700.42,0,1597700.42"
January,United States of America,1346026.485,"1346026.485,3200543.595,4546570.08"
January,Canada,1186256.49,"1186256.49,4546570.08,5732826.57"
January,France,1544720.745,"1544720.745,1655822.85,3200543.595"
January,Germany,874935.11,"874935.11,5732826.57,6607761.680000001"
January,Mexico,1655822.85,"1655822.85,0,1655822.85"
July,United States of America,2308798.125,"2308798.125,0,2308798.125"
July,Canada,2109549.285,"2109549.285,2308798.125,4418347.41"
July,France,1148065.08,"1148065.08,6027897.16,7175962.24"
July,Germany,1609549.75,"1609549.75,4418347.41,6027897.16"
July,Mexico,926957.94,"926957.94,7175962.24,8102920.18"
June,United States of America,1323610.8,"1323610.8,8195283.02,9518893.82"
June,Canada,2725979.4,"2725979.4,0,2725979.4"
June,France,1629183.98,"1629183.98,6566099.04,8195283.02"
June,Germany,1630025.24,"1630025.24,4936073.8,6566099.04"
June,Mexico,2210094.4,"2210094.4,2725979.4,4936073.8"
March,United States of America,1789974.47,"1789974.47,0,1789974.47"
March,Canada,811132.5,"811132.5,4296217.779999999,5107350.279999999"
March,France,1559748.75,"1559748.75,1789974.47,3349723.2199999997"
March,Germany,479509.59,"479509.59,5107350.279999999,5586859.869999999"
March,Mexico,946494.56,"946494.56,3349723.2199999997,4296217.779999999"
May,United States of America,1949249.3499999999,"1949249.3499999999,0,1949249.3499999999"
May,Canada,783941.6699999999,"783941.6699999999,5426269.39,6210211.06"
May,France,1042776.97,"1042776.97,4383492.42,5426269.39"
May,Germany,1317483,"1317483,1949249.3499999999,3266732.3499999996"
May,Mexico,1116760.07,"1116760.07,3266732.3499999996,4383492.42"
November,United States of America,3093502.6500000004,"3093502.6500000004,0,3093502.6500000004"
November,Canada,2372659.3600000003,"2372659.3600000003,5833131.85,8205791.21"
November,France,2109571.89,"2109571.89,10541845.61,12651417.5"
November,Germany,2336054.4000000004,"2336054.4000000004,8205791.21,10541845.61"
November,Mexico,2739629.1999999997,"2739629.1999999997,3093502.6500000004,5833131.85"
October,United States of America,3457102.9999999995,"3457102.9999999995,11747168.4,15204271.4"
October,Canada,3445532.7600000007,"3445532.7600000007,15204271.4,18649804.16"
October,France,5770138.52,"5770138.52,5977029.880000001,11747168.4"
October,Germany,5977029.880000001,"5977029.880000001,0,5977029.880000001"
October,Mexico,3021626.86,"3021626.86,18649804.16,21671431.02"
September,United States of America,2410276.35,"2410276.35,2574792.58,4985068.93"
September,Canada,1877842.8199999998,"1877842.8199999998,7335718.99,9213561.81"
September,France,2574792.58,"2574792.58,0,2574792.58"
September,Germany,2350650.06,"2350650.06,4985068.93,7335718.99"
September,Mexico,1669135.46,"1669135.46,9213561.81,10882697.27"
