measures-as-group,Orders.Order Date.Variation.Date Hierarchy.Year,Sum(Orders.Discount),
Sum of Discount,2014,315.46000000000123,"315.46000000000123,-11.629999999999598,303.83000000000163"
Sum of Discount,2015,327.0900000000008,"327.0900000000008,303.83000000000163,630.9200000000025"
Sum of Discount,2016,400.3200000000016,"400.3200000000016,630.9200000000025,1031.240000000004"
Sum of Discount,2017,518.220000000001,"518.220000000001,1031.240000000004,1549.460000000005"
Sum of Profit,2014,49543.97409999975,"49543.97409999975,-12074.629600000131,37469.34449999962"
Sum of Profit,2015,61618.60369999988,"61618.60369999988,37469.34449999962,99087.9481999995"
Sum of Profit,2016,81795.17430000003,"81795.17430000003,99087.9481999995,180883.12249999953"
Sum of Profit,2017,93512.21760000032,"93512.21760000032,180883.12249999953,274395.34009999986"
Sum of Sales,2014,484247.4981000005,"484247.4981000005,13714.989099999948,497962.48720000044"
Sum of Sales,2015,470532.50900000054,"470532.50900000054,497962.48720000044,968494.996200001"
Sum of Sales,2016,609205.5980000026,"609205.5980000026,968494.996200001,1577700.5942000034"
Sum of Sales,2017,733458.4152000013,"733458.4152000013,1577700.5942000034,2311159.0094000045"
Count of Row ID,2014,1993,"1993,-109,1884"
Count of Row ID,2015,2102,"2102,1884,3986"
Count of Row ID,2016,2587,"2587,3986,6573"
Count of Row ID,2017,3313,"3313,6573,9886"
New Measure,2014,1,"1,0,1"
New Measure,2015,1,"1,1,2"
New Measure,2016,1,"1,2,3"
New Measure,2017,1,"1,3,4"
