Orders.Category,Orders.City,CountNonNull(Orders.Row ID),
Furniture,Akron,3655,NaN
Furniture,Alexandria,10810,NaN
Furniture,Allen,2975,NaN
Furniture,Allentown,1528,NaN
Furniture,Amarillo,18444,NaN
Furniture,Anaheim,64749,NaN
Furniture,Andover,8333,NaN
Furniture,Apopka,5688,NaN
Furniture,Apple Valley,11855,NaN
Furniture,Arlington,56124,NaN
Furniture,Arvada,933,NaN
Furniture,Athens,8357,NaN
Furniture,Atlanta,24333,NaN
Furniture,Auburn,4805,NaN
Furniture,Aurora,89080,NaN
Furniture,Austin,15572,NaN
Furniture,Bakersfield,32345,NaN
Furniture,Baltimore,66857,NaN
Furniture,Bangor,2257,NaN
Furniture,Beaumont,9832,NaN
Furniture,Belleville,8463,NaN
Furniture,Bellevue,7295,NaN
Furniture,Bellingham,2568,NaN
Furniture,Bethlehem,19143,NaN
Furniture,Bloomington,12684,NaN
Furniture,Boise,4193,NaN
Furniture,Bossier City,7665,NaN
Furniture,Bowling Green,1842,NaN
Furniture,Boynton Beach,11014,NaN
Furniture,Brentwood,1985,NaN
Furniture,Bristol,7197,NaN
Furniture,Broken Arrow,9494,NaN
Furniture,Broomfield,11495,NaN
Furniture,Brownsville,10656,NaN
Furniture,Bryan,9920,NaN
Furniture,Buffalo,35062,NaN
Furniture,Buffalo Grove,5751,NaN
Furniture,Bullhead City,4337,NaN
Furniture,Burbank,7328,NaN
Furniture,Burlington,28495,NaN
Furniture,Caldwell,5999,NaN
Furniture,Camarillo,29622,NaN
Furniture,Cambridge,8044,NaN
Furniture,Canton,426,NaN
Furniture,Carol Stream,6979,NaN
Furniture,Carrollton,11505,NaN
Furniture,Champaign,3865,NaN
Furniture,Chandler,19338,NaN
Furniture,Charlotte,38222,NaN
Furniture,Charlottesville,6674,NaN
Furniture,Chattanooga,23632,NaN
Furniture,Chesapeake,18379,NaN
Furniture,Chester,10557,NaN
Furniture,Cheyenne,5870,NaN
Furniture,Chicago,341690,NaN
Furniture,Chico,36456,NaN
Furniture,Chula Vista,3778,NaN
Furniture,Cincinnati,2161,NaN
Furniture,Citrus Heights,4296,NaN
Furniture,Clarksville,16942,NaN
Furniture,Cleveland,39919,NaN
Furniture,Clifton,7983,NaN
Furniture,Clinton,47461,NaN
Furniture,College Station,2151,NaN
Furniture,Colorado Springs,26399,NaN
Furniture,Columbia,89970,NaN
Furniture,Columbus,231436,NaN
Furniture,Concord,53951,NaN
Furniture,Conway,5860,NaN
Furniture,Coral Gables,8923,NaN
Furniture,Coral Springs,11727,NaN
Furniture,Corpus Christi,14013,NaN
Furniture,Costa Mesa,18992,NaN
Furniture,Covington,7439,NaN
Furniture,Cranston,50623,NaN
Furniture,Cuyahoga Falls,1152,NaN
Furniture,Dallas,174159,NaN
Furniture,Danbury,8392,NaN
Furniture,Danville,4589,NaN
Furniture,Daytona Beach,8207,NaN
Furniture,Dearborn,6261,NaN
Furniture,Dearborn Heights,3474,NaN
Furniture,Decatur,56689,NaN
Furniture,Deltona,5106,NaN
Furniture,Denver,61282,NaN
