4000.County,4000.Category,4000.Invoice/Item Number,Sum(4000.Sale (Dollars)),
Allamakee,1051110,S22877600010,203.28,"203.28,0,203.28"
Allamakee,1062310,S23488300026,486,"486,0,486"
Appanoose,1012100,S14780800011,305.88,"305.88,0,305.88"
Benton,1081200,S06682600011,305.88,"305.88,0,305.88"
Benton,1081015,S26347500007,249.48,"249.48,0,249.48"
Black Hawk,1012100,S09577800016,278.94,"278.94,0,278.94"
Black Hawk,1031080,S19555000013,322.8,"322.8,0,322.8"
Black Hawk,1031080,S26569700008,198.24,"198.24,322.8,521.04"
Black Hawk,1031080,S12522500030,194.22,"194.22,521.04,715.26"
Black Hawk,1031080,S25986500002,180.36,"180.36,715.26,895.62"
Black Hawk,1081200,S14055000066,294,"294,0,294"
Black Hawk,1012300,S10478000009,2412,"2412,0,2412"
Black Hawk,1012200,S12223700005,220.32,"220.32,0,220.32"
Black Hawk,1012200,S09897200020,183.96,"183.96,220.32,404.28"
Black Hawk,1022100,S26948200001,6844.32,"6844.32,0,6844.32"
Black Hawk,1022100,S23351700011,486,"486,6844.32,7330.32"
Black Hawk,1022100,S18740000069,224.88,"224.88,7330.32,7555.2"
Black Hawk,1022100,S08736600003,215.52,"215.52,7555.2,7770.72"
Black Hawk,1062310,S16385800070,422.88,"422.88,0,422.88"
Black Hawk,1062310,S24497500063,212.04,"212.04,422.88,634.92"
Black Hawk,1062310,S23115800011,211.56,"211.56,634.92,846.48"
Black Hawk,1062310,S05219100034,197.88,"197.88,846.48,1044.3600000000001"
Black Hawk,1081390,S24147200026,567.12,"567.12,0,567.12"
Black Hawk,1081390,S12384200058,229.56,"229.56,567.12,796.6800000000001"
Black Hawk,1032080,S19206900017,324,"324,0,324"
Black Hawk,1032080,S16288500014,302.28,"302.28,324,626.28"
Black Hawk,1032080,S06222200009,211.2,"211.2,626.28,837.48"
Black Hawk,1081600,S27075800025,2070,"2070,0,2070"
Black Hawk,1081600,S27052600065,276,"276,2070,2346"
Black Hawk,1082900,S07149800008,559.2,"559.2,0,559.2"
Black Hawk,1082900,S16498700048,243,"243,559.2,802.2"
Black Hawk,1082900,S08158100005,234.48,"234.48,802.2,1036.68"
Black Hawk,1082900,S20840300025,216.96,"216.96,1036.68,1253.64"
Black Hawk,(Blank),S29196000002,1628.4,"1628.4,0,1628.4"
Black Hawk,(Blank),S29195700002,651.36,"651.36,1628.4,2279.76"
Black Hawk,(Blank),S29049100001,384,"384,2279.76,2663.76"
Black Hawk,(Blank),S29049400001,192,"192,2663.76,2855.76"
Black Hawk,(Blank),S29049800001,192,"192,2855.76,3047.76"
Black Hawk,(Blank),S29051000001,192,"192,3047.76,3239.76"
Black Hawk,1012210,S11256700007,2429.4,"2429.4,0,2429.4"
Black Hawk,1031100,S28076900010,201.78,"201.78,0,201.78"
Black Hawk,1032200,S06433300027,665.76,"665.76,0,665.76"
Black Hawk,1032200,S04258900037,485.28,"485.28,665.76,1151.04"
Black Hawk,1032200,S22908300012,342,"342,1151.04,1493.04"
Black Hawk,1041100,S04053900011,244.8,"244.8,0,244.8"
Black Hawk,1041100,S14255400037,215.88,"215.88,244.8,460.68"
Black Hawk,1052010,S08723900003,539.88,"539.88,0,539.88"
Black Hawk,1052010,S06123100028,310.56,"310.56,539.88,850.44"
Black Hawk,1052010,S22740300001,294.12,"294.12,850.44,1144.56"
Black Hawk,1052010,S03907100002,292.08,"292.08,1144.56,1436.6399999999999"
Black Hawk,1052010,S26665300043,205.2,"205.2,1436.6399999999999,1641.84"
Black Hawk,1062300,S18740000061,189,"189,0,189"
Black Hawk,1081900,S07715500050,180,"180,0,180"
Boone,1012100,S17110000005,265.56,"265.56,0,265.56"
Bremer,1012100,S28430100172,810,"810,0,810"
Bremer,1012100,S28305200182,270.72,"270.72,810,1080.72"
Bremer,1062310,S04533600034,989.4,"989.4,0,989.4"
Bremer,1082900,S24809200098,234.48,"234.48,0,234.48"
Buchanan,1031080,S16648200019,296.88,"296.88,0,296.88"
Buchanan,1011300,S26056300007,252,"252,0,252"
Buena Vista,1012100,S11436200019,940.2,"940.2,0,940.2"
Buena Vista,1012100,S16441300003,447.6,"447.6,940.2,1387.8000000000002"
Buena Vista,1012100,S26111200008,270,"270,1387.8000000000002,1657.8000000000002"
Buena Vista,1031080,S28456400012,388.8,"388.8,0,388.8"
Buena Vista,1031080,S04216300036,192.6,"192.6,388.8,581.4"
Buena Vista,1032080,S25728500004,206.88,"206.88,0,206.88"
Buena Vista,1042100,S22317600039,274.56,"274.56,0,274.56"
Butler,1012100,S18296300002,188.04,"188.04,0,188.04"
Calhoun,1062310,S20507300004,324,"324,0,324"
Calhoun,1062310,S20875700002,211.56,"211.56,324,535.56"
Carroll,1011200,S19907500015,652.32,"652.32,0,652.32"
Carroll,1081700,S06394800076,256.68,"256.68,0,256.68"
Carroll,1012210,S09418600103,193.44,"193.44,0,193.44"
Cass,1012100,S21339600007,270,"270,0,270"
Cass,1081200,S20803600017,225,"225,0,225"
Cass,1081600,S24400500005,323.28,"323.28,0,323.28"
Cass,(Blank),S29196200002,651.36,"651.36,0,651.36"
Cedar,1011300,S10489000006,249.24,"249.24,0,249.24"
Cerro Gordo,1011200,S28612300046,188.88,"188.88,0,188.88"
Cerro Gordo,1012100,S22095600014,240.84,"240.84,0,240.84"
Cerro Gordo,1031080,S13344600034,265.44,"265.44,0,265.44"
