4000.Invoice/Item Number,Sum(4000.Sale (Dollars)),,Sum(4000.State Bottle Cost),Sum(4000.State Bottle Retail),CountNonNull(4000.Category Name),CountNonNull(4000.County)
S15131800168,19782.72,NaN,137.13,206.07,1,1
S19779600060,15840,NaN,22,33,1,1
S26948200001,6844.32,NaN,13.58,20.37,1,1
S14255900034,5071.2,NaN,13.75,21.13,1,1
S25575800197,3888,NaN,27,40.5,1,1
S10642200009,3655.8,NaN,13.54,20.31,1,1
S04465700007,3168,NaN,17.6,26.4,1,1
S29195800002,2442.6,NaN,18.09,27.14,,1
S11256700007,2429.4,NaN,26.99,40.49,1,1
S10478000009,2412,NaN,13.15,20.1,1,1
S26624500043,2403.54,NaN,29.67,44.51,1,1
S27075800025,2070,NaN,15.33,23,1,1
S26714700062,2025,NaN,22.5,33.75,1,1
S07910600049,1980,NaN,11,16.5,1,1
S17754900135,1953,NaN,15.5,23.25,1,1
S28285700020,1829.4,NaN,19.99,30.49,1,1
S20619600025,1628.4,NaN,18.09,27.14,1,1
S29196000002,1628.4,NaN,18.09,27.14,,1
S29196100002,1628.4,NaN,18.09,27.14,,1
S23013300013,1611,NaN,17.9,26.85,1,1
S25435900012,1557,NaN,6.92,10.38,1,1
S28870600008,1557,NaN,6.92,10.38,1,1
S05725400108,1440,NaN,6.67,10,1,1
S22369500084,1372.8,NaN,15.25,22.88,1,1
S08161000006,1357.44,NaN,9.43,14.14,1,1
S12278000057,1349.4,NaN,15,22.49,1,1
S29206600212,1335.3,NaN,29.67,44.51,1,1
S27422800094,1327.8,NaN,14.75,22.13,1,1
S29196900002,1302.72,NaN,18.09,27.14,,1
S08317300005,1279.2,NaN,17.76,26.65,1,1
S21084900022,1275.12,NaN,35.42,53.13,1,1
S07368100073,1274.4,NaN,7.08,10.62,1,1
S15979000005,1253.76,NaN,17.41,26.12,1,1
S26941200013,1094.04,NaN,6.75,10.13,1,1
S15301200067,1078.08,NaN,7.49,11.23,1,1
S29191200001,1057.32,NaN,19.58,29.37,1,1
S05238500019,1025.76,NaN,14.25,21.37,1,1
S04039800026,999.6,NaN,3.97,5.95,1,1
S22419800151,999,NaN,18.5,27.75,1,1
S26237300004,999,NaN,18.5,27.75,1,1
S16166000021,998.64,NaN,18.49,27.74,1,1
S25375100038,990,NaN,11,16.5,1,1
S04533600034,989.4,NaN,10.99,16.49,1,1
S18093100058,972,NaN,27,40.5,1,1
S21654700021,972,NaN,27,40.5,1,1
S25501000013,972,NaN,27,40.5,1,1
S22949600003,966.6,NaN,17.9,26.85,1,1
S05984500004,959.4,NaN,17.76,26.65,1,1
S11436200019,940.2,NaN,10.45,15.67,1,1
S19866100001,899.52,NaN,12.5,18.74,1,1
S15619300002,868.8,NaN,9.65,14.48,1,1
S18894800024,862.56,NaN,15.97,23.96,1,1
S19982900010,849.6,NaN,9.44,14.16,1,1
S05761800107,848.4,NaN,9.43,14.14,1,1
S27761600027,846.72,NaN,10.45,15.68,1,1
S26172300019,834.84,NaN,15.46,23.19,1,1
S14885200007,834.6,NaN,3.57,5.35,1,1
S15950800035,816.48,NaN,11.34,17.01,1,1
S14140700003,815.4,NaN,9.06,13.59,1,1
S29196500002,814.2,NaN,18.09,27.14,,1
S08583900001,813.9,NaN,18.08,27.13,1,1
S28430100172,810,NaN,15,22.5,1,1
S12585300015,809.28,NaN,14.99,22.48,1,1
S14175800011,797.04,NaN,7.38,11.07,1,1
S11245900001,787.2,NaN,8.75,13.12,1,1
S04532200011,759.72,NaN,6.49,9.74,1,1
S28367900097,727.86,NaN,11.55,17.33,1,1
S20931800005,727.8,NaN,16.17,24.26,1,1
S23997700093,726.24,NaN,20.17,30.26,1,1
S03689000046,720,NaN,10,15,1,1
S27365600163,703.44,NaN,26.05,39.08,1,1
S21563100128,668.7,NaN,29.72,44.58,1,1
S22996900012,666,NaN,18.5,27.75,1,1
S23349100010,666,NaN,18.5,27.75,1,1
S06433300027,665.76,NaN,18.5,27.74,1,1
S14694500014,656.88,NaN,18.25,27.37,1,1
S19907500015,652.32,NaN,12.08,18.12,1,1
S29195700002,651.36,NaN,18.09,27.14,,1
S29196200002,651.36,NaN,18.09,27.14,,1
S29198900001,651.36,NaN,18.09,27.14,,1
S29199000001,651.36,NaN,18.09,27.14,,1
S29199200001,651.36,NaN,18.09,27.14,,1
S12943000024,630,NaN,17.5,26.25,1,1
S13929500013,630,NaN,17.5,26.25,1,1
S12765400056,629.76,NaN,17.25,26.24,1,1
S22117400165,621.12,NaN,17.25,25.88,1,1
S05487200004,608.88,NaN,16.92,25.37,1,1
S11752700052,604.68,NaN,33.6,50.39,1,1
S10120200059,594,NaN,11,16.5,1,1
S15256700116,593.64,NaN,10.99,16.49,1,1
S05799500024,571.2,NaN,6.01,9.52,1,1
S24147200026,567.12,NaN,15.75,23.63,1,1
S07149800008,559.2,NaN,15.53,23.3,1,1
S14474300022,559.2,NaN,15.53,23.3,1,1
S29058500001,551.52,NaN,30.64,45.96,1,1
S19385800095,548.64,NaN,7.62,11.43,1,1
S25522600011,548.64,NaN,15.24,22.86,1,1
S09469500022,545.28,NaN,30.29,45.44,1,1
S16314500003,540,NaN,10,15,1,1
S24408700050,540,NaN,15,22.5,1,1
S25379200013,540,NaN,15,22.5,1,1
S08723900003,539.88,NaN,29.99,44.99,1,1
S13020800008,539.76,NaN,15,22.49,1,1
S29249700001,534.96,NaN,29.72,44.58,1,1
S08811500022,528.96,NaN,7.35,11.02,1,1
S06343200044,528,NaN,14.67,22,1,1
S25907200009,513,NaN,9.5,14.25,1,1
S13536700014,509.04,NaN,9.43,14.14,1,1
S28657500009,504,NaN,3.5,5.25,1,1
S20365500030,500.04,NaN,18.52,27.78,1,1
S12904300018,498.48,NaN,27.69,41.54,1,1
S07513500006,495.9,NaN,18.37,27.55,1,1
S23421000011,494.88,NaN,27.49,41.24,1,1
S25788300046,494.88,NaN,27.49,41.24,1,1
S10373100033,494.76,NaN,27.48,41.23,1,1
S29197800002,488.52,NaN,18.09,27.14,,1
S29197900002,488.52,NaN,18.09,27.14,,1
S29199600001,488.52,NaN,18.09,27.14,,1
S10762000011,486,NaN,27,40.5,1,1
S21655000030,486,NaN,27,40.5,1,1
S23351700011,486,NaN,27,40.5,1,1
S23488300026,486,NaN,18,27,1,1
S10881300062,485.88,NaN,26.99,40.49,1,1
S04258900037,485.28,NaN,17.97,26.96,1,1
S17058500040,484.92,NaN,8.98,13.47,1,1
S08164600002,481.68,NaN,8.92,13.38,1,1
S22994400050,477.6,NaN,6.63,9.95,1,1
S04958800025,477.12,NaN,6.63,9.94,1,1
S10895700010,472.32,NaN,17.5,26.24,1,1
S27775100002,470.4,NaN,10.45,15.68,1,1
S13914300007,470.1,NaN,10.45,15.67,1,1
S04183800007,469.56,NaN,26.08,39.13,1,1
S04380300021,469.56,NaN,26.08,39.13,1,1
S06687700025,469.56,NaN,26.08,39.13,1,1
S15778100105,459.96,NaN,25.55,38.33,1,1
S26914400022,459.96,NaN,25.55,38.33,1,1
S27129000017,459.96,NaN,25.55,38.33,1,1
S09731900057,459.72,NaN,25.54,38.31,1,1
S12480900027,459.72,NaN,25.54,38.31,1,1
S11529700026,450,NaN,12.5,18.75,1,1
S21048100008,449.28,NaN,12.48,18.72,1,1
S25655000005,447.9,NaN,9.7,14.93,1,1
S16441300003,447.6,NaN,9.7,14.92,1,1
S23683500003,445.8,NaN,29.72,44.58,1,1
S05149900058,444,NaN,4.93,7.4,1,1
S15186100027,440.88,NaN,24.5,36.74,1,1
S21601600011,434.88,NaN,12.08,18.12,1,1
S04638100022,432.72,NaN,4.01,6.01,1,1
S17774100026,431.82,NaN,16,23.99,1,1
S22937300023,423.12,NaN,11.75,17.63,1,1
S27164300005,423.12,NaN,11.75,17.63,1,1
S16385800070,422.88,NaN,11.75,17.62,1,1
S19686300032,422.88,NaN,11.75,17.62,1,1
S20098400115,422.88,NaN,11.75,17.62,1,1
S10541700001,420,NaN,6.45,10,1,1
S12038300068,419.52,NaN,23.31,34.96,1,1
S16360600009,419.52,NaN,23.31,34.96,1,1
S05233700048,415.68,NaN,11.55,17.32,1,1
S26238600028,413.64,NaN,22.98,34.47,1,1
S29048300155,409.32,NaN,22.74,34.11,1,1
S24610400082,408.24,NaN,11.34,17.01,1,1
S06321600127,396.72,NaN,7.35,11.02,1,1
S17116700070,396.72,NaN,22.04,33.06,1,1
S21542100040,396.72,NaN,22.04,33.06,1,1
S14075600038,396,NaN,14.67,22,1,1
S20689500025,396,NaN,22,33,1,1
S09096100025,395.82,NaN,14.66,21.99,1,1
S16693600047,391.92,NaN,21.77,32.66,1,1
