Trellis.Year,Trellis.Account Level 2,Sum(Trellis.PY),Sum(Trellis.FC)
2014,(Blank),435,397
2014,Consulting revenue,121,45
2014,Cost of sales,122,125
2014,Income from discontinued operations,206,
2014,Income tax expenses,123,
2014,"Other financial income,net",134,
2014,Other operating expenses,111,
2014,Research and development expenses,178,200
2014,Selling and general administrative expenses,-197,258
2015,Consulting revenue,-221,465
2015,Cost of sales,222,225
2015,Income from discontinued operations,306,
2015,Income tax expenses,323,
2015,"Other financial income,net",234,
2015,Other operating expenses,211,
2015,Research and development expenses,228,300
2015,Selling and general administrative expenses,297,358
2015,Software revenue,465,343
2015,Support revenue,270,544
2016,Consulting revenue,321,545
2016,Cost of sales,322,525
2016,Income from discontinued operations,406,
2016,Income tax expenses,423,
2016,"Other financial income,net",334,
2016,Other operating expenses,311,
2016,Research and development expenses,328,500
2016,Selling and general administrative expenses,397,398
2016,Software revenue,565,643
2016,Support revenue,370,440
