Overlapped data.Date.Variation.Date Hierarchy.Year,Overlapped data.Date.Variation.Date Hierarchy.Month,Sum(Overlapped data.Lower quartile 1),Sum(Overlapped data.Lower quartile 2),Sum(Overlapped data.Lower quartile 3),Sum(Overlapped data.Median 1),Sum(Overlapped data.Median 2),Sum(Overlapped data.Median 3),Sum(Overlapped data.Upper quartile 1),Sum(Overlapped data.Upper Quartile 2),Sum(Overlapped data.Whisker Max 1),Sum(Overlapped data.Whisker Max 2),Sum(Overlapped data.Whisker Max 3),Sum(Overlapped data.Whisker Min 1),Sum(Overlapped data.Whisker Min 2),Sum(Overlapped data.Upper Quartile 3),Sum(Overlapped data.Whisker Min 3)
2022,November,71,41,38,82,72,52,88,87,100,100,100,28,27,71,20
2022,April,62,40,30,74,69,91,84,78,93,92,100,36,27,95,21
2022,December,57,30,47,63,38,64,90,77,100,93,96,42,20,73,37
2022,March,48,34,36,51,58,68,87,81,99,98,99,21,20,81,21
2022,September,48,33,37,58,55,54,80,80,89,91,100,26,29,66,20
2022,February,43,42,44,78,47,60,90,58,95,99,84,26,22,71,28
2022,May,42,38,41,63,48,43,71,88,93,99,73,10,10,64,10
2022,July,36,32,52,48,52,66,61,67,91,97,100,23,26,74,23
2022,October,36,34,34,51,47,37,76,71,95,98,86,20,21,51,24
2022,January,32,38,56,45,49,67,56,75,99,91,98,23,24,88,27
2022,August,31,49,43,41,67,64,79,85,100,100,100,25,36,79,24
2022,June,29,37,38,74,52,60,89,84,94,96,94,20,23,81,26
2023,November,,38,50,,52,71,,73,,91,98,,20,80,20
2023,April,36,43,41,41,54,60,63,63,87,91,90,22,32,78,24
2023,December,,43,36,,50,53,,76,,97,96,,28,78,24
2023,March,34,56,51,56,62,73,82,73,98,99,98,22,29,85,25
2023,September,,37,30,,43,57,,77,,92,99,,22,67,26
2023,February,50,46,45,61,67,58,70,83,96,96,100,20,35,72,21
2023,May,39,49,46,44,75,73,57,87,97,98,100,28,30,77,32
2023,July,53,37,39,55,65,57,72,70,96,90,98,27,23,83,21
2023,October,,30,66,,40,74,,68,,98,96,,25,91,22
2023,January,55,45,69,72,71,73,83,78,97,99,98,39,23,82,29
2023,August,,27,35,,45,50,,75,,95,88,,21,77,24
2023,June,44,44,34,59,52,47,62,61,95,88,86,20,20,69,20
