Digital Music ERA.Format (group),Digital Music ERA.Year,Sum(Digital Music ERA.Adjusted value),
Streaming,2005,0.195309905,NaN
Streaming,2006,0.261490443,NaN
Streaming,2007,0.288585326,NaN
Streaming,2008,0.262896754,NaN
Streaming,2009,0.245722059,NaN
Streaming,2010,0.249025694,NaN
Streaming,2011,0.410980627,NaN
Streaming,2012,0.6356159219999999,NaN
Streaming,2013,0.9484077550000001,NaN
Streaming,2014,1.138309475,NaN
Streaming,2015,1.648922133,NaN
Streaming,2016,3.297131418,NaN
Streaming,2017,5.245629997,NaN
Streaming,2018,6.550386371,NaN
Streaming,2019,7.944627581,NaN
Download,2004,0.248348647,NaN
Download,2005,0.6580582380000001,NaN
Download,2006,1.111144164,NaN
Download,2007,1.6483895149999999,NaN
Download,2008,2.029078469,NaN
Download,2009,2.332333726,NaN
Download,2010,2.632590838,NaN
Download,2011,2.984155791,NaN
Download,2012,3.1960578359999996,NaN
Download,2013,3.097314184,NaN
Download,2014,2.685565162,NaN
Download,2015,2.433513552,NaN
Download,2016,1.888659096,NaN
Download,2017,1.4078358619999998,NaN
Download,2018,1.0102824129999999,NaN
Download,2019,0.8111961670000001,NaN
Other,1989,0.23792595,NaN
Other,1990,0.337029083,NaN
Other,1991,0.221682024,NaN
Other,1992,0.286816905,NaN
Other,1993,0.377381579,NaN
Other,1994,0.398666213,NaN
Other,1995,0.369561923,NaN
Other,1996,0.38470757,NaN
Other,1997,0.515933348,NaN
Other,1998,0.796771509,NaN
Other,1999,0.578067178,NaN
Other,2000,0.418523277,NaN
Other,2001,0.475224644,NaN
Other,2002,0.409847019,NaN
Other,2003,0.592179421,NaN
Other,2004,0.853588512,NaN
Other,2005,1.3813070469999997,NaN
Other,2006,1.6043237629999998,NaN
Other,2007,1.9523907230000002,NaN
Other,2008,1.555650575,NaN
Other,2009,1.522714099,NaN
Other,2010,1.25638387,NaN
Other,2011,1.045522894,NaN
Other,2012,1.0246600670000001,NaN
Other,2013,1.088141137,NaN
Other,2014,1.2121894430000002,NaN
Other,2015,1.22457952,NaN
Other,2016,1.295437974,NaN
Other,2017,1.0026496089999999,NaN
Other,2018,1.317098125,NaN
Other,2019,1.235614117,NaN
Compact Disc,1983,0.044149602,NaN
Compact Disc,1984,0.254180636,NaN
Compact Disc,1985,0.925449828,NaN
Compact Disc,1986,2.169585545,NaN
Compact Disc,1987,3.586399606,NaN
Compact Disc,1988,4.537641613,NaN
Compact Disc,1989,5.33374725,NaN
Compact Disc,1990,6.7632719450000005,NaN
Compact Disc,1991,8.208053815,NaN
Compact Disc,1992,9.78821911,NaN
Compact Disc,1993,11.601343117,NaN
Compact Disc,1994,14.698724927999999,NaN
Compact Disc,1995,15.916996805,NaN
Compact Disc,1996,16.487839717,NaN
Compact Disc,1997,16.22792763,NaN
Compact Disc,1998,18.239793769,NaN
Compact Disc,1999,20.008613001,NaN
Compact Disc,2000,19.830787924000003,NaN
Compact Disc,2001,18.758958689,NaN
Compact Disc,2002,17.155877906,NaN
Compact Disc,2003,15.668578388,NaN
Compact Disc,2004,15.520775415,NaN
Compact Disc,2005,13.800372713999998,NaN
Compact Disc,2006,11.898576061,NaN
Compact Disc,2007,9.209201718,NaN
Compact Disc,2008,6.502360543,NaN
Compact Disc,2009,5.152179063000001,NaN
Compact Disc,2010,3.978314435,NaN
Compact Disc,2011,3.528455076,NaN
Compact Disc,2012,2.77157124,NaN
Compact Disc,2013,2.351674837,NaN
Compact Disc,2014,1.924430595,NaN
Compact Disc,2015,1.565766719,NaN
Compact Disc,2016,1.2077985699999998,NaN
Compact Disc,2017,1.107035512,NaN
Compact Disc,2018,0.714576714,NaN
Compact Disc,2019,0.615758762,NaN
8 - Track,1973,2.815681824,NaN
8 - Track,1974,2.848008609,NaN
8 - Track,1975,2.770409498,NaN
8 - Track,1976,3.047215772,NaN
8 - Track,1977,3.421416287,NaN
8 - Track,1978,3.717221411,NaN
8 - Track,1979,2.40972569,NaN
8 - Track,1980,1.635087852,NaN
8 - Track,1981,0.880315083,NaN
8 - Track,1982,0.095374632,NaN
Cassette,1973,0.527436513,NaN
Cassette,1974,0.521166907,NaN
Cassette,1975,0.517966784,NaN
Cassette,1976,0.6775584459999999,NaN
Cassette,1977,1.053003089,NaN
Cassette,1978,1.76371961,NaN
Cassette,1979,2.044551711,NaN
Cassette,1980,2.187356614,NaN
Cassette,1981,2.989133769,NaN
Cassette,1982,3.667949394,NaN
Cassette,1983,4.648285756,NaN
Cassette,1984,5.865839483,NaN
Cassette,1985,5.729710553,NaN
Cassette,1986,5.830425835,NaN
Cassette,1987,6.692992236,NaN
Cassette,1988,7.439337759,NaN
Cassette,1989,7.2994197,NaN
Cassette,1990,7.296689419,NaN
Cassette,1991,6.100479075,NaN
Cassette,1992,6.223052179,NaN
Cassette,1993,5.686908617,NaN
Cassette,1994,5.6087557630000004,NaN
Cassette,1995,4.260782246,NaN
Cassette,1996,3.4129965089999996,NaN
Cassette,1997,2.638125379,NaN
Cassette,1998,2.375100583,NaN
Cassette,1999,1.70274314,NaN
Cassette,2000,0.936221279,NaN
Cassette,2001,0.516943939,NaN
Cassette,2002,0.295874304,NaN
Cassette,2003,0.150198488,NaN
Cassette,2004,0.032075547,NaN
Cassette,2005,0.017148524,NaN
Cassette,2006,0.004692118,NaN
Cassette,2007,0.003699812,NaN
Cassette,2008,0.001068686,NaN
Vinyl,1973,8.268546217,NaN
Vinyl,1974,8.037897566,NaN
Vinyl,1975,8.06174908,NaN
Vinyl,1976,8.573271032,NaN
Vinyl,1977,10.294623949999998,NaN
Vinyl,1978,10.718772626,NaN
Vinyl,1979,8.488798405,NaN
Vinyl,1980,7.601452063,NaN
Vinyl,1981,7.307177687,NaN
Vinyl,1982,5.849909032999999,NaN
Vinyl,1983,5.026637581,NaN
Vinyl,1984,4.5459702349999995,NaN
Vinyl,1985,3.710115293,NaN
Vinyl,1986,2.825056503,NaN
Vinyl,1987,2.2423999539999997,NaN
Vinyl,1988,1.539993053,NaN
Vinyl,1989,0.694191225,NaN
Vinyl,1990,0.353851196,NaN
Vinyl,1991,0.17513067599999999,NaN
Vinyl,1992,0.145595112,NaN
Vinyl,1993,0.10933981100000001,NaN
Vinyl,1994,0.11213026300000001,NaN
Vinyl,1995,0.12044732699999999,NaN
Vinyl,1996,0.137360644,NaN
Vinyl,1997,0.109749329,NaN
Vinyl,1998,0.093636337,NaN
Vinyl,1999,0.091612982,NaN
Vinyl,2000,0.080171184,NaN
Vinyl,2001,0.08488216600000001,NaN
Vinyl,2002,0.06451822,NaN
Vinyl,2003,0.060023818,NaN
Vinyl,2004,0.053053226,NaN
Vinyl,2005,0.035867905,NaN
Vinyl,2006,0.032464381,NaN
Vinyl,2007,0.033174979,NaN
Vinyl,2008,0.070770761,NaN
Vinyl,2009,0.079007626,NaN
Vinyl,2010,0.10692628700000001,NaN
Vinyl,2011,0.140933622,NaN
Vinyl,2012,0.184249459,NaN
Vinyl,2013,0.234543283,NaN
Vinyl,2014,0.269275066,NaN
Vinyl,2015,0.365803553,NaN
Vinyl,2016,0.38380620200000004,NaN
Vinyl,2017,0.411551755,NaN
Vinyl,2018,0.432206384,NaN
Vinyl,2019,0.5043848670000001,NaN
