World Food Price.Food Group,Table3.Date.Variation.Date Hierarchy.Year,Sum(World Food Price.Price),
FAO CEREAL PRICE INDEX,2011,1705.8889009312209,"1705.8889009312209,8383.428501253451,10089.317402184672"
FAO CEREAL PRICE INDEX,2021,1573.8406169242119,"1573.8406169242119,21585.754332333036,23159.594949257247"
FAO CEREAL PRICE INDEX,2012,1648.7802343537176,"1648.7802343537176,10089.317402184672,11738.097636538389"
FAO CEREAL PRICE INDEX,2013,1549.3304614485276,"1549.3304614485276,11738.097636538389,13287.428097986916"
FAO CEREAL PRICE INDEX,2008,1651.7018138667838,"1651.7018138667838,4275.455748156378,5927.1575620231615"
FAO CEREAL PRICE INDEX,2014,1389.8194896378973,"1389.8194896378973,13287.428097986916,14677.247587624814"
FAO CEREAL PRICE INDEX,2010,1289.9917484453338,"1289.9917484453338,7093.436752808117,8383.428501253451"
FAO CEREAL PRICE INDEX,2017,1091.8111595226098,"1091.8111595226098,16887.428097986918,17979.23925750953"
FAO CEREAL PRICE INDEX,2020,1237.4007470412996,"1237.4007470412996,20348.353585291738,21585.754332333036"
FAO CEREAL PRICE INDEX,2009,1166.2791907849548,"1166.2791907849548,5927.1575620231615,7093.436752808117"
FAO CEREAL PRICE INDEX,2016,1059.6994686728276,"1059.6994686728276,15827.72862931409,16887.428097986918"
FAO CEREAL PRICE INDEX,2007,1210.8973958198249,"1210.8973958198249,3064.558352336553,4275.455748156378"
FAO CEREAL PRICE INDEX,2018,1209.8679632381222,"1209.8679632381222,17979.23925750953,19189.10722074765"
FAO CEREAL PRICE INDEX,2019,1159.246364544088,"1159.246364544088,19189.10722074765,20348.353585291738"
FAO CEREAL PRICE INDEX,2015,1150.4810416892751,"1150.4810416892751,14677.247587624814,15827.72862931409"
FAO CEREAL PRICE INDEX,2006,854.7405235372387,"854.7405235372387,2209.817828799314,3064.558352336553"
FAO CEREAL PRICE INDEX,2005,729.1991304004924,"729.1991304004924,1480.6186983988218,2209.817828799314"
FAO CEREAL PRICE INDEX,2004,768.0189678231834,"768.0189678231834,712.5997305756385,1480.6186983988218"
FAO CEREAL PRICE INDEX,2003,712.5997305756385,"712.5997305756385,0,712.5997305756385"
FAO CEREAL PRICE INDEX,2022,456.0536813878698,"456.0536813878698,23159.594949257247,23615.64863064512"
FAO DAIRY FOOD PRICE INDEX,2011,1558.6884228734189,"1558.6884228734189,8791.645974855568,10350.334397728988"
FAO DAIRY FOOD PRICE INDEX,2021,1429.3610242893067,"1429.3610242893067,22020.26919171594,23449.630216005247"
