financials.Segment,financials.Country,Sum(financials. Sales)
Channel Partners,Canada,491164.14
Channel Partners,France,372090.36
Channel Partners,Germany,336425.87999999995
Channel Partners,Mexico,234379.07999999996
Channel Partners,United States of America,366534.17999999993
Enterprise,Canada,3967491.25
Enterprise,France,3890890.625
Enterprise,Germany,4086826.25
Enterprise,Mexico,3315881.25
Enterprise,United States of America,4350605
Government,Canada,10741236.519999998
Government,France,12127782.719999997
Government,Germany,11452895.940000001
Government,Mexico,9791599.379999999
Government,United States of America,8390746.11
Midmarket,Canada,510213.97500000003
Midmarket,France,593802.075
Midmarket,Germany,301344.75000000006
Midmarket,Mexico,511136.4
Midmarket,United States of America,465385.875
Small Business,Canada,9177549
Small Business,France,7369606.5
Small Business,Germany,7327848
Small Business,Mexico,7096356
Small Business,United States of America,11456559
