financials.Segment,financials.Country,Sum(financials. Sales),
Channel Partners,Canada,491164.14,"491164.14,0,491164.14"
Channel Partners,France,372090.36,"372090.36,491164.14,863254.5"
Channel Partners,Germany,336425.87999999995,"336425.87999999995,1229788.68,1566214.5599999998"
Channel Partners,Mexico,234379.07999999996,"234379.07999999996,1566214.5599999998,1800593.6399999997"
Channel Partners,United States of America,366534.17999999993,"366534.17999999993,863254.5,1229788.68"
Enterprise,Canada,3967491.25,"3967491.25,8437431.25,12404922.5"
Enterprise,France,3890890.625,"3890890.625,12404922.5,16295813.125"
Enterprise,Germany,4086826.25,"4086826.25,4350605,8437431.25"
Enterprise,Mexico,3315881.25,"3315881.25,16295813.125,19611694.375"
Enterprise,United States of America,4350605,"4350605,0,4350605"
Government,Canada,10741236.519999998,"10741236.519999998,23580678.659999996,34321915.17999999"
Government,France,12127782.719999997,"12127782.719999997,0,12127782.719999997"
Government,Germany,11452895.940000001,"11452895.940000001,12127782.719999997,23580678.659999996"
Government,Mexico,9791599.379999999,"9791599.379999999,34321915.17999999,44113514.55999999"
Government,United States of America,8390746.11,"8390746.11,44113514.55999999,52504260.66999999"
Midmarket,Canada,510213.97500000003,"510213.97500000003,1104938.475,1615152.4500000002"
Midmarket,France,593802.075,"593802.075,0,593802.075"
Midmarket,Germany,301344.75000000006,"301344.75000000006,2080538.3250000002,2381883.075"
Midmarket,Mexico,511136.4,"511136.4,593802.075,1104938.475"
Midmarket,United States of America,465385.875,"465385.875,1615152.4500000002,2080538.3250000002"
Small Business,Canada,9177549,"9177549,11456559,20634108"
Small Business,France,7369606.5,"7369606.5,20634108,28003714.5"
Small Business,Germany,7327848,"7327848,28003714.5,35331562.5"
Small Business,Mexico,7096356,"7096356,35331562.5,42427918.5"
Small Business,United States of America,11456559,"11456559,0,11456559"
