financials.Discount Band,financials.Segment,financials.Country,Sum(financials. Sales),Sum(financials.COGS),Sum(financials.Profit),
High,Channel Partners,United States of America,126344.16,36747,89597.16,"126344.16,0,126344.16"
High,Channel Partners,Canada,176064.48,49726.5,126337.98000000001,"176064.48,126344.16,302408.64"
High,Channel Partners,France,124306.26,35449.5,88856.76,"124306.26,302408.64,426714.9"
High,Channel Partners,Germany,77511.36,21942,55569.36,"77511.36,426714.9,504226.26"
High,Channel Partners,Mexico,71067.12000000001,20295,50772.12,"71067.12000000001,504226.26,575293.38"
High,Enterprise,United States of America,1662593.75,1811220,-148626.25,"1662593.75,0,1662593.75"
High,Enterprise,Canada,1604403.75,1756800,-152396.25,"1604403.75,1662593.75,3266997.5"
High,Enterprise,France,1174422.5,1278840,-104417.5,"1174422.5,3266997.5,4441420"
High,Enterprise,Germany,935312.5,1038480,-103167.5,"935312.5,5593658.75,6528971.25"
High,Enterprise,Mexico,1152238.75,1266000,-113761.25,"1152238.75,4441420,5593658.75"
High,Government,United States of America,3728909.0449999995,3117727.5,611181.545,"3728909.0449999995,4847440.579999999,8576349.624999998"
High,Government,Canada,4847440.579999999,4050280,797160.5799999997,"4847440.579999999,0,4847440.579999999"
High,Government,France,2440389.7,2038802.5,401587.19999999995,"2440389.7,12043289.394999998,14483679.094999999"
High,Government,Germany,1807711.6000000006,1450325,357386.59999999986,"1807711.6000000006,14483679.094999999,16291390.695"
High,Government,Mexico,3466939.77,2876870,590069.7700000001,"3466939.77,8576349.624999998,12043289.394999998"
High,Midmarket,United States of America,185741.32499999998,141155,44586.325,"185741.32499999998,545467.125,731208.45"
High,Midmarket,Canada,291671.85000000003,224920,66751.85,"291671.85000000003,0,291671.85000000003"
High,Midmarket,France,253795.275,191760,62035.274999999994,"253795.275,291671.85000000003,545467.125"
High,Midmarket,Germany,84030.9,64840,19190.9,"84030.9,861823.5,945854.4"
High,Midmarket,Mexico,130615.04999999999,98440,32175.050000000003,"130615.04999999999,731208.45,861823.5"
High,Small Business,United States of America,5437338,5167750,269588,"5437338,0,5437338"
High,Small Business,Canada,1737657,1664250,73407,"1737657,11293320,13030977"
High,Small Business,France,1872921,1785000,87921,"1872921,9420399,11293320"
High,Small Business,Germany,1974228,1878250,95978,"1974228,7446171,9420399"
High,Small Business,Mexico,2008833,1917750,91083,"2008833,5437338,7446171"
Low,Channel Partners,United States of America,128043.06,32737.5,95305.56,"128043.06,0,128043.06"
Low,Channel Partners,Canada,58194.119999999995,14829,43365.119999999995,"58194.119999999995,128043.06,186237.18"
Low,Channel Partners,France,131768.28,33702,98066.28,"131768.28,186237.18,318005.45999999996"
Low,Channel Partners,Germany,47055.72,12033,35022.72,"47055.72,318005.45999999996,365061.17999999993"
Low,Channel Partners,Mexico,55912.31999999999,14322,41590.32000000001,"55912.31999999999,365061.17999999993,420973.49999999994"
Low,Enterprise,United States of America,384862.5,373200,11662.5,"384862.5,6057353.125,6442215.625"
Low,Enterprise,Canada,1576062.5,1549860,26202.5,"1576062.5,1595784.375,3171846.875"
Low,Enterprise,France,1595784.375,1574820,20964.375,"1595784.375,0,1595784.375"
Low,Enterprise,Germany,1366845,1348920,17925,"1366845,4690508.125,6057353.125"
Low,Enterprise,Mexico,1518661.25,1493640,25021.25,"1518661.25,3171846.875,4690508.125"
Low,Government,United States of America,1734317.375,1306152.5,428164.87499999994,"1734317.375,14887686.200000001,16622003.575000001"
Low,Government,Canada,3165500.650000001,2360650,804850.65,"3165500.650000001,8586327.370000001,11751828.020000001"
Low,Government,France,3135858.18,2355960,779898.1799999999,"3135858.18,11751828.020000001,14887686.200000001"
Low,Government,Germany,5324300.91,4038305,1285995.9100000001,"5324300.91,0,5324300.91"
Low,Government,Mexico,3262026.46,2473310,788716.4600000001,"3262026.46,5324300.91,8586327.370000001"
Low,Midmarket,United States of America,70105.2,47810,22295.200000000004,"70105.2,0,70105.2"
Low,Midmarket,Canada,66200.09999999999,45480,20720.1,"66200.09999999999,70105.2,136305.3"
Low,Midmarket,France,71420.85,48780,22640.85,"71420.85,136305.3,207726.15"
Low,Midmarket,Germany,67692.45,46370,21322.45,"67692.45,207726.15,275418.6"
Low,Midmarket,Mexico,134973.9,93040,41933.9,"134973.9,275418.6,410392.5"
Low,Small Business,United States of America,3956076,3366500,589576,"3956076,0,3956076"
Low,Small Business,Canada,1671942,1426500,245442,"1671942,7466790,9138732"
Low,Small Business,France,978331.5,838125,140206.5,"978331.5,9138732,10117063.5"
Low,Small Business,Germany,3510714,3023625,487089,"3510714,3956076,7466790"
Low,Small Business,Mexico,617130,522250,94880,"617130,10117063.5,10734193.5"
Medium,Channel Partners,United States of America,52074.96,14037,38037.96,"52074.96,0,52074.96"
Medium,Channel Partners,Canada,196473.53999999998,52522.5,143951.03999999998,"196473.53999999998,52074.96,248548.49999999997"
Medium,Channel Partners,France,116015.82,31357.5,84658.32,"116015.82,248548.49999999997,364564.31999999995"
Medium,Channel Partners,Germany,110386.79999999999,29724,80662.79999999999,"110386.79999999999,364564.31999999995,474951.11999999994"
Medium,Channel Partners,Mexico,107399.64,28872,78527.64,"107399.64,474951.11999999994,582350.7599999999"
Medium,Enterprise,United States of America,1950523.75,2002800,-52276.25,"1950523.75,0,1950523.75"
Medium,Enterprise,Canada,367587.5,379680,-12092.5,"367587.5,4747920,5115507.5"
Medium,Enterprise,France,895183.75,916500,-21316.25,"895183.75,3207755,4102938.75"
Medium,Enterprise,Germany,1257231.25,1294560,-37328.75,"1257231.25,1950523.75,3207755"
Medium,Enterprise,Mexico,644981.25,676920,-31938.75,"644981.25,4102938.75,4747920"
Medium,Government,United States of America,2911517.69,2251985,659532.69,"2911517.69,8024625.989999999,10936143.68"
Medium,Government,Canada,2013655.2900000005,1567890,445765.29,"2013655.2900000005,13440483.11,15454138.4"
Medium,Government,France,4978624.839999999,3873105,1105519.8399999999,"4978624.839999999,0,4978624.839999999"
Medium,Government,Germany,2504339.43,1944840,559499.4299999998,"2504339.43,10936143.68,13440483.11"
Medium,Government,Mexico,3046001.1500000004,2390380,655621.1499999999,"3046001.1500000004,4978624.839999999,8024625.989999999"
Medium,Midmarket,United States of America,191089.35,136950,54139.34999999999,"191089.35,0,191089.35"
Medium,Midmarket,Canada,120062.02500000001,85805,34257.025,"120062.02500000001,191089.35,311151.375"
Medium,Midmarket,France,195010.95,139670,55340.95000000001,"195010.95,311151.375,506162.325"
