Retail - Orders.Sub-Category,Retail - Orders.Region,Sum(Retail - Orders.Profit),Sum(Retail - Orders.Quantity)
Accessories,West,16484.5983,1032
Accessories,East,11195.8644,724
Accessories,South,7004.5424,504
Accessories,Central,7251.6306,716
Appliances,West,8261.2699,492
Appliances,East,8391.4134,474
Appliances,South,4123.9396,293
Appliances,Central,-2638.6175,470
Art,West,2374.097,926
Art,East,1899.9443,849
Art,South,1058.5866,547
Art,Central,1195.1591,678
Binders,West,16096.8016,1868
Binders,East,11267.9346,1652
Binders,South,3900.664,981
Binders,Central,-1043.6369,1473
Bookcases,West,-1646.5117,306
Bookcases,East,-1167.6318,252
Bookcases,South,1339.4918,118
Bookcases,Central,-1997.9043,192
Chairs,West,4027.5843,734
Chairs,East,9357.7706,676
Chairs,South,6612.0893,331
Chairs,Central,6592.7221,615
Copiers,West,19327.2351,88
Copiers,East,17022.8418,71
Copiers,South,3658.9067,26
Copiers,Central,15608.8413,49
Envelopes,West,1908.7624,227
Envelopes,East,1812.409,267
Envelopes,South,1465.477,206
Envelopes,Central,1777.5283,206
Fasteners,West,275.1907,263
Fasteners,East,263.9908,298
Fasteners,South,173.7181,126
Fasteners,Central,236.6186,227
Furnishings,West,7641.2704,1175
Furnishings,East,5881.4071,1015
Furnishings,South,3442.6829,615
Furnishings,Central,-3906.2168,758
Labels,West,2303.1223,480
Labels,East,1129.28,420
Labels,South,1040.7723,216
Labels,Central,1073.0794,284
Machines,West,-618.9264,147
Machines,East,6928.6429,165
Machines,South,-1438.893,62
Machines,Central,-1486.0666,66
Paper,West,12119.2364,1702
Paper,East,9015.371,1400
Paper,South,5947.0614,851
Paper,Central,6971.9005,1225
Phones,West,9110.7426,1068
Phones,East,12314.686,982
Phones,South,10767.2753,526
Phones,Central,12323.0267,713
Storage,West,8645.3222,1039
Storage,East,8389.3712,907
Storage,South,2274.2965,488
Storage,Central,1969.8365,724
Supplies,West,626.0465,238
Supplies,East,-1155.1352,195
Supplies,South,1.8773,92
Supplies,Central,-661.8881,122
Tables,West,1482.6073,481
Tables,East,-11025.3801,271
Tables,South,-4623.0579,227
Tables,Central,-3559.6504,262
