Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Profit),
Accessories,2976,41936.635699999955,"41936.635699999955,149656.8202,191593.45589999994"
Appliances,1729,18138.00540000003,"18138.00540000003,218183.62219999998,236321.6276"
Art,3000,6527.786999999998,"6527.786999999998,143129.03319999998,149656.8202"
Binders,5974,30221.76329999999,"30221.76329999999,0,30221.76329999999"
Bookcases,868,-3472.5560000000046,"-3472.5560000000046,232056.09539999996,228583.53939999995"
Chairs,2356,26590.16630000003,"26590.16630000003,191593.45589999994,218183.62219999998"
Copiers,234,55617.824900000036,"55617.824900000036,230779.19679999995,286397.0217"
Envelopes,906,6964.176699999995,"6964.176699999995,225091.91869999998,232056.09539999996"
Fasteners,914,949.5181999999995,"949.5181999999995,224142.4005,225091.91869999998"
Furnishings,3563,13059.143600000005,"13059.143600000005,64275.33259999998,77334.47619999999"
Labels,1400,5546.253999999996,"5546.253999999996,236321.6276,241867.8816"
Machines,440,3384.756899999995,"3384.756899999995,227394.43989999994,230779.19679999995"
Paper,5178,34053.56929999999,"34053.56929999999,30221.76329999999,64275.33259999998"
Phones,3289,44515.73059999999,"44515.73059999999,77334.47619999999,121850.20679999999"
Storage,3158,21278.82639999999,"21278.82639999999,121850.20679999999,143129.03319999998"
Supplies,647,-1189.0994999999998,"-1189.0994999999998,228583.53939999995,227394.43989999994"
Tables,1241,-17725.481100000015,"-17725.481100000015,241867.8816,224142.4005"
