measures-as-group,Orders.Sub-Category,Sum(Orders.Quantity)
Quantity,Binders,5974
Quantity,Paper,5178
Quantity,Furnishings,3563
Quantity,Phones,3289
Quantity,Storage,3158
Quantity,Art,3000
Quantity,Accessories,2976
Quantity,Chairs,2356
Quantity,Appliances,1729
Quantity,Labels,1400
Quantity,Tables,1241
Quantity,Fasteners,914
Quantity,Envelopes,906
Quantity,Bookcases,868
Quantity,Supplies,647
Quantity,Machines,440
Quantity,Copiers,234
Profit,Binders,30221.76329999999
Profit,Paper,34053.56929999999
Profit,Furnishings,13059.143600000005
Profit,Phones,44515.73059999999
Profit,Storage,21278.82639999999
Profit,Art,6527.786999999998
Profit,Accessories,41936.635699999955
Profit,Chairs,26590.16630000003
Profit,Appliances,18138.00540000003
Profit,Labels,5546.253999999996
Profit,Tables,-17725.481100000015
Profit,Fasteners,949.5181999999995
Profit,Envelopes,6964.176699999995
Profit,Bookcases,-3472.5560000000046
Profit,Supplies,-1189.0994999999998
Profit,Machines,3384.756899999995
Profit,Copiers,55617.824900000036
