Retail - Orders.Sub-Category,blank-axis-row,Sum(Retail - Orders.Sales),Sum(Retail - Orders.Profit),
Phones,(Blank),330007.054,44515.7306,"330007.054,0,330007.054"
Chairs,(Blank),328449.103,26590.1663,"328449.103,0,328449.103"
Storage,(Blank),223843.608,21278.8264,"223843.608,0,223843.608"
Tables,(Blank),206965.532,-17725.4811,"206965.532,0,206965.532"
Binders,(Blank),203412.733,30221.7633,"203412.733,0,203412.733"
Machines,(Blank),189238.631,3384.7569,"189238.631,0,189238.631"
Accessories,(Blank),167380.318,41936.6357,"167380.318,0,167380.318"
Copiers,(Blank),149528.03,55617.8249,"149528.03,0,149528.03"
Bookcases,(Blank),114879.9963,-3472.556,"114879.9963,0,114879.9963"
Appliances,(Blank),107532.161,18138.0054,"107532.161,0,107532.161"
Furnishings,(Blank),91705.164,13059.1436,"91705.164,0,91705.164"
Paper,(Blank),78479.206,34053.5693,"78479.206,0,78479.206"
Supplies,(Blank),46673.538,-1189.0995,"46673.538,0,46673.538"
Art,(Blank),27118.792,6527.787,"27118.792,0,27118.792"
Envelopes,(Blank),16476.402,6964.1767,"16476.402,0,16476.402"
Labels,(Blank),12486.312,5546.254,"12486.312,0,12486.312"
Fasteners,(Blank),3024.28,949.5182,"3024.28,0,3024.28"
