Retail - Orders.Sub-Category,Sum(Retail - Orders.Sales),Sum(Retail - Orders.Profit),
Phones,330007.054,44515.7306,"330007.054,0,330007.054"
Chairs,328449.103,26590.1663,"328449.103,330007.054,658456.157"
Storage,223843.608,21278.8264,"223843.608,658456.157,882299.765"
Tables,206965.532,-17725.4811,"206965.532,882299.765,1089265.297"
Binders,203412.733,30221.7633,"203412.733,1089265.297,1292678.03"
Machines,189238.631,3384.7569,"189238.631,1292678.03,1481916.661"
Accessories,167380.318,41936.6357,"167380.318,1481916.661,1649296.979"
Copiers,149528.03,55617.8249,"149528.03,1649296.979,1798825.009"
Bookcases,114879.9963,-3472.556,"114879.9963,1798825.009,1913705.0053"
Appliances,107532.161,18138.0054,"107532.161,1913705.0053,2021237.1663000002"
Furnishings,91705.164,13059.1436,"91705.164,2021237.1663000002,2112942.3303"
Paper,78479.206,34053.5693,"78479.206,2112942.3303,2191421.5363"
Supplies,46673.538,-1189.0995,"46673.538,2191421.5363,2238095.0743"
Art,27118.792,6527.787,"27118.792,2238095.0743,2265213.8663"
Envelopes,16476.402,6964.1767,"16476.402,2265213.8663,2281690.2682999996"
Labels,12486.312,5546.254,"12486.312,2281690.2682999996,2294176.5802999996"
Fasteners,3024.28,949.5182,"3024.28,2294176.5802999996,2297200.8602999994"
