Orders.Ship Date.Variation.Date Hierarchy.Month,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity),
January,Copiers,1499.9730000000002,3959.918,0,9,"9,0,9"
January,Phones,1567.3546999999999,11511.448,0,158,"158,9,167"
January,Accessories,2245.082,7751.738,0,137,"137,167,304"
January,Paper,1079.9615999999996,2435.008,0,203,"203,304,507"
January,Binders,2137.1074,13007.346,32,339,"339,507,846"
January,Chairs,1739.1873000000003,14606.895,0,90,"90,846,936"
January,Storage,1309.0862000000002,12385.252,0,171,"171,936,1107"
January,Appliances,1223.6987999999997,5372.834,2,56,"56,1107,1163"
January,Furnishings,349.36949999999996,4347.414,9,224,"224,1163,1387"
January,Envelopes,374.1882999999999,935.168,0,39,"39,1387,1426"
January,Art,223.94469999999998,960.486,0,133,"133,1426,1559"
January,Labels,303.9996,664.88,0,65,"65,1559,1624"
January,Machines,41.59430000000009,8881.137,2,30,"30,1624,1654"
January,Fasteners,41.3971,149.932,0,51,"51,1654,1705"
January,Supplies,150.58410000000012,4512.878,0,40,"40,1705,1745"
January,Bookcases,-265.6261999999999,7491.5294,1,61,"61,1745,1806"
January,Tables,-2312.5966000000003,10482.826,0,49,"49,1806,1855"
February,Phones,1475.4469000000001,12912.188,0,118,"118,0,118"
February,Accessories,1558.4143,5280.266,0,83,"83,118,201"
February,Paper,1484.2647000000002,3388.654,0,150,"150,201,351"
February,Binders,1364.6676000000002,5685.679,19,169,"169,351,520"
February,Chairs,629.0448999999999,7809.98,0,58,"58,520,578"
February,Storage,499.2831999999999,6411.834,0,82,"82,578,660"
February,Appliances,962.081,4405.316,3,67,"67,660,727"
February,Furnishings,339.13210000000004,2522.802,6,104,"104,727,831"
February,Envelopes,373.7733,817.286,0,39,"39,831,870"
February,Art,296.8189,1147.386,0,104,"104,870,974"
February,Labels,135.7356,301.952,0,41,"41,974,1015"
February,Machines,3054.9787,10909.91,0,10,"10,1015,1025"
February,Fasteners,34.668699999999994,114.432,0,39,"39,1025,1064"
February,Supplies,22.962400000000002,329.6,0,13,"13,1064,1077"
February,Bookcases,255.38739999999999,1756.9494,0,16,"16,1077,1093"
February,Tables,-1129.442,4752.238,0,38,"38,1093,1131"
March,Copiers,9604.4234,22589.786,0,24,"24,0,24"
March,Phones,2587.5415000000003,25378.214,0,220,"220,24,244"
March,Accessories,2316.3492999999994,8934.108,0,183,"183,244,427"
March,Paper,2666.328199999999,6099.636,0,363,"363,427,790"
March,Binders,4926.149599999998,13015.899,34,360,"360,790,1150"
March,Chairs,1855.8508,19247.627,0,147,"147,1150,1297"
March,Storage,1705.9160999999997,14422.768,0,195,"195,1297,1492"
March,Appliances,408.5613000000001,7101.418,5,119,"119,1492,1611"
March,Furnishings,697.2840999999999,4584.998,6,183,"183,1611,1794"
March,Envelopes,568.6923999999999,1314.678,0,66,"66,1794,1860"
March,Art,300.4609,1377.324,0,188,"188,1860,2048"
March,Labels,417.031,898.858,0,76,"76,2048,2124"
March,Machines,975.3788000000001,35051.904,1,36,"36,2124,2160"
March,Fasteners,51.4274,190.756,0,61,"61,2160,2221"
March,Supplies,-851.6602,10607.044,0,24,"24,2221,2245"
March,Bookcases,-429.4128000000002,5849.53,1,52,"52,2245,2297"
March,Tables,-1038.5376,15000.758,0,90,"90,2297,2387"
April,Copiers,2726.9399,6879.842,0,18,"18,0,18"
April,Phones,2849.525299999999,17727.14,0,221,"221,18,239"
April,Accessories,1825.268299999999,8113.012,0,172,"172,239,411"
April,Paper,1700.2686000000003,4045.614,0,271,"271,411,682"
April,Binders,-864.5545000000006,10207.146,48,422,"422,682,1104"
April,Chairs,1183.9162999999999,17674.778,0,134,"134,1104,1238"
April,Storage,1058.2974000000002,14442.47,0,195,"195,1238,1433"
April,Appliances,-376.82210000000003,5934.642,6,109,"109,1433,1542"
April,Furnishings,1307.5185000000008,7457.462,6,224,"224,1542,1766"
April,Envelopes,487.12149999999997,1172.262,0,49,"49,1766,1815"
April,Art,540.2535,2133.014,0,253,"253,1815,2068"
April,Labels,160.2087,349.028,0,60,"60,2068,2128"
April,Machines,-552.5183,16809.843,1,21,"21,2128,2149"
April,Fasteners,56.7578,262.164,0,78,"78,2149,2227"
April,Supplies,2.359900000000117,6239.804,0,55,"55,2227,2282"
April,Bookcases,-165.91280000000006,6234.5208,0,81,"81,2282,2363"
April,Tables,-1557.1392999999996,11270.955,0,65,"65,2363,2428"
May,Copiers,3514.9545,16839.826,0,24,"24,0,24"
May,Phones,1962.9251,22402.356,0,211,"211,24,235"
May,Accessories,1729.8907,6985.896,0,170,"170,235,405"
May,Paper,1982.9053000000008,4561.048,0,310,"310,405,715"
May,Binders,3947.1108000000013,12617.243,49,402,"402,715,1117"
May,Chairs,1405.5986999999993,25532.757,0,198,"198,1117,1315"
May,Storage,1252.7571,14613.92,0,191,"191,1315,1506"
May,Appliances,752.2515999999998,6020.666,7,149,"149,1506,1655"
May,Furnishings,1151.746,6651.038,12,273,"273,1655,1928"
May,Envelopes,507.4182,1184.37,0,73,"73,1928,2001"
May,Art,498.79120000000006,2258.544,0,238,"238,2001,2239"
May,Labels,368.5572,879.328,0,127,"127,2239,2366"
May,Machines,2232.7671,12089.243,1,39,"39,2366,2405"
May,Fasteners,25.319,78.192,0,33,"33,2405,2438"
May,Supplies,130.5822,1159.476,0,62,"62,2438,2500"
May,Bookcases,-350.355,4782.3609,2,52,"52,2500,2552"
May,Tables,-647.3843,7705.686,0,57,"57,2552,2609"
June,Copiers,519.9839999999999,2459.934,0,8,"8,0,8"
June,Phones,4914.937499999997,28836.17,0,280,"280,8,288"
June,Accessories,2978.0385999999994,11310.724,0,198,"198,288,486"
