Orders.Order Date.Variation.Date Hierarchy.Month,Sum(Orders.Sales),Sum(Orders.Profit)
November,352461.071,35468.42649999999
December,325293.5035,43369.191900000034
September,307649.9457,36857.47529999996
March,205005.4888,28594.687200000022
October,200322.9847,31784.041300000008
August,159044.063,21776.9384
May,155028.8117,22411.307800000042
June,152718.6793,21285.795399999995
July,147238.097,13832.66480000001
April,137762.1286,11587.436300000005
January,94924.8356,9134.446100000001
February,59751.2514,10294.61069999999
