Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),
First Class,Copiers,14798.3793,45,2.4,39369.63,"39369.63,0,39369.63"
First Class,Phones,8400.270000000006,501,18.999999999999982,53615.86799999995,"53615.86799999995,39369.63,92985.49799999995"
First Class,Accessories,5907.413100000005,461,9.200000000000001,22226.69199999999,"22226.69199999999,92985.49799999995,115212.18999999994"
First Class,Paper,4919.2991,785,16.400000000000002,11379.798000000003,"11379.798000000003,115212.18999999994,126591.98799999995"
First Class,Binders,4128.142500000008,918,97.60000000000001,36157.813,"36157.813,126591.98799999995,162749.80099999995"
First Class,Chairs,2645.214899999999,335,15.500000000000014,47706.472,"47706.472,204749.08299999996,252455.55499999996"
First Class,Storage,3012.1836999999987,458,9.199999999999996,26273.258,"26273.258,178475.82499999995,204749.08299999996"
First Class,Appliances,3543.861099999999,253,7.800000000000001,15726.023999999998,"15726.023999999998,162749.80099999995,178475.82499999995"
First Class,Furnishings,2093.0964999999997,540,21.00000000000001,13157.956000000006,"13157.956000000006,252455.55499999996,265613.51099999994"
First Class,Envelopes,1001.5960999999999,114,3.400000000000001,2563.456,"2563.456,265613.51099999994,268176.96699999995"
First Class,Art,750.3499999999997,414,10.599999999999996,3470.0879999999993,"3470.0879999999993,270012.9469999999,273483.0349999999"
First Class,Labels,804.7152,250,5.000000000000002,1835.9799999999996,"1835.9799999999996,268176.96699999995,270012.9469999999"
First Class,Machines,-1603.4990000000012,76,9.7,24153.400999999998,"24153.400999999998,327275.02189999993,351428.42289999995"
First Class,Fasteners,127.07520000000001,106,2.4,357.5980000000001,"357.5980000000001,273483.0349999999,273840.6329999999"
First Class,Supplies,113.1062000000001,74,1.5999999999999999,3568.2940000000003,"3568.2940000000003,273840.6329999999,277408.9269999999"
First Class,Bookcases,-305.9975000000004,187,11.070000000000002,21065.318899999995,"21065.318899999995,277408.9269999999,298474.2458999999"
First Class,Tables,-1365.3665000000003,176,11.300000000000006,28800.775999999994,"28800.775999999994,298474.2458999999,327275.02189999993"
Same Day,Copiers,2580.9549,16,0.8,7559.868,"7559.868,13777.223999999998,21337.091999999997"
Same Day,Phones,1784.4746,143,6.600000000000002,15988.235999999997,"15988.235999999997,26042.788,42031.024"
Same Day,Accessories,3866.6910000000003,166,3.8000000000000003,13777.223999999998,"13777.223999999998,0,13777.223999999998"
Same Day,Paper,2088.4229000000005,287,6.6000000000000005,4705.696000000002,"4705.696000000002,21337.091999999997,26042.788"
Same Day,Binders,1140.2820999999988,258,26.599999999999998,5819.505,"5819.505,42031.024,47850.528999999995"
Same Day,Chairs,1135.6434999999992,160,6.999999999999998,21659.715999999997,"21659.715999999997,47850.528999999995,69510.245"
Same Day,Storage,980.2760999999996,179,4.4,8850.225999999997,"8850.225999999997,75780.837,84631.063"
Same Day,Appliances,1091.6576999999997,77,3.6000000000000005,6270.592000000001,"6270.592000000001,69510.245,75780.837"
Same Day,Furnishings,398.56179999999995,189,8.799999999999997,4874.134000000003,"4874.134000000003,108867.076,113741.21"
Same Day,Envelopes,348.81479999999993,58,0.8,790.476,"790.476,116711.792,117502.268"
Same Day,Art,403.4431000000001,133,3.0000000000000004,1437.476,"1437.476,107429.6,108867.076"
Same Day,Labels,245.56420000000003,68,0.8,566.448,"566.448,117502.268,118068.716"
Same Day,Machines,438.7708000000008,35,2.6,22798.537000000004,"22798.537000000004,84631.063,107429.6"
Same Day,Fasteners,46.1181,53,0.6000000000000001,139.75200000000004,"139.75200000000004,118579.026,118718.77799999999"
Same Day,Supplies,78.94019999999998,34,0.4,510.31,"510.31,118068.716,118579.026"
Same Day,Bookcases,392.5656,19,0.8500000000000001,2970.582,"2970.582,113741.21,116711.792"
Same Day,Tables,-1129.4225000000001,85,5.5,9644.347,"9644.347,118718.77799999999,128363.12499999999"
Second Class,Copiers,6883.8703,44,2.4,18899.628,"18899.628,118061.66400000002,136961.29200000002"
Second Class,Phones,8377.635400000001,658,27.799999999999955,63255.22800000004,"63255.22800000004,37572.986000000004,100828.21400000004"
Second Class,Accessories,8733.670800000004,629,12.8,37572.986000000004,"37572.986000000004,0,37572.986000000004"
Second Class,Paper,7567.028799999997,1122,20.200000000000003,17233.449999999986,"17233.449999999986,100828.21400000004,118061.66400000002"
Second Class,Binders,5461.341999999998,1021,80.6,27115.342000000004,"27115.342000000004,211833.35,238948.692"
Second Class,Chairs,6766.249999999997,489,21.500000000000018,74872.05799999999,"74872.05799999999,136961.29200000002,211833.35"
Second Class,Storage,5434.3131999999905,670,9.199999999999998,48469.37199999999,"48469.37199999999,238948.692,287418.064"
Second Class,Appliances,4906.695699999997,324,13.800000000000004,26538.239,"26538.239,287418.064,313956.303"
Second Class,Furnishings,1808.7125999999973,648,27.20000000000002,15416.005999999983,"15416.005999999983,336450.003,351866.009"
Second Class,Envelopes,1280.4035000000001,186,3.0000000000000004,2847.6080000000006,"2847.6080000000006,360488.573,363336.181"
Second Class,Art,1299.1288999999997,585,10.999999999999996,5270.029999999999,"5270.029999999999,355218.543,360488.573"
Second Class,Labels,1466.7881,252,4,3352.5340000000006,"3352.5340000000006,351866.009,355218.543"
Second Class,Machines,2157.0298999999986,43,4.7,22493.7,"22493.7,313956.303,336450.003"
Second Class,Fasteners,158.02979999999997,168,3.400000000000001,478.018,"478.018,363336.181,363814.19899999996"
Second Class,Supplies,-505.5624000000004,152,3.600000000000001,29378.409999999996,"29378.409999999996,363814.19899999996,393192.60899999994"
Second Class,Bookcases,-1028.0213000000012,175,9.8,22307.21289999999,"22307.21289999999,393192.60899999994,415499.8218999999"
Second Class,Tables,-3320.6799000000015,257,15.150000000000007,43693.74749999999,"43693.74749999999,415499.8218999999,459193.5693999999"
Standard Class,Copiers,31354.620399999996,129,5.400000000000002,83698.90399999998,"83698.90399999998,0,83698.90399999998"
Standard Class,Phones,25953.35060000001,1987,84.00000000000044,197147.72200000007,"197147.72200000007,83698.90399999998,280846.62600000005"
Standard Class,Accessories,23428.860799999984,1720,35.00000000000001,93803.41600000013,"93803.41600000013,280846.62600000005,374650.0420000002"
Standard Class,Paper,19478.818499999983,2984,59.400000000000006,45160.26199999998,"45160.26199999998,508970.11500000034,554130.3770000003"
Standard Class,Binders,19491.99670000005,3777,362.2,134320.07300000012,"134320.07300000012,374650.0420000002,508970.11500000034"
Standard Class,Chairs,16043.05789999999,1372,60.99999999999979,184210.85699999984,"184210.85699999984,554130.3770000003,738341.2340000002"
Standard Class,Storage,11852.053399999999,1851,40.40000000000008,140250.75200000007,"140250.75200000007,738341.2340000002,878591.9860000003"
Standard Class,Appliances,8595.790899999993,1075,52.39999999999993,58997.306000000004,"58997.306000000004,936849.0540000001,995846.3600000001"
Standard Class,Furnishings,8758.77269999999,2186,75.39999999999998,58257.06799999988,"58257.06799999988,878591.9860000003,936849.0540000001"
Standard Class,Envelopes,4333.362299999999,548,13.199999999999985,10274.862000000003,"10274.862000000003,995846.3600000001,1006121.2220000001"
Standard Class,Art,4074.8649999999966,1868,35.000000000000036,16941.197999999993,"16941.197999999993,1006121.2220000001,1023062.42"
Standard Class,Labels,3029.1865000000016,830,15.199999999999994,6731.350000000002,"6731.350000000002,1023062.42,1029793.77"
Standard Class,Machines,2392.4551999999976,286,18.19999999999999,119792.99300000003,"119792.99300000003,1029793.77,1149586.763"
Standard Class,Fasteners,618.2950999999998,587,11.399999999999991,2048.9119999999994,"2048.9119999999994,1149586.763,1151635.675"
Standard Class,Supplies,-875.5835000000006,387,9,13216.523999999998,"13216.523999999998,1151635.675,1164852.199"
Standard Class,Bookcases,-2531.102799999999,487,26.420000000000012,68536.88249999998,"68536.88249999998,1164852.199,1233389.0815"
Standard Class,Tables,-11910.0122,723,51.399999999999885,124826.66150000003,"124826.66150000003,1233389.0815,1358215.743"
