Overlapped data.Date.Variation.Date Hierarchy.Year,Overlapped data.Date.Variation.Date Hierarchy.Month,Sum(Overlapped data.Lower quartile 1),Sum(Overlapped data.Lower quartile 2),Sum(Overlapped data.Lower quartile 3),Sum(Overlapped data.Upper quartile 1),Sum(Overlapped data.Upper Quartile 2),Sum(Overlapped data.Upper Quartile 3),Sum(Overlapped data.Median 1),Sum(Overlapped data.Median 3),Sum(Overlapped data.Whisker Max 1),Sum(Overlapped data.Whisker Max 3),Sum(Overlapped data.Whisker Min 1),Sum(Overlapped data.Whisker Min 3),Sum(Overlapped data.AC),Sum(Overlapped data.PL),Sum(Overlapped data.PY ),Sum(Overlapped data.FC),
2022,January,32,75,,56,38,,45,,99,,23,,57,64,56,65,
2022,February,43,58,,90,42,,78,,95,,26,,69,55,60,58,
2022,March,48,81,,87,34,,51,,99,,21,,60,62,60,64,
2022,April,62,78,,84,40,,74,,93,,36,,64,55,59,60,
2022,May,42,88,,71,38,,63,,93,,10,,61,63,61,61,
2022,June,29,84,,89,37,,74,,94,,20,,62,64,61,69,
2022,July,36,67,,61,32,,48,,91,,23,,64,63,62,66,
2022,August,31,85,,79,49,,41,,100,,25,,51,59,69,70,
2022,September,48,80,,80,33,,58,,89,,26,,62,53,64,52,
2022,October,36,71,,76,34,,51,,95,,20,,59,59,54,53,
2022,November,71,87,,88,41,,82,,100,,28,,69,61,54,61,
2022,December,57,77,,90,30,,63,,100,,42,,55,55,55,60,
2023,January,55,78,,83,45,,72,,97,,39,,59,63,65,67,
2023,February,50,83,,70,46,,61,,96,,20,,62,66,64,54,
2023,March,34,73,,82,56,,56,,98,,22,,54,65,63,59,
2023,April,36,63,,63,43,,41,,87,,22,,51,63,61,64,
2023,May,39,87,,57,49,,44,,97,,28,,66,61,51,60,
2023,June,44,61,,62,44,,59,,95,,20,,59,57,67,59,
2023,July,53,70,,72,37,,55,,96,,27,,51,53,50,61,
2023,August,,75,35,,27,77,,50,,88,,24,,60,70,57,
2023,September,,77,30,,37,67,,57,,99,,26,,62,57,54,
2023,October,,68,66,,30,91,,74,,96,,22,,64,59,51,
2023,November,,73,50,,38,80,,71,,98,,20,,67,64,53,
2023,December,,76,36,,43,78,,53,,96,,24,,62,59,55,
