financials.Product,financials.Discount Band,financials.Country,Sum(financials.Gross Sales),,Sum(financials.COGS),Sum(financials. Sales)
Amarilla,High,United States of America,1565635.5,"1389351.7049999998,1444328.95,2833680.655",1301472,1389351.7049999998
Amarilla,High,Canada,1625886,"1444328.95,0,1444328.95",1237244.5,1444328.95
Amarilla,High,France,1299418.5,"1127490.17,2833680.655,3961170.8249999997",1067996.5,1127490.17
Amarilla,High,Germany,453417,"403425.21,4464004.665,4867429.875",394248,403425.21
Amarilla,High,Mexico,573349,"502833.84,3961170.8249999997,4464004.665",436395,502833.84
Amarilla,Low,United States of America,58653,"57517.32,4252972,4310489.32",25037,57517.32
Amarilla,Low,Canada,1197100,"1160712,2013046,3173758",941280,1160712
Amarilla,Low,France,23635,"23210.449999999997,4310489.32,4333699.7700000005",12620,23210.449999999997
Amarilla,Low,Germany,2067750,"2013046,0,2013046",1604850,2013046
Amarilla,Low,Mexico,1117300,"1079214,3173758,4252972",889030,1079214
Amarilla,Medium,United States of America,1436889,"1323894.38,3360754.0599999996,4684648.4399999995",1097835,1323894.38
Amarilla,Medium,Canada,1341697.5,"1250724.925,4684648.4399999995,5935373.364999999",1030380,1250724.925
Amarilla,Medium,France,1995130.5,"1865246.51,0,1865246.51",1533953,1865246.51
Amarilla,Medium,Germany,1062798,"1004539.55,5935373.364999999,6939912.914999999",834245,1004539.55
Amarilla,Medium,Mexico,1612547,"1495507.5499999998,1865246.51,3360754.0599999996",1253519,1495507.5499999998
Amarilla,None,United States of America,66354,"66354,1539719.5,1606073.5",24147,66354
Amarilla,None,France,1000480,"1000480,0,1000480",733990,1000480
Amarilla,None,Germany,539239.5,"539239.5,1000480,1539719.5",514770,539239.5
Carretera,High,United States of America,832656.5,"733882.4199999999,4831278.53,5565160.95",725198,733882.4199999999
Carretera,High,Canada,1195329,"1039459.46,3791819.0700000003,4831278.53",975201,1039459.46
Carretera,High,France,1456306,"1275224.29,1435414.1,2710638.39",1228609,1275224.29
Carretera,High,Germany,1635495,"1435414.1,0,1435414.1",1391860,1435414.1
Carretera,High,Mexico,1243047,"1081180.68,2710638.39,3791819.0700000003",1067170,1081180.68
Carretera,Low,United States of America,200513,"195163.59000000003,4409773.925,4604937.515",134900,195163.59000000003
Carretera,Low,Canada,1171365.5,"1147437.29,1307678.055,2455115.3449999997",864129,1147437.29
Carretera,Low,France,1331754.5,"1307678.055,0,1307678.055",1088258,1307678.055
Carretera,Low,Germany,937992,"904615.0800000001,3505158.8449999997,4409773.925",759098,904615.0800000001
Carretera,Low,Mexico,1060650,"1050043.5,2455115.3449999997,3505158.8449999997",801320,1050043.5
Carretera,Medium,United States of America,972281,"910793.54,0,910793.54",741250,910793.54
Carretera,Medium,Canada,426789,"390937.58999999997,2429870.33,2820807.92",318584,390937.58999999997
Carretera,Medium,France,867099,"807749.55,910793.54,1718543.09",695810,807749.55
Carretera,Medium,Germany,163599,"153021.5,2820807.92,2973829.42",126238,153021.5
Carretera,Medium,Mexico,771264,"711327.24,1718543.09,2429870.33",592743,711327.24
Carretera,None,Canada,32370,"32370,639010,671380",16185,32370
Carretera,None,France,32670,"32670,606340,639010",21780,32670
Carretera,None,Germany,569290,"569290,0,569290",415470,569290
Carretera,None,Mexico,37050,"37050,569290,606340",24700,37050
Montana,High,United States of America,1435434,"1280259.7899999998,0,1280259.7899999998",1113190,1280259.7899999998
Montana,High,Canada,930959,"801257.2999999999,1280259.7899999998,2081517.0899999999",682250,801257.2999999999
Montana,High,France,920831,"810911.86,2081517.0899999999,2892428.9499999997",761935,810911.86
Montana,High,Germany,747590,"652765.6,2892428.9499999997,3545194.55",540820,652765.6
Montana,High,Mexico,353340,"305296.21,3545194.55,3850490.76",235140,305296.21
Montana,Low,United States of America,1567599,"1551472.77,1947668.8199999998,3499141.59",1298396,1551472.77
Montana,Low,Canada,62272,"60165.42,4118395.34,4178560.76",43075,60165.42
Montana,Low,France,215005,"209105.05,3909290.29,4118395.34",176618,209105.05
Montana,Low,Germany,2019906,"1947668.8199999998,0,1947668.8199999998",1651730,1947668.8199999998
Montana,Low,Mexico,421705,"410148.7,3499141.59,3909290.29",380280,410148.7
Montana,Medium,United States of America,861316,"803169.24,5733020.62,6536189.86",791869,803169.24
Montana,Medium,Canada,1582355,"1443967.81,2469385.46,3913353.27",1295913,1443967.81
Montana,Medium,France,2669400,"2469385.46,0,2469385.46",2108601,2469385.46
Montana,Medium,Germany,983482,"918232.9500000001,3913353.27,4831586.22",789481,918232.9500000001
Montana,Medium,Mexico,953080,"901434.4,4831586.22,5733020.62",724020,901434.4
Montana,None,United States of America,9225,"9225,816335.5,825560.5",6150,9225
Montana,None,Canada,406528.5,"406528.5,0,406528.5",368814,406528.5
Montana,None,France,37980,"37980,778355.5,816335.5",18990,37980
Montana,None,Germany,47377,"47377,730978.5,778355.5",24575,47377
Montana,None,Mexico,324450,"324450,406528.5,730978.5",264200,324450
Paseo,High,United States of America,2310862.5,"2002018.145,5980766.960000001,7982785.105",1770074.5,2002018.145
Paseo,High,Canada,3123072,"2741974.6700000004,3238792.29,5980766.960000001",2345779,2741974.6700000004
Paseo,High,France,1722081,"1506131.11,7982785.105,9488916.215",1301064.5,1506131.11
Paseo,High,Germany,1116926,"973880.32,9488916.215,10462796.535",868389,973880.32
Paseo,High,Mexico,3736307,"3238792.29,0,3238792.29",2876448,3238792.29
Paseo,Low,United States of America,3299621.5,"3199430.3549999995,0,3199430.3549999995",2602952,3199430.3549999995
