financials.Country,financials.Product,Sum(financials. Sales),
Canada,Paseo,7611520.990000001,"7611520.990000001,0,7611520.990000001"
Canada,VTT,4768754.3100000005,"4768754.3100000005,7611520.990000001,12380275.3"
Canada,Velo,3329490.34,"3329490.34,16236041.175,19565531.515"
Canada,Amarilla,3855765.8750000005,"3855765.8750000005,12380275.3,16236041.175"
Canada,Montana,2711919.03,"2711919.03,19565531.515,22277450.545"
Canada,Carretera,2610204.34,"2610204.34,22277450.545,24887654.885"
France,Paseo,5597751.06,"5597751.06,0,5597751.06"
France,VTT,3811193.5899999994,"3811193.5899999994,13592274.425,17403468.015"
France,Velo,3978096.2350000003,"3978096.2350000003,9614178.19,13592274.425"
France,Amarilla,4016427.1300000004,"4016427.1300000004,5597751.06,9614178.19"
France,Montana,3527382.37,"3527382.37,17403468.015,20930850.385"
France,Carretera,3423321.895,"3423321.895,20930850.385,24354172.28"
Germany,Paseo,5229814.74,"5229814.74,0,5229814.74"
Germany,VTT,3293983.77,"3293983.77,17149016.37,20443000.14"
Germany,Velo,4392907,"4392907,5229814.74,9622721.74"
Germany,Amarilla,3960250.26,"3960250.26,9622721.74,13582972"
Germany,Montana,3566044.37,"3566044.37,13582972,17149016.37"
Germany,Carretera,3062340.68,"3062340.68,20443000.14,23505340.82"
Mexico,Paseo,7627731.390000001,"7627731.390000001,0,7627731.390000001"
Mexico,VTT,3172396.7100000004,"3172396.7100000004,7627731.390000001,10800128.100000001"
Mexico,Velo,2250737.8899999997,"2250737.8899999997,16757284.910000002,19008022.8"
Mexico,Amarilla,3077555.39,"3077555.39,10800128.100000001,13877683.490000002"
Mexico,Montana,1941329.3099999998,"1941329.3099999998,19008022.8,20949352.11"
Mexico,Carretera,2879601.4200000004,"2879601.4200000004,13877683.490000002,16757284.910000002"
United States of America,Paseo,6944325.77,"6944325.77,0,6944325.77"
United States of America,VTT,5465592.64,"5465592.64,6944325.77,12409918.41"
United States of America,Velo,4298828,"4298828,12409918.41,16708746.41"
United States of America,Amarilla,2837117.4050000003,"2837117.4050000003,20352873.21,23189990.615000002"
United States of America,Montana,3644126.8,"3644126.8,16708746.41,20352873.21"
United States of America,Carretera,1839839.55,"1839839.55,23189990.615000002,25029830.165000003"
