financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.Units Sold),
High,Amarilla,United States of America,1389351.7049999998,87879.70499999999,17362.5,"87879.70499999999,207084.45,294964.155"
High,Amarilla,Canada,1444328.95,207084.45,16252.5,"207084.45,0,207084.45"
High,Amarilla,France,1127490.17,59493.67,17043.5,"59493.67,294964.155,354457.825"
High,Amarilla,Germany,403425.21,9177.21,7981,
High,Amarilla,Mexico,502833.84,66438.84,12669,"66438.84,354457.825,420896.66500000004"
High,Carretera,United States of America,733882.4199999999,8684.419999999995,12147.5,
High,Carretera,Canada,1039459.46,64258.46000000001,13321,"64258.46000000001,104180.06999999999,168438.53"
High,Carretera,France,1275224.29,46615.28999999999,11629.5,"46615.28999999999,43554.09999999999,90169.38999999998"
High,Carretera,Germany,1435414.1,43554.09999999999,9690,"43554.09999999999,0,43554.09999999999"
High,Carretera,Mexico,1081180.68,14010.680000000008,11949,"14010.680000000008,90169.38999999998,104180.06999999999"
High,Montana,United States of America,1280259.7899999998,167069.79,12398.5,"167069.79,0,167069.79"
High,Montana,Canada,801257.2999999999,119007.3,9098.5,"119007.3,216046.65000000002,335053.95"
High,Montana,France,810911.86,48976.86,5324,"48976.86,167069.79,216046.65000000002"
High,Montana,Germany,652765.6,111945.6,4957,"111945.6,335053.95,446999.55000000005"
High,Montana,Mexico,305296.21,70156.21,15453,
High,Paseo,United States of America,2002018.145,231943.64499999996,17386.5,"231943.64499999996,758539.96,990483.605"
High,Paseo,Canada,2741974.6700000004,396195.6699999999,32251.5,"396195.6699999999,362344.29,758539.96"
High,Paseo,France,1506131.11,205066.61000000002,22346.5,"205066.61000000002,990483.605,1195550.215"
High,Paseo,Germany,973880.32,105491.31999999999,14704,
High,Paseo,Mexico,3238792.29,362344.29,22687,"362344.29,0,362344.29"
High,Velo,United States of America,2683116.5,93974.5,14658,"93974.5,0,93974.5"
High,Velo,Canada,1102786.24,108416.23999999999,7009,"108416.23999999999,207834.40999999997,316250.64999999997"
High,Velo,France,647413.725,86228.725,12973.5,
High,Velo,Germany,715723.68,43023.68,8778,"43023.68,316250.64999999997,359274.32999999996"
High,Velo,Mexico,1426391.9100000001,113859.90999999999,8993,"113859.90999999999,93974.5,207834.40999999997"
High,VTT,United States of America,3052297.72,276774.72000000003,18244,"276774.72000000003,0,276774.72000000003"
High,VTT,Canada,1527431.04,16299.04,16928.5,"16299.04,276774.72000000003,293073.76"
High,VTT,France,498663.57999999996,89601.57999999999,10840.5,"89601.57999999999,404839.21,494440.79000000004"
High,VTT,Germany,697585.45,111765.45000000001,5900,"111765.45000000001,293073.76,404839.21"
High,VTT,Mexico,275198.76,23528.760000000002,7109,
Low,Amarilla,United States of America,57517.32,32480.32,3896,"32480.32,817812,850292.32"
Low,Amarilla,Canada,1160712,219432,3694,"219432,408196,627628"
Low,Amarilla,France,23210.449999999997,10590.449999999999,1262,
Low,Amarilla,Germany,2013046,408196,7408,"408196,0,408196"
Low,Amarilla,Mexico,1079214,190184,4040,"190184,627628,817812"
Low,Carretera,United States of America,195163.59000000003,60263.590000000004,6938,
Low,Carretera,Canada,1147437.29,283308.29,10924.5,"283308.29,219420.05500000002,502728.345"
Low,Carretera,France,1307678.055,219420.05500000002,11214.5,"219420.05500000002,0,219420.05500000002"
Low,Carretera,Germany,904615.0800000001,145517.08000000002,6270,"145517.08000000002,751451.845,896968.925"
Low,Carretera,Mexico,1050043.5,248723.5,3101,"248723.5,502728.345,751451.845"
Low,Montana,United States of America,1551472.77,253076.77000000002,8170,"253076.77000000002,295938.82,549015.5900000001"
Low,Montana,Canada,60165.42,17090.42,6648,
Low,Montana,France,209105.05,32487.049999999996,5107.5,"32487.049999999996,578884.29,611371.3400000001"
Low,Montana,Germany,1947668.8199999998,295938.82,9341,"295938.82,0,295938.82"
Low,Montana,Mexico,410148.7,29868.700000000004,7733,"29868.700000000004,549015.5900000001,578884.29"
Low,Paseo,United States of America,3199430.3549999995,596478.3550000001,24457,"596478.3550000001,0,596478.3550000001"
Low,Paseo,Canada,2456023.2700000005,382373.26999999996,21481,"382373.26999999996,999641.1450000001,1382014.415"
Low,Paseo,France,2493695.79,403162.79000000004,24842.5,"403162.79000000004,596478.3550000001,999641.1450000001"
Low,Paseo,Germany,1756117.28,183424.28,12169.5,"183424.28,1382014.415,1565438.695"
Low,Paseo,Mexico,781759.99,42097.99,12157,
Low,Velo,United States of America,143747.85,36772.85,4430,
Low,Velo,Canada,497812.96,70547.95999999999,11520.5,"70547.95999999999,700785.77,771333.73"
Low,Velo,France,824814.27,213794.27,7735,"213794.27,486991.5,700785.77"
Low,Velo,Germany,2103251.5,486991.5,6652,"486991.5,0,486991.5"
Low,Velo,Mexico,288681.4,20779.4,4135,"20779.4,771333.73,792113.13"
Low,VTT,United States of America,1126072.25,167932.25,4186,"167932.25,955604.1699999999,1123536.42"
Low,VTT,Canada,1215748.43,167828.43,6872.5,"167828.43,787775.74,955604.1699999999"
Low,VTT,France,1054659.57,182321.57,5574,
Low,VTT,Germany,1591909.4,327287.39999999997,10334,"327287.39999999997,460488.33999999997,787775.74"
Low,VTT,Mexico,1978856.34,460488.33999999997,9565,"460488.33999999997,0,460488.33999999997"
Medium,Amarilla,United States of America,1323894.38,226059.38,8359,"226059.38,573282.06,799341.4400000001"
Medium,Amarilla,Canada,1250724.925,220344.92500000002,9285.5,"220344.92500000002,799341.4400000001,1019686.3650000001"
Medium,Amarilla,France,1865246.51,331293.51,8648.5,"331293.51,0,331293.51"
Medium,Amarilla,Germany,1004539.55,170294.55,9320,
Medium,Amarilla,Mexico,1495507.5499999998,241988.55000000002,11687,"241988.55000000002,331293.51,573282.06"
Medium,Carretera,United States of America,910793.54,169543.53999999998,6732.5,"169543.53999999998,0,169543.53999999998"
Medium,Carretera,Canada,390937.58999999997,72353.59,8940,"72353.59,400067.32999999996,472420.9199999999"
Medium,Carretera,France,807749.55,111939.55,9034,"111939.55,169543.53999999998,281483.08999999997"
Medium,Carretera,Germany,153021.5,26783.5,5262,
Medium,Carretera,Mexico,711327.24,118584.24,9704,"118584.24,281483.08999999997,400067.32999999996"
Medium,Montana,United States of America,803169.24,11300.239999999998,10429,
Medium,Montana,Canada,1443967.81,148054.81,10213.5,"148054.81,360784.46,508839.27"
Medium,Montana,France,2469385.46,360784.46,18951.5,"360784.46,0,360784.46"
Medium,Montana,Germany,918232.9500000001,128751.95000000001,9151,"128751.95000000001,508839.27,637591.22"
Medium,Montana,Mexico,901434.4,177414.4,5140,"177414.4,637591.22,815005.62"
Medium,Paseo,United States of America,1723932.27,181687.26999999996,25568,"181687.26999999996,465813.11000000004,647500.38"
Medium,Paseo,Canada,1705097.05,276687.05000000005,15955,"276687.05000000005,647500.38,924187.43"
Medium,Paseo,France,1589689.1600000001,227774.16,23868,
Medium,Paseo,Germany,1613763.1400000001,225488.13999999996,25934,"225488.13999999996,924187.43,1149675.57"
Medium,Paseo,Mexico,3312908.1100000003,465813.11000000004,23321,"465813.11000000004,0,465813.11000000004"
Medium,Velo,United States of America,1119338.65,120548.65000000001,13852,"120548.65000000001,723646.2,844194.85"
Medium,Velo,Canada,1685766.1400000001,189879.14,13589.5,"189879.14,398887.24,588766.38"
Medium,Velo,France,2280368.24,398887.24,14097,"398887.24,0,398887.24"
Medium,Velo,Germany,1177359.8199999998,134879.82,10908,"134879.82,588766.38,723646.2"
Medium,Velo,Mexico,525213.58,35678.579999999994,11919,
Medium,VTT,United States of America,1287222.67,203189.67,12070,"203189.67,186461.34,389651.01"
Medium,VTT,Canada,1388934.8399999999,186461.34,13629.5,"186461.34,0,186461.34"
Medium,VTT,France,1045450.4400000001,188577.93999999997,13504,"188577.93999999997,389651.01,578228.95"
Medium,VTT,Germany,957112.92,136897.92,11171,"136897.92,578228.95,715126.87"
Medium,VTT,Mexico,918341.61,91581.61,9455,
None,Amarilla,United States of America,66354,42207,5852,"42207,290959.5,333166.5"
None,Amarilla,France,1000480,266490,4649,"266490,0,266490"
None,Amarilla,Germany,539239.5,24469.5,5905.5,"24469.5,266490,290959.5"
None,Carretera,Canada,32370,16185,1618.5,"16185,177060,193245"
None,Carretera,France,32670,10890,2178,"10890,166170,177060"
None,Carretera,Germany,569290,153820,3722,"153820,0,153820"
None,Carretera,Mexico,37050,12350,2470,"12350,153820,166170"
None,Montana,United States of America,9225,3075,615,
None,Montana,Canada,406528.5,37714.5,5528.5,"37714.5,0,37714.5"
None,Montana,France,37980,18990,1899,"18990,120766.5,139756.5"
None,Montana,Germany,47377,22802,4612,"22802,97964.5,120766.5"
None,Montana,Mexico,324450,60250,3428,"60250,37714.5,97964.5"
None,Paseo,United States of America,18945,10494,2055,"10494,498171,508665"
None,Paseo,Canada,708426,209762,8504,"209762,230013,439775"
None,Paseo,France,8235,2745,549,
None,Paseo,Germany,886054,230013,2886,"230013,0,230013"
None,Paseo,Mexico,294271,58396,5117,"58396,439775,498171"
None,Velo,United States of America,352625,14105,2821,"14105,123894,137999"
None,Velo,Canada,43125,1725,345,"1725,147019,148744"
None,Velo,France,225500,9020,1804,"9020,137999,147019"
None,Velo,Germany,396572,123894,4712,"123894,0,123894"
None,Velo,Mexico,10451,2986,1493,
None,VTT,Canada,636640,118220,3818,"118220,255870,374090"
None,VTT,France,1212420,255870,5856,"255870,0,255870"
None,VTT,Germany,47376,29982,3726,"29982,374090,404072"
