DUMMY_IDENTIFIER,financials.Discount Band,financials.Product,financials.Segment,financials.Country,Sum(financials. Sales),Sum(financials.COGS),
,High,Amarilla,Channel Partners,United States of America,50867.28,14787,"50867.28,118496.52,169363.8"
,High,Amarilla,Channel Partners,Canada,67177.56,18844.5,"67177.56,0,67177.56"
,High,Amarilla,Channel Partners,France,39917.76,11604,"39917.76,169363.8,209281.56"
,High,Amarilla,Channel Partners,Germany,51318.96000000001,14448,"51318.96000000001,67177.56,118496.52"
,High,Amarilla,Channel Partners,Mexico,4280.4,1230,"4280.4,209281.56,213561.96"
,High,Amarilla,Enterprise,United States of America,370867.5,410760,"370867.5,0,370867.5"
,High,Amarilla,Enterprise,Canada,180416.25,199080,"180416.25,722973.75,903390"
,High,Amarilla,Enterprise,France,159421.25,171960,"159421.25,903390,1062811.25"
,High,Amarilla,Enterprise,Germany,352106.25,379800,"352106.25,370867.5,722973.75"
,High,Amarilla,Enterprise,Mexico,105353.75,113640,"105353.75,1062811.25,1168165"
,High,Amarilla,Government,United States of America,83160,70200,"83160,1146197.18,1229357.18"
,High,Amarilla,Government,Canada,945146.44,779890,"945146.44,0,945146.44"
,High,Amarilla,Government,France,38744.16,31712.5,"38744.16,1229357.18,1268101.3399999999"
,High,Amarilla,Government,Mexico,201050.74000000002,144755,"201050.74000000002,945146.44,1146197.18"
,High,Amarilla,Midmarket,United States of America,76346.92499999999,57475,"76346.92499999999,0,76346.92499999999"
,High,Amarilla,Midmarket,Canada,22484.7,17430,"22484.7,157237.875,179722.575"
,High,Amarilla,Midmarket,France,27972,20720,"27972,129265.87499999999,157237.875"
,High,Amarilla,Midmarket,Mexico,52918.95,40270,"52918.95,76346.92499999999,129265.87499999999"
,High,Amarilla,Small Business,United States of America,808110,748250,"808110,861435,1669545"
,High,Amarilla,Small Business,Canada,229104,222000,"229104,1669545,1898649"
,High,Amarilla,Small Business,France,861435,832000,"861435,0,861435"
,High,Amarilla,Small Business,Mexico,139230,136500,"139230,1898649,2037879"
,High,Carretera,Channel Partners,United States of America,4168.8,1158,"4168.8,33481.8,37650.600000000006"
,High,Carretera,Channel Partners,Canada,20687.16,5811,"20687.16,0,20687.16"
,High,Carretera,Channel Partners,France,12794.64,3594,"12794.64,20687.16,33481.8"
,High,Carretera,Enterprise,United States of America,387618.75,413460,"387618.75,1622688.75,2010307.5"
,High,Carretera,Enterprise,Canada,265760,289920,"265760,2010307.5,2276067.5"
,High,Carretera,Enterprise,France,672996.25,734400,"672996.25,0,672996.25"
,High,Carretera,Enterprise,Germany,409275,462240,"409275,1213413.75,1622688.75"
,High,Carretera,Enterprise,Mexico,540417.5,597240,"540417.5,672996.25,1213413.75"
,High,Carretera,Government,United States of America,48015.52,32410,"48015.52,1460676.48,1508692"
,High,Carretera,Government,Canada,281053.5,239980,"281053.5,923538.5800000001,1204592.08"
,High,Carretera,Government,France,589433.4,490615,"589433.4,0,589433.4"
