"C01.Group ","C01.Year ","C01.Month ",Sum(C01.PL),Sum(C01.AC),Sum(C01.FC),
Software,2018,Feb,379,,,379
Software,2018,Mar,344,,,344
Software,2018,Jan,259,,,259
Software,2017,Feb,,272,,
Software,2017,Mar,,346,,
Software,2017,Jan,,203,,
Software,2017,Apr,,340,,
Software,2017,May,,347,,
Software,2017,Jun,,335,,
Software,2017,Jul,,328,,
Software,2017,Aug,,364,,
Software,2017,Sep,,381,,
Software,2017,Oct,,,414,
Software,2017,Nov,,,536,
Software,2017,Dec,,,883,
Support,2018,Feb,268,,,268
Support,2018,Mar,240,,,240
Support,2018,Jan,173,,,173
Support,2017,Feb,,157,,
Support,2017,Mar,,174,,
Support,2017,Jan,,70,,
Support,2017,Apr,,204,,
Support,2017,May,,196,,
Support,2017,Jun,,203,,
Support,2017,Jul,,230,,
Support,2017,Aug,,238,,
Support,2017,Sep,,268,,
Support,2017,Oct,,,246,
Support,2017,Nov,,,138,
Support,2017,Dec,,,168,
Training,2018,Feb,64,,,64
Training,2018,Mar,74,,,74
Training,2018,Jan,76,,,76
Training,2017,Feb,,40,,
Training,2017,Mar,,47,,
Training,2017,Jan,,44,,
Training,2017,Apr,,56,,
Training,2017,May,,67,,
Training,2017,Jun,,44,,
Training,2017,Jul,,56,,
Training,2017,Aug,,59,,
Training,2017,Sep,,60,,
Training,2017,Oct,,,25,
Training,2017,Nov,,,17,
Training,2017,Dec,,,12,
Consulting,2018,Feb,211,,,211
Consulting,2018,Mar,188,,,188
Consulting,2018,Jan,209,,,209
Consulting,2017,Feb,,186,,
Consulting,2017,Mar,,192,,
Consulting,2017,Jan,,172,,
Consulting,2017,Apr,,184,,
Consulting,2017,May,,183,,
Consulting,2017,Jun,,188,,
Consulting,2017,Jul,,184,,
Consulting,2017,Aug,,167,,
Consulting,2017,Sep,,183,,
Consulting,2017,Oct,,,183,
Consulting,2017,Nov,,,107,
Consulting,2017,Dec,,,111,
Other,2018,Feb,61,,,61
Other,2018,Mar,60,,,60
Other,2018,Jan,69,,,69
Other,2017,Feb,,29,,
Other,2017,Mar,,45,,
Other,2017,Jan,,47,,
Other,2017,Apr,,40,,
Other,2017,May,,56,,
Other,2017,Jun,,47,,
Other,2017,Jul,,40,,
Other,2017,Aug,,56,,
Other,2017,Sep,,59,,
Other,2017,Oct,,,62,
Other,2017,Nov,,,61,
Other,2017,Dec,,,53,
