C04.City,Sum(C04.AC),Sum(C04.PL),
New York,211,201,"201,494,695"
Texas,197,201,"201,970,1171"
California,188,154,"154,118,272"
Ohio,131,100,"100,0,100"
Maryland,125,123,"123,847,970"
Maine,111,109,"109,738,847"
New Hampshire,79,70,"70,355,425"
New Jersey,78,109,"109,1306,1415"
Wisconsin,76,82,"82,1224,1306"
New Mexico,73,69,"69,425,494"
Virginia,69,166,"166,1524,1690"
Missouri,59,88,"88,1436,1524"
Connecticut,50,53,"53,1171,1224"
Hawaii,49,43,"43,312,355"
South Carolina,46,40,"40,272,312"
Kansas,45,43,"43,695,738"
Nevada,23,18,"18,100,118"
Alaska,15,21,"21,1415,1436"
Unknown2,12,10,
Unknown9,12,10,
Unknown10,12,11,
Unknown13,12,11,
Unknown16,12,11,
Unknown19,12,10,
Unknown20,12,10,
Unknown1,11,10,
Unknown4,11,9,
Unknown5,11,11,
Unknown6,11,9,
Unknown7,11,10,
Unknown8,11,9,
Unknown11,11,10,
Unknown12,11,10,
Unknown15,11,11,
Unknown3,10,10,
Unknown18,10,8,
Unknown14,8,10,
Unknown17,8,9,
