financials.Date.Variation.Date Hierarchy.Month,Sum(financials. Sales),,Sum(financials.COGS)
October,21671431.019999996,"21671431.019999996,67036272.760000005,88707703.78",18231650
December,17367228.979999997,"17367228.979999997,101359121.28,118726350.25999999",14649899
November,12651417.499999996,"12651417.499999996,88707703.78,101359121.28",11281315
September,10882697.27,"10882697.27,56153575.49,67036272.760000005",9095962
June,9518893.819999997,"9518893.819999997,32667139.07,42186032.89",8045140
July,8102920.180000002,"8102920.180000002,42186032.89,50288953.07",7179054.5
February,7297531.390000001,"7297531.390000001,6607761.68,13905293.07",6148984
April,6964775.07,"6964775.07,19492152.939999998,26456928.009999998",6034790.5
January,6607761.68,"6607761.68,0,6607761.68",5793733
May,6210211.0600000005,"6210211.0600000005,26456928.009999998,32667139.07",5381571
August,5864622.42,"5864622.42,50288953.07,56153575.49",5073556
March,5586859.869999999,"5586859.869999999,13905293.07,19492152.939999998",4916993
