"C01.Group ","C01.Month ",Sum(C01.AC),Sum(C01.FC),
Software,Sep,381,,
Software,Aug,364,,
Software,May,347,,
Software,Jul,328,,
Software,Apr,340,,
Software,Jun,335,,
Software,Mar,346,,
Software,Feb,272,,
Software,Jan,203,,
Software,Oct,,414,414
Software,Nov,,536,536
Software,Dec,,883,883
Support,Sep,268,,
Support,Aug,238,,
Support,May,196,,
Support,Jul,230,,
Support,Apr,204,,
Support,Jun,203,,
Support,Mar,174,,
Support,Feb,157,,
Support,Jan,70,,
Support,Oct,,246,246
Support,Nov,,138,138
Support,Dec,,168,168
Training,Sep,60,,
Training,Aug,59,,
Training,May,67,,
Training,Jul,56,,
Training,Apr,56,,
Training,Jun,44,,
Training,Mar,47,,
Training,Feb,40,,
Training,Jan,44,,
Training,Oct,,25,25
Training,Nov,,17,17
Training,Dec,,12,12
Consulting,Sep,183,,
Consulting,Aug,167,,
Consulting,May,183,,
Consulting,Jul,184,,
Consulting,Apr,184,,
Consulting,Jun,188,,
Consulting,Mar,192,,
Consulting,Feb,186,,
Consulting,Jan,172,,
Consulting,Oct,,183,183
Consulting,Nov,,107,107
Consulting,Dec,,111,111
Other,Sep,59,,
Other,Aug,56,,
Other,May,56,,
Other,Jul,40,,
Other,Apr,40,,
Other,Jun,47,,
Other,Mar,45,,
Other,Feb,29,,
Other,Jan,47,,
Other,Oct,,62,62
Other,Nov,,61,61
Other,Dec,,53,53
