C13.City,C13.Year,Sum(C13.AC),,Sum(C13.PL)
Albania,2006,12,"35.52,0,35.52",12
Albania,2007,5,"32.88,35.52,68.4",5
Albania,2008,8,"35.48,68.4,103.88",8
Albania,2009,6,"34.76,103.88,138.64",6
Albania,2010,16,"39.64,138.64,178.27999999999997",16
Albania,2011,13,"42.2,178.27999999999997,220.47999999999996",13
Albania,2012,10,"39.8,220.47999999999996,260.28",10
Albania,2013,-6,"41.28,260.28,301.55999999999995",-6
Albania,2014,14,"46.64,301.55999999999995,348.19999999999993",14
Albania,2015,-5,"44.12,348.19999999999993,392.31999999999994",-5
Albania,2016,,",392.31999999999994,392.31999999999994",10
Albania,2017,,",392.31999999999994,392.31999999999994",9
Austria,2006,-7,"35.52,0,35.52",-7
Austria,2007,8,"32.88,35.52,68.4",8
Austria,2008,5,"35.48,68.4,103.88",5
Austria,2009,5,"34.76,103.88,138.64",5
Austria,2010,12,"39.64,138.64,178.27999999999997",12
Austria,2011,8,"42.2,178.27999999999997,220.47999999999996",8
Austria,2012,5,"39.8,220.47999999999996,260.28",5
Austria,2013,8,"41.28,260.28,301.55999999999995",8
Austria,2014,4,"46.64,301.55999999999995,348.19999999999993",4
Austria,2015,8,"44.12,348.19999999999993,392.31999999999994",8
Austria,2016,,",392.31999999999994,392.31999999999994",5
Austria,2017,,",392.31999999999994,392.31999999999994",6
Basel,2006,88,"35.52,0,35.52",88
Basel,2007,78,"32.88,35.52,68.4",78
Basel,2008,67,"35.48,68.4,103.88",67
Basel,2009,56,"34.76,103.88,138.64",56
Basel,2010,43,"39.64,138.64,178.27999999999997",43
Basel,2011,41,"42.2,178.27999999999997,220.47999999999996",41
Basel,2012,52,"39.8,220.47999999999996,260.28",52
Basel,2013,66,"41.28,260.28,301.55999999999995",66
Basel,2014,69,"46.64,301.55999999999995,348.19999999999993",69
Basel,2015,79,"44.12,348.19999999999993,392.31999999999994",79
Basel,2016,,",392.31999999999994,392.31999999999994",84
Basel,2017,,",392.31999999999994,392.31999999999994",86
Berlin,2006,66,"35.52,0,35.52",66
Berlin,2007,34,"32.88,35.52,68.4",34
Berlin,2008,28,"35.48,68.4,103.88",28
Berlin,2009,65,"34.76,103.88,138.64",65
Berlin,2010,136,"39.64,138.64,178.27999999999997",136
Berlin,2011,168,"42.2,178.27999999999997,220.47999999999996",168
Berlin,2012,190,"39.8,220.47999999999996,260.28",190
Berlin,2013,207,"41.28,260.28,301.55999999999995",207
Berlin,2014,344,"46.64,301.55999999999995,348.19999999999993",344
Berlin,2015,301,"44.12,348.19999999999993,392.31999999999994",301
Berlin,2016,,",392.31999999999994,392.31999999999994",309
Berlin,2017,,",392.31999999999994,392.31999999999994",311
Bordeaux,2006,68,"35.52,0,35.52",68
Bordeaux,2007,62,"32.88,35.52,68.4",62
Bordeaux,2008,69,"35.48,68.4,103.88",69
Bordeaux,2009,84,"34.76,103.88,138.64",84
Bordeaux,2010,60,"39.64,138.64,178.27999999999997",60
Bordeaux,2011,63,"42.2,178.27999999999997,220.47999999999996",63
Bordeaux,2012,72,"39.8,220.47999999999996,260.28",72
Bordeaux,2013,51,"41.28,260.28,301.55999999999995",51
Bordeaux,2014,70,"46.64,301.55999999999995,348.19999999999993",70
Bordeaux,2015,66,"44.12,348.19999999999993,392.31999999999994",66
Bordeaux,2016,,",392.31999999999994,392.31999999999994",65
Bordeaux,2017,,",392.31999999999994,392.31999999999994",67
Bulgaria,2006,7,"35.52,0,35.52",7
Bulgaria,2007,0,"32.88,35.52,68.4",0
