Opportunities.Probability,Opportunities.Campaign Name,Opportunities.Product Name,Sum(Opportunities.Budget),
10.0%,,Design app,1499750,"1499750,0,1499750"
10.0%,,Stand-up Desks,524375,"524375,4174375,4698750"
10.0%,,All-in-One,1053875,"1053875,1499750,2553625"
10.0%,,Mobile app,917500,"917500,2553625,3471125"
10.0%,,Tablets,110750,"110750,4965250,5076000"
10.0%,,Ergonomic Seating,85750,"85750,5181000,5266750"
10.0%,,Scanners,703250,"703250,3471125,4174375"
10.0%,,Laser Printers,155625,"155625,4698750,4854375"
10.0%,,Desktops,105000,"105000,5076000,5181000"
10.0%,,Webcams,110875,"110875,4854375,4965250"
10.0%,Consumer Tradeshow,Design app,3375,"3375,16125,19500"
10.0%,Consumer Tradeshow,Mobile app,7000,"7000,9125,16125"
10.0%,Consumer Tradeshow,Desktops,9125,"9125,0,9125"
10.0%,Customer Care Campaign,Design app,3375,"3375,153500,156875"
10.0%,Customer Care Campaign,Mobile app,121000,"121000,0,121000"
10.0%,Customer Care Campaign,Scanners,32500,"32500,121000,153500"
10.0%,Customer Follow-up,Design app,125625,"125625,0,125625"
10.0%,Market Trends Newsletter,Stand-up Desks,11250,"11250,91375,102625"
10.0%,Market Trends Newsletter,Mobile app,6500,"6500,111375,117875"
10.0%,Market Trends Newsletter,Scanners,91375,"91375,0,91375"
10.0%,Market Trends Newsletter,Webcams,8750,"8750,102625,111375"
10.0%,Monthly Newsletter,Design app,138500,"138500,0,138500"
10.0%,Monthly Newsletter,All-in-One,26625,"26625,298500,325125"
10.0%,Monthly Newsletter,Mobile app,88500,"88500,138500,227000"
10.0%,Monthly Newsletter,Laser Printers,71500,"71500,227000,298500"
10.0%,New Product Releases,Stand-up Desks,52875,"52875,0,52875"
10.0%,New Product Releases,Ergonomic Seating,10625,"10625,102000,112625"
10.0%,New Product Releases,Scanners,49125,"49125,52875,102000"
10.0%,New Product Releases,Webcams,2875,"2875,112625,115500"
10.0%,Twitter,Stand-up Desks,5125,"5125,67500,72625"
10.0%,Twitter,Scanners,67500,"67500,0,67500"
10.0%,Twitter,Webcams,3250,"3250,72625,75875"
30.0%,,Design app,3265375,"3265375,0,3265375"
30.0%,,Stand-up Desks,1095750,"1095750,7643750,8739500"
30.0%,,All-in-One,2516125,"2516125,3265375,5781500"
30.0%,,Mobile app,1862250,"1862250,5781500,7643750"
30.0%,,Tablets,307375,"307375,10723625,11031000"
30.0%,,Ergonomic Seating,446500,"446500,9535250,9981750"
30.0%,,Scanners,795750,"795750,8739500,9535250"
30.0%,,Laser Printers,395000,"395000,9981750,10376750"
30.0%,,Desktops,346875,"346875,10376750,10723625"
30.0%,,Webcams,220125,"220125,11031000,11251125"
30.0%,Consumer Tradeshow,Design app,11875,"11875,52000,63875"
30.0%,Consumer Tradeshow,All-in-One,29750,"29750,0,29750"
30.0%,Consumer Tradeshow,Mobile app,9500,"9500,63875,73375"
30.0%,Consumer Tradeshow,Tablets,2750,"2750,73375,76125"
30.0%,Consumer Tradeshow,Desktops,22250,"22250,29750,52000"
30.0%,Customer Care Campaign,Mobile app,351625,"351625,0,351625"
30.0%,Customer Care Campaign,Scanners,27875,"27875,351625,379500"
30.0%,Customer Follow-up,Design app,103375,"103375,0,103375"
30.0%,Market Trends Newsletter,Stand-up Desks,15250,"15250,118625,133875"
30.0%,Market Trends Newsletter,Scanners,101375,"101375,0,101375"
30.0%,Market Trends Newsletter,Desktops,2625,"2625,133875,136500"
30.0%,Market Trends Newsletter,Webcams,17250,"17250,101375,118625"
30.0%,Monthly Newsletter,Design app,373875,"373875,0,373875"
30.0%,Monthly Newsletter,Stand-up Desks,10625,"10625,706000,716625"
30.0%,Monthly Newsletter,All-in-One,121875,"121875,513000,634875"
30.0%,Monthly Newsletter,Mobile app,71125,"71125,634875,706000"
30.0%,Monthly Newsletter,Laser Printers,139125,"139125,373875,513000"
30.0%,New Product Releases,Stand-up Desks,60125,"60125,81750,141875"
30.0%,New Product Releases,Tablets,2750,"2750,181625,184375"
30.0%,New Product Releases,Ergonomic Seating,39750,"39750,141875,181625"
30.0%,New Product Releases,Scanners,81750,"81750,0,81750"
30.0%,New Product Releases,Webcams,2000,"2000,184375,186375"
30.0%,Twitter,Stand-up Desks,30125,"30125,87625,117750"
30.0%,Twitter,Ergonomic Seating,2625,"2625,138125,140750"
30.0%,Twitter,Scanners,87625,"87625,0,87625"
30.0%,Twitter,Desktops,5250,"5250,132875,138125"
30.0%,Twitter,Webcams,15125,"15125,117750,132875"
50.0%,,Design app,6031500,"6031500,0,6031500"
50.0%,,Stand-up Desks,2323500,"2323500,6031500,8355000"
50.0%,,All-in-One,2013875,"2013875,8355000,10368875"
50.0%,,Mobile app,750250,"750250,12716250,13466500"
50.0%,,Tablets,1537750,"1537750,10368875,11906625"
50.0%,,Ergonomic Seating,809625,"809625,11906625,12716250"
50.0%,,Scanners,299375,"299375,15012125,15311500"
50.0%,,Laser Printers,574500,"574500,14091375,14665875"
50.0%,,Desktops,624875,"624875,13466500,14091375"
50.0%,,Webcams,346250,"346250,14665875,15012125"
50.0%,Consumer Tradeshow,Design app,46375,"46375,425000,471375"
50.0%,Consumer Tradeshow,Stand-up Desks,79625,"79625,214500,294125"
50.0%,Consumer Tradeshow,All-in-One,126625,"126625,0,126625"
50.0%,Consumer Tradeshow,Mobile app,22625,"22625,471375,494000"
50.0%,Consumer Tradeshow,Tablets,87875,"87875,126625,214500"
