Opportunities.Product Name,Sum(Opportunities.Budget),Avg(Opportunities.Discount),
Design app,21296500,3.6603978978978726,"3.6603978978978726,0,3.6603978978978726"
Stand-up Desks,8685625,3.754291417165633,"3.754291417165633,3.6603978978978726,7.414689315063505"
All-in-One,8563125,1.3738785046729052,"1.3738785046729052,7.414689315063505,8.78856781973641"
Mobile app,6957375,1.9569200779727094,"1.9569200779727094,8.78856781973641,10.74548789770912"
Tablets,6051625,6.535880195599031,"6.535880195599031,10.74548789770912,17.281368093308153"
Ergonomic Seating,2925875,4.287727272727266,"4.287727272727266,17.281368093308153,21.56909536603542"
Scanners,2813750,0.8401812688821744,"0.8401812688821744,21.56909536603542,22.409276634917592"
Laser Printers,2519625,2.5076009501187433,"2.5076009501187433,22.409276634917592,24.916877585036335"
Desktops,2132125,4.131766055045871,"4.131766055045871,24.916877585036335,29.048643640082204"
Webcams,1289000,3.542596153846119,"3.542596153846119,29.048643640082204,32.591239793928324"
