Opportunities.Probability,Opportunities.Product Name,Sum(Opportunities.Budget),
0.1,Design app,1770625,"1770625,0,1770625"
0.1,Stand-up Desks,593625,"593625,4935375,5529000"
0.1,All-in-One,1080500,"1080500,2911125,3991625"
0.1,Mobile app,1140500,"1140500,1770625,2911125"
0.1,Tablets,110750,"110750,5996000,6106750"
0.1,Ergonomic Seating,96375,"96375,6106750,6203125"
0.1,Scanners,943750,"943750,3991625,4935375"
0.1,Laser Printers,227125,"227125,5529000,5756125"
0.1,Desktops,114125,"114125,5881875,5996000"
0.1,Webcams,125750,"125750,5756125,5881875"
0.3,Design app,3754500,"3754500,0,3754500"
0.3,Stand-up Desks,1211875,"1211875,8716750,9928625"
0.3,All-in-One,2667750,"2667750,3754500,6422250"
0.3,Mobile app,2294500,"2294500,6422250,8716750"
0.3,Tablets,312875,"312875,12423000,12735875"
0.3,Ergonomic Seating,488875,"488875,11557125,12046000"
0.3,Scanners,1094375,"1094375,9928625,11023000"
0.3,Laser Printers,534125,"534125,11023000,11557125"
0.3,Desktops,377000,"377000,12046000,12423000"
0.3,Webcams,254500,"254500,12735875,12990375"
0.5,Design app,7619000,"7619000,0,7619000"
0.5,Stand-up Desks,3205500,"3205500,7619000,10824500"
0.5,All-in-One,2277875,"2277875,10824500,13102375"
0.5,Mobile app,1447375,"1447375,14749000,16196375"
0.5,Tablets,1646625,"1646625,13102375,14749000"
0.5,Ergonomic Seating,1126000,"1126000,16196375,17322375"
0.5,Scanners,720750,"720750,18870375,19591125"
0.5,Laser Printers,782500,"782500,17322375,18104875"
0.5,Desktops,765500,"765500,18104875,18870375"
0.5,Webcams,423625,"423625,19591125,20014750"
0.9,Design app,8152375,"8152375,0,8152375"
0.9,Stand-up Desks,3674625,"3674625,12133750,15808375"
0.9,All-in-One,2537000,"2537000,15808375,18345375"
0.9,Mobile app,2075000,"2075000,18345375,20420375"
0.9,Tablets,3981375,"3981375,8152375,12133750"
0.9,Ergonomic Seating,1214625,"1214625,20420375,21635000"
0.9,Scanners,54875,"54875,23971500,24026375"
0.9,Laser Printers,975875,"975875,21635000,22610875"
0.9,Desktops,875500,"875500,22610875,23486375"
0.9,Webcams,485125,"485125,23486375,23971500"
