Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Sales),,Sum(Orders.Profit)
1,95524.56639999992,"95524.56639999992,0,95524.56639999992",17006.774999999998
2,105139.12400000008,"105139.12400000008,95524.56639999992,200663.69040000002",19441.09070000001
3,72319.92459999994,"72319.92459999994,200663.69040000002,272983.615",7090.523300000005
4,68162.33899999996,"68162.33899999996,272983.615,341145.95399999997",6873.636600000004
5,64520.50879999995,"64520.50879999995,341145.95399999997,405666.4627999999",7498.293799999992
6,53306.85799999996,"53306.85799999996,405666.4627999999,458973.32079999987",7489.697799999996
7,62610.90650000002,"62610.90650000002,458973.32079999987,521584.2272999999",3773.08999999999
8,101577.95059999997,"101577.95059999997,521584.2272999999,623162.1778999999",12088.527900000008
9,66582.36499999993,"66582.36499999993,623162.1778999999,689744.5428999998",9917.162800000018
10,62993.84099999999,"62993.84099999999,689744.5428999998,752738.3838999998",5315.290899999995
11,69615.23149999997,"69615.23149999997,752738.3838999998,822353.6153999998",6871.532699999992
12,65563.69619999999,"65563.69619999999,822353.6153999998,887917.3115999998",5437.6936000000005
13,80023.84439999991,"80023.84439999991,887917.3115999998,967941.1559999997",7528.883600000008
14,71955.12050000002,"71955.12050000002,967941.1559999997,1039896.2764999997",12841.006300000005
15,58147.90299999996,"58147.90299999996,1039896.2764999997,1098044.1794999996",5421.5608
16,73053.21750000003,"73053.21750000003,1098044.1794999996,1171097.3969999996",12468.529999999999
17,112155.14019999994,"112155.14019999994,1171097.3969999996,1283252.5371999997",17155.365400000006
18,90737.98250000003,"90737.98250000003,1283252.5371999997,1373990.5196999996",6279.7063000000035
19,77927.49780000006,"77927.49780000006,1373990.5196999996,1451918.0174999996",5605.141799999999
20,72323.98660000002,"72323.98660000002,1451918.0174999996,1524242.0040999996",10074.361200000001
21,95784.2467999999,"95784.2467999999,1524242.0040999996,1620026.2508999994",16681.156699999985
22,66477.00299999997,"66477.00299999997,1620026.2508999994,1686503.2538999994",9378.48179999999
23,88785.56900000006,"88785.56900000006,1686503.2538999994,1775288.8228999996",20096.611100000013
24,77519.08499999998,"77519.08499999998,1775288.8228999996,1852807.9078999995",11855.613399999998
25,82401.20580000003,"82401.20580000003,1852807.9078999995,1935209.1136999996",2029.3776999999925
26,78544.15800000004,"78544.15800000004,1935209.1136999996,2013753.2716999997",7083.983200000006
27,59240.64309999998,"59240.64309999998,2013753.2716999997,2072993.9147999997",7019.649900000009
28,64838.46260000001,"64838.46260000001,2072993.9147999997,2137832.3773999996",4868.154799999991
29,44806.686699999955,"44806.686699999955,2137832.3773999996,2182639.0640999996",5418.807800000002
30,64858.27139999998,"64858.27139999998,2182639.0640999996,2247497.3354999996",5865.807600000002
31,49703.52479999995,"49703.52479999995,2247497.3354999996,2297200.8602999994",9921.507199999998
