Orders.Ship Mode,Orders.Segment,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),
First Class,Consumer,Copiers,7386.969099999999,16,1.2000000000000002,18279.882,"18279.882,0,18279.882"
First Class,Consumer,Phones,3991.698599999999,236,9.200000000000005,24829.800000000003,"24829.800000000003,18279.882,43109.682"
First Class,Consumer,Accessories,3846.8691000000003,256,4.400000000000001,14192.402000000002,"14192.402000000002,43109.682,57302.084"
First Class,Consumer,Paper,2109.1357,361,8.000000000000004,5070.268000000001,"5070.268000000001,67072.03600000001,72142.304"
First Class,Consumer,Binders,685.5684999999958,427,47.59999999999992,16963.282999999985,"16963.282999999985,114149.02299999999,131112.30599999998"
First Class,Consumer,Chairs,1580.4697999999994,157,7.499999999999997,23810.191,"23810.191,72142.304,95952.495"
First Class,Consumer,Storage,1095.8140999999996,209,4.200000000000001,10299.739999999998,"10299.739999999998,103849.283,114149.02299999999"
First Class,Consumer,Appliances,2318.5741,153,4.8,9769.952,"9769.952,57302.084,67072.03600000001"
First Class,Consumer,Furnishings,1227.8458999999996,287,10,7896.787999999999,"7896.787999999999,95952.495,103849.283"
First Class,Consumer,Envelopes,472.1837,46,1.2,1089.8000000000002,"1089.8000000000002,131112.30599999998,132202.10599999997"
First Class,Consumer,Art,437.38019999999995,217,5.400000000000002,1831.0080000000007,"1831.0080000000007,133239.00799999997,135070.01599999997"
First Class,Consumer,Labels,460.6333999999999,133,3.0000000000000004,1036.9020000000003,"1036.9020000000003,132202.10599999997,133239.00799999997"
First Class,Consumer,Machines,-3664.7874,22,5.700000000000001,3787.3500000000004,"3787.3500000000004,155381.615,159168.965"
First Class,Consumer,Fasteners,62.602199999999996,51,0.6000000000000001,167.192,"167.192,137042.38199999998,137209.574"
First Class,Consumer,Supplies,92.66330000000002,44,0.8,1972.366,"1972.366,135070.01599999997,137042.38199999998"
First Class,Consumer,Bookcases,-373.3393000000002,88,5.71,8980.586,"8980.586,146401.02899999998,155381.615"
First Class,Consumer,Tables,-356.2374000000005,62,4.6,9191.455000000002,"9191.455000000002,137209.574,146401.02899999998"
First Class,Corporate,Copiers,2033.4531999999995,14,0.8,5509.878000000001,"5509.878000000001,14766.4,20276.278"
First Class,Corporate,Phones,2233.1228999999994,154,5.400000000000002,14766.4,"14766.4,0,14766.4"
First Class,Corporate,Accessories,1300.1628999999998,137,3.0000000000000004,4970.434000000001,"4970.434000000001,49535.78499999999,54506.21899999999"
First Class,Corporate,Paper,1998.0164999999993,287,6.400000000000003,4489.554,"4489.554,20276.278,24765.832"
First Class,Corporate,Binders,1134.582899999999,313,31.7,7849.763,"7849.763,54506.21899999999,62355.98199999999"
First Class,Corporate,Chairs,72.9342999999995,101,5.5,14329.007,"14329.007,82397.89499999999,96726.90199999999"
First Class,Corporate,Storage,1455.5375999999999,156,3.400000000000001,10815.001999999997,"10815.001999999997,38720.782999999996,49535.78499999999"
First Class,Corporate,Appliances,1077.557,91,2.5,5194.147999999999,"5194.147999999999,62355.98199999999,67550.12999999999"
First Class,Corporate,Furnishings,641.5359999999998,186,7.999999999999999,4081.3740000000007,"4081.3740000000007,67550.12999999999,71631.50399999999"
First Class,Corporate,Envelopes,243.21059999999994,34,1.2,651.4200000000001,"651.4200000000001,80582.89099999999,81234.31099999999"
First Class,Corporate,Art,134.98839999999996,96,2.8000000000000003,695.2539999999999,"695.2539999999999,81702.64099999999,82397.89499999999"
First Class,Corporate,Labels,209.84969999999996,69,1,468.3299999999999,"468.3299999999999,81234.31099999999,81702.64099999999"
First Class,Corporate,Machines,1668.495199999999,31,2.8,13954.951000000001,"13954.951000000001,24765.832,38720.782999999996"
First Class,Corporate,Fasteners,54.03099999999999,43,1.2,155.04999999999998,"155.04999999999998,96726.90199999999,96881.95199999999"
First Class,Corporate,Supplies,-8.461599999999947,21,0.6000000000000001,1260.694,"1260.694,96881.95199999999,98142.646"
First Class,Corporate,Bookcases,-82.1348000000001,77,3.7199999999999993,7715.823900000001,"7715.823900000001,98142.646,105858.4699"
First Class,Corporate,Tables,297.5905999999997,51,3.0999999999999996,8951.386999999999,"8951.386999999999,71631.50399999999,80582.89099999999"
First Class,Home Office,Copiers,5377.9569999999985,15,0.4,15579.870000000003,"15579.870000000003,0,15579.870000000003"
First Class,Home Office,Phones,2175.4485000000004,111,4.400000000000001,14019.668,"14019.668,26924.63700000001,40944.30500000001"
First Class,Home Office,Accessories,760.3810999999998,68,1.7999999999999998,3063.856,"3063.856,52331.555000000015,55395.411000000015"
First Class,Home Office,Paper,812.1469,137,1.9999999999999998,1819.9760000000003,"1819.9760000000003,50511.57900000001,52331.555000000015"
First Class,Home Office,Binders,2307.991099999999,178,18.299999999999997,11344.767000000009,"11344.767000000009,15579.870000000003,26924.63700000001"
First Class,Home Office,Chairs,991.8107999999997,77,2.5,9567.274000000001,"9567.274000000001,40944.30500000001,50511.57900000001"
First Class,Home Office,Storage,460.83200000000005,93,1.5999999999999999,5158.5160000000005,"5158.5160000000005,55395.411000000015,60553.92700000002"
First Class,Home Office,Appliances,147.7299999999999,9,0.5,761.924,"761.924,74279.79200000002,75041.71600000001"
First Class,Home Office,Furnishings,223.71460000000002,67,3,1179.7939999999999,"1179.7939999999999,67787.26300000002,68967.05700000002"
First Class,Home Office,Envelopes,286.20179999999993,34,1,822.236,"822.236,66965.02700000002,67787.26300000002"
First Class,Home Office,Art,177.98140000000004,101,2.4,943.826,"943.826,68967.05700000002,69910.88300000002"
First Class,Home Office,Labels,134.23209999999997,48,1,330.748,"330.748,75041.71600000001,75372.46400000002"
First Class,Home Office,Machines,392.79319999999933,23,1.2,6411.1,"6411.1,60553.92700000002,66965.02700000002"
First Class,Home Office,Fasteners,10.441999999999998,12,0.6000000000000001,35.356,"35.356,75707.69800000002,75743.05400000002"
First Class,Home Office,Supplies,28.904500000000013,9,0.2,335.23400000000004,"335.23400000000004,75372.46400000002,75707.69800000002"
First Class,Home Office,Bookcases,149.4766,22,1.6400000000000001,4368.909000000001,"4368.909000000001,69910.88300000002,74279.79200000002"
First Class,Home Office,Tables,-1306.7197000000006,63,3.5999999999999996,10657.934,"10657.934,75743.05400000002,86400.98800000001"
Same Day,Consumer,Copiers,1154.9795,7,0.2,3399.9400000000005,"3399.9400000000005,13706.576000000001,17106.516000000003"
Same Day,Consumer,Phones,924.5854999999996,85,3.6,8158.380000000001,"8158.380000000001,23197.652000000002,31356.032000000003"
Same Day,Consumer,Accessories,2518.0355000000004,115,2.6,9454.772,"9454.772,0,9454.772"
Same Day,Consumer,Paper,937.5067999999995,152,4.400000000000001,2200.634,"2200.634,20997.018000000004,23197.652000000002"
Same Day,Consumer,Binders,953.7576999999992,160,15.999999999999996,3890.502000000001,"3890.502000000001,17106.516000000003,20997.018000000004"
Same Day,Consumer,Chairs,597.4019000000001,83,2.9999999999999996,10459.779,"10459.779,34608.646,45068.425"
Same Day,Consumer,Storage,283.37799999999993,104,3.2000000000000006,4450.988000000001,"4450.988000000001,45068.425,49519.413"
Same Day,Consumer,Appliances,805.4432999999998,41,1.9000000000000001,3252.6139999999996,"3252.6139999999996,31356.032000000003,34608.646"
Same Day,Consumer,Furnishings,125.13260000000007,122,7.399999999999999,3277.2260000000006,"3277.2260000000006,51109.395000000004,54386.62100000001"
Same Day,Consumer,Envelopes,187.5898,39,0.8,447.576,"447.576,50283.945,50731.521"
Same Day,Consumer,Art,191.81349999999998,79,1.9999999999999998,764.5320000000002,"764.5320000000002,49519.413,50283.945"
Same Day,Consumer,Labels,156.81500000000003,41,0.6000000000000001,377.874,"377.874,50731.521,51109.395000000004"
Same Day,Consumer,Machines,1665.0440999999998,9,0.7,4251.803999999999,"4251.803999999999,9454.772,13706.576000000001"
Same Day,Consumer,Fasteners,34.49569999999999,35,0.4,90.93200000000002,"90.93200000000002,54386.62100000001,54477.55300000001"
Same Day,Consumer,Supplies,22.237799999999993,13,0.2,100.60000000000001,"100.60000000000001,55040.170000000006,55140.770000000004"
Same Day,Consumer,Bookcases,25.168599999999984,2,0.35,562.617,"562.617,54477.55300000001,55040.170000000006"
