Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),
Copiers,55617.824900000036,234,11,149528.02999999994,"149528.02999999994,0,149528.02999999994"
Phones,44515.73059999999,3289,137.40000000000003,330007.0539999998,"330007.0539999998,149528.02999999994,479535.0839999998"
Accessories,41936.635699999955,2976,60.800000000000004,167380.318,"167380.318,479535.0839999998,646915.4019999998"
Paper,34053.56929999999,5178,102.60000000000001,78479.20599999995,"78479.20599999995,646915.4019999998,725394.6079999998"
Binders,30221.763299999973,5974,567,203412.73300000004,"203412.73300000004,725394.6079999998,928807.3409999998"
Chairs,26590.16630000003,2356,104.99999999999922,328449.10300000064,"328449.10300000064,928807.3409999998,1257256.4440000004"
Storage,21278.82639999999,3158,63.2,223843.60799999998,"223843.60799999998,1257256.4440000004,1481100.0520000004"
Appliances,18138.00540000003,1729,77.59999999999987,107532.1610000001,"107532.1610000001,1481100.0520000004,1588632.2130000005"
Furnishings,13059.143600000005,3563,132.39999999999938,91705.16399999989,"91705.16399999989,1588632.2130000005,1680337.3770000003"
Envelopes,6964.176699999995,906,20.4,16476.402,"16476.402,1680337.3770000003,1696813.7790000003"
Art,6527.786999999998,3000,59.60000000000001,27118.791999999998,"27118.791999999998,1696813.7790000003,1723932.5710000002"
Labels,5546.253999999996,1400,25,12486.312000000005,"12486.312000000005,1723932.5710000002,1736418.8830000001"
Machines,3384.756899999995,440,35.199999999999974,189238.631,"189238.631,1736418.8830000001,1925657.5140000002"
Fasteners,949.5181999999995,914,17.8,3024.2799999999997,"3024.2799999999997,1925657.5140000002,1928681.7940000002"
Supplies,-1189.0994999999998,647,14.600000000000001,46673.53799999997,"46673.53799999997,1928681.7940000002,1975355.3320000002"
Bookcases,-3472.5560000000046,868,48.13999999999997,114879.9963,"114879.9963,1975355.3320000002,2090235.3283000002"
Tables,-17725.481100000015,1241,83.34999999999987,206965.53199999995,"206965.53199999995,2090235.3283000002,2297200.8603000003"
