Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Profit),,CountNonNull(Orders.Country),Min(Orders.Segment)
2017,Qtr 4,November,17,5895.3981,"16,9323,9339",16,Consumer
2017,Qtr 4,November,26,1251.3573999999994,"16,9474,9490",16,Consumer
2017,Qtr 4,November,9,1219.0434999999995,"12,9199,9211",12,Consumer
2017,Qtr 4,November,24,935.9258,"25,9436,9461",25,Consumer
2017,Qtr 4,November,2,929.1536,"25,9077,9102",25,Consumer
2017,Qtr 4,November,3,675.2008000000001,"23,9102,9125",23,Consumer
2017,Qtr 4,November,27,643.252,"13,9490,9503",13,Consumer
2017,Qtr 4,November,6,562.9597999999997,"27,9160,9187",27,Consumer
2017,Qtr 4,November,20,555.2367999999999,"17,9386,9403",17,Consumer
2017,Qtr 4,November,16,539.0092999999996,"18,9305,9323",18,Consumer
2017,Qtr 4,November,5,525.4202,"18,9142,9160",18,Consumer
2017,Qtr 4,November,1,358.89690000000013,"4,9073,9077",4,Consumer
2017,Qtr 4,November,28,328.9201999999999,"12,9503,9515",12,Consumer
2017,Qtr 4,November,21,301.3297999999999,"15,9403,9418",15,Consumer
2017,Qtr 4,November,11,283.2475999999998,"15,9226,9241",15,Consumer
2017,Qtr 4,November,18,253.80809999999997,"21,9339,9360",21,Consumer
2017,Qtr 4,November,23,213.48730000000006,"17,9419,9436",17,Consumer
2017,Qtr 4,November,8,145.392,"2,9197,9199",2,Corporate
2017,Qtr 4,November,7,119.6416000000001,"10,9187,9197",10,Consumer
2017,Qtr 4,November,29,67.83099999999996,"2,9515,9517",2,Consumer
2017,Qtr 4,November,15,55.01600000000001,"2,9303,9305",2,Consumer
2017,Qtr 4,November,30,49.52119999999945,"15,9517,9532",15,Consumer
2017,Qtr 4,November,14,31.053600000000003,"10,9293,9303",10,Consumer
2017,Qtr 4,November,22,2.2319999999999958,"1,9418,9419",1,Consumer
2017,Qtr 4,November,12,-37.835000000000086,"30,9241,9271",30,Consumer
2017,Qtr 4,November,25,-58.567799999999835,"13,9461,9474",13,Consumer
2017,Qtr 4,November,10,-111.13020000000023,"15,9211,9226",15,Consumer
2017,Qtr 4,November,13,-398.4248,"22,9271,9293",22,Consumer
2017,Qtr 4,November,19,-1659.0309000000007,"26,9360,9386",26,Consumer
2017,Qtr 4,November,4,-3987.242199999999,"17,9125,9142",17,Consumer
2017,Qtr 4,October,17,23.0989,"4,8931,8935",4,Consumer
2017,Qtr 4,October,26,107.72749999999996,"10,9016,9026",10,Consumer
2017,Qtr 4,October,9,-467.13810000000024,"11,8867,8878",11,Consumer
2017,Qtr 4,October,24,-76.05050000000003,"2,9014,9016",2,Consumer
2017,Qtr 4,October,2,-1095.5167000000001,"26,8787,8813",26,Consumer
2017,Qtr 4,October,3,943.3932,"9,8813,8822",9,Consumer
2017,Qtr 4,October,27,103.8625,"12,9026,9038",12,Corporate
2017,Qtr 4,October,6,348.3229999999999,"12,8838,8850",12,Consumer
2017,Qtr 4,October,20,135.7558999999999,"15,8951,8966",15,Consumer
2017,Qtr 4,October,16,-1100.3811,"6,8925,8931",6,Consumer
2017,Qtr 4,October,5,1475.2476999999997,"15,8823,8838",15,Corporate
2017,Qtr 4,October,1,1013.073,"12,8775,8787",12,Consumer
2017,Qtr 4,October,28,36.10569999999998,"8,9038,9046",8,Consumer
2017,Qtr 4,October,21,444.7590999999999,"18,8966,8984",18,Consumer
2017,Qtr 4,October,23,82.32130000000001,"18,8996,9014",18,Consumer
2017,Qtr 4,October,8,148.03350000000003,"6,8861,8867",6,Consumer
2017,Qtr 4,October,7,218.44049999999976,"11,8850,8861",11,Consumer
2017,Qtr 4,October,29,22.5408,"1,9046,9047",1,Corporate
2017,Qtr 4,October,15,230.1392,"8,8917,8925",8,Consumer
2017,Qtr 4,October,30,518.9912999999998,"23,9047,9070",23,Consumer
2017,Qtr 4,October,14,-28.57020000000003,"5,8912,8917",5,Consumer
2017,Qtr 4,October,22,4539.826599999999,"12,8984,8996",12,Consumer
2017,Qtr 4,October,12,526.1516999999999,"18,8879,8897",18,Consumer
2017,Qtr 4,October,10,-47.8716,"1,8878,8879",1,Consumer
2017,Qtr 4,October,13,2553.2419,"15,8897,8912",15,Consumer
2017,Qtr 4,October,19,-1430.7904,"16,8935,8951",16,Consumer
2017,Qtr 4,October,4,8.591400000000002,"1,8822,8823",1,Home Office
2017,Qtr 4,October,31,41.96940000000001,"3,9070,9073",3,Corporate
2017,Qtr 4,December,17,303.0904999999999,"13,9815,9828",13,Consumer
2017,Qtr 4,December,26,61.12019999999998,"4,9950,9954",4,Consumer
2017,Qtr 4,December,9,1487.1417999999994,"33,9697,9730",33,Consumer
2017,Qtr 4,December,24,1568.2396999999999,"16,9911,9927",16,Consumer
2017,Qtr 4,December,2,-7.3409999999995375,"34,9566,9600",34,Consumer
2017,Qtr 4,December,3,280.74069999999995,"20,9600,9620",20,Consumer
2017,Qtr 4,December,27,-31.974200000000003,"2,9954,9956",2,Corporate
2017,Qtr 4,December,6,2.8836000000000004,"1,9657,9658",1,Corporate
2017,Qtr 4,December,20,176.91150000000002,"5,9853,9858",5,Corporate
2017,Qtr 4,December,16,171.2212,"13,9802,9815",13,Consumer
2017,Qtr 4,December,5,447.62350000000015,"19,9638,9657",19,Consumer
2017,Qtr 4,December,1,718.8919999999998,"34,9532,9566",34,Consumer
2017,Qtr 4,December,28,253.1187999999999,"19,9956,9975",19,Consumer
2017,Qtr 4,December,21,570.7614999999998,"11,9858,9869",11,Consumer
2017,Qtr 4,December,11,-82.4089,"22,9751,9773",22,Consumer
2017,Qtr 4,December,18,840.8156999999999,"20,9828,9848",20,Consumer
2017,Qtr 4,December,23,284.0977999999999,"15,9896,9911",15,Consumer
2017,Qtr 4,December,8,1154.6045000000001,"30,9667,9697",30,Consumer
2017,Qtr 4,December,7,-2686.6673000000005,"9,9658,9667",9,Consumer
2017,Qtr 4,December,29,644.4338,"12,9975,9987",12,Consumer
2017,Qtr 4,December,15,52.59459999999999,"5,9797,9802",5,Consumer
2017,Qtr 4,December,30,101.53649999999995,"7,9987,9994",7,Consumer
2017,Qtr 4,December,14,215.25000000000017,"18,9779,9797",18,Consumer
2017,Qtr 4,December,22,957.1226999999997,"27,9869,9896",27,Consumer
2017,Qtr 4,December,25,359.20029999999986,"23,9927,9950",23,Consumer
2017,Qtr 4,December,10,715.5695999999997,"21,9730,9751",21,Consumer
2017,Qtr 4,December,13,99.21539999999996,"6,9773,9779",6,Consumer
2017,Qtr 4,December,19,-152.45959999999988,"5,9848,9853",5,Consumer
2017,Qtr 4,December,4,-21.988100000000173,"18,9620,9638",18,Consumer
2017,Qtr 3,September,17,769.2717000000001,"17,8576,8593",17,Consumer
2017,Qtr 3,September,26,314.90229999999997,"7,8730,8737",7,Corporate
2017,Qtr 3,September,9,-152.8753999999997,"29,8442,8471",29,Consumer
2017,Qtr 3,September,24,1000.4615000000001,"25,8692,8717",25,Consumer
2017,Qtr 3,September,2,2600.1853,"36,8323,8359",36,Consumer
2017,Qtr 3,September,3,199.48179999999982,"13,8359,8372",13,Consumer
2017,Qtr 3,September,20,1571.7964000000002,"14,8628,8642",14,Consumer
2017,Qtr 3,September,16,-335.6625999999999,"13,8563,8576",13,Consumer
2017,Qtr 3,September,5,-17.19440000000002,"5,8400,8405",5,Consumer
2017,Qtr 3,September,1,340.5586,"7,8316,8323",7,Consumer
