Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Profit),CountNonNull(Orders.Country),
2014,Qtr 1,January,3,5.5512,1,"5.5512,0,5.5512"
2014,Qtr 1,January,4,-65.9901,3,"-65.9901,5.5512,-60.4389"
2014,Qtr 1,January,5,4.884,1,"4.884,-60.4389,-55.554899999999996"
2014,Qtr 1,January,6,1358.0524,9,"1358.0524,-55.554899999999996,1302.4975"
2014,Qtr 1,January,7,-71.9621,2,"-71.9621,1302.4975,1230.5354"
2014,Qtr 1,January,9,10.918,2,"10.918,1230.5354,1241.4533999999999"
2014,Qtr 1,January,10,22.6537,2,"22.6537,1241.4533999999999,1264.1071"
2014,Qtr 1,January,11,3.0814,1,"3.0814,1264.1071,1267.1885"
2014,Qtr 1,January,13,673.6386,11,"673.6386,1267.1885,1940.8271"
2014,Qtr 1,January,14,-53.2856,1,"-53.2856,1940.8271,1887.5415"
2014,Qtr 1,January,15,65.978,1,"65.978,1887.5415,1953.5195"
2014,Qtr 1,January,16,-5.933499999999999,4,"-5.933499999999999,1953.5195,1947.586"
2014,Qtr 1,January,18,6.4864,1,"6.4864,1947.586,1954.0724"
2014,Qtr 1,January,19,-287.9976,4,"-287.9976,1954.0724,1666.0748"
2014,Qtr 1,January,20,584.3695,17,"584.3695,1666.0748,2250.4443"
2014,Qtr 1,January,21,4.1028,1,"4.1028,2250.4443,2254.5471000000002"
2014,Qtr 1,January,23,19.2384,2,"19.2384,2254.5471000000002,2273.7855000000004"
2014,Qtr 1,January,26,150.32700000000003,9,"150.32700000000003,2273.7855000000004,2424.1125000000006"
2014,Qtr 1,January,27,9.6827,3,"9.6827,2424.1125000000006,2433.7952000000005"
2014,Qtr 1,January,28,1.3257,1,"1.3257,2433.7952000000005,2435.1209000000003"
2014,Qtr 1,January,30,11.6502,2,"11.6502,2435.1209000000003,2446.7711000000004"
2014,Qtr 1,January,31,3.41959999999999,1,"3.41959999999999,2446.7711000000004,2450.1907000000006"
2014,Qtr 1,February,3,31.5614,2,"31.5614,2663.6592000000005,2695.2206000000006"
2014,Qtr 1,February,4,51.14320000000001,3,"51.14320000000001,2695.2206000000006,2746.3638000000005"
2014,Qtr 1,February,6,76.4833,4,"76.4833,2746.3638000000005,2822.8471000000004"
2014,Qtr 1,February,7,59.3488,2,"59.3488,2822.8471000000004,2882.1959000000006"
2014,Qtr 1,February,11,293.5284999999999,9,"293.5284999999999,2887.7287000000006,3181.2572000000005"
2014,Qtr 1,February,14,120.1764,4,"120.1764,3156.9632000000006,3277.1396000000004"
2014,Qtr 1,February,15,7.209,1,"7.209,3277.1396000000004,3284.3486000000003"
2014,Qtr 1,February,16,-15.658,2,"-15.658,3284.3486000000003,3268.6906000000004"
2014,Qtr 1,February,18,-13.846799999999998,2,"-13.846799999999998,3277.4994,3263.6526000000003"
2014,Qtr 1,February,20,35.5612,3,"35.5612,3263.6526000000003,3299.2138000000004"
2014,Qtr 1,February,21,-13.7175,1,"-13.7175,3299.2138000000004,3285.4963000000002"
2014,Qtr 1,February,23,-4.522500000000001,2,"-4.522500000000001,3294.8275000000003,3290.3050000000003"
2014,Qtr 1,February,27,3.4048,1,"3.4048,3309.0943,3312.4991"
2014,Qtr 1,February,1,206.316,1,"206.316,2450.1907000000006,2656.5067000000004"
2014,Qtr 1,February,2,7.152499999999999,3,"7.152499999999999,2656.5067000000004,2663.6592000000005"
2014,Qtr 1,February,8,5.5328,1,"5.5328,2882.1959000000006,2887.7287000000006"
2014,Qtr 1,February,12,-24.294,1,"-24.294,3181.2572000000005,3156.9632000000006"
2014,Qtr 1,February,17,8.8088,1,"8.8088,3268.6906000000004,3277.4994"
2014,Qtr 1,February,22,9.3312,1,"9.3312,3285.4963000000002,3294.8275000000003"
2014,Qtr 1,February,24,18.789299999999997,2,"18.789299999999997,3290.3050000000003,3309.0943"
2014,Qtr 1,March,3,-629.7989,9,"-629.7989,3159.5489000000002,2529.75"
2014,Qtr 1,March,4,20.0778,2,"20.0778,2529.75,2549.8278"
2014,Qtr 1,March,5,261.19010000000003,5,"261.19010000000003,2549.8278,2811.0179"
2014,Qtr 1,March,7,134.1538999999999,8,"134.1538999999999,2811.0179,2945.1717999999996"
2014,Qtr 1,March,10,4.188599999999891,3,"4.188599999999891,2945.1717999999996,2949.3603999999996"
2014,Qtr 1,March,11,279.06100000000004,8,"279.06100000000004,2949.3603999999996,3228.4213999999997"
2014,Qtr 1,March,14,528.5024000000001,11,"528.5024000000001,3228.4213999999997,3756.9237999999996"
2014,Qtr 1,March,15,33.59799999999999,5,"33.59799999999999,3756.9237999999996,3790.5217999999995"
2014,Qtr 1,March,16,29.495,1,"29.495,3790.5217999999995,3820.0167999999994"
2014,Qtr 1,March,18,-954.7088999999999,11,"-954.7088999999999,2988.1595999999995,2033.4506999999996"
2014,Qtr 1,March,19,68.6353,7,"68.6353,2033.4506999999996,2102.086"
2014,Qtr 1,March,21,1055.3735000000001,11,"1055.3735000000001,2102.086,3157.4595"
2014,Qtr 1,March,23,126.9224,3,"126.9224,3106.525,3233.4474"
2014,Qtr 1,March,26,30.7658,5,"30.7658,3356.3916,3387.1574"
2014,Qtr 1,March,28,-11.075400000000005,4,"-11.075400000000005,3387.1574,3376.082"
2014,Qtr 1,March,30,232.7529,9,"232.7529,3223.3664,3456.1193"
2014,Qtr 1,March,31,355.1097000000001,9,"355.1097000000001,3456.1193,3811.229"
2014,Qtr 1,March,1,-208.9614000000001,10,"-208.9614000000001,3312.4991000000005,3103.5377000000003"
2014,Qtr 1,March,2,56.0112,4,"56.0112,3103.5377000000003,3159.5489000000002"
2014,Qtr 1,March,17,-831.8572,19,"-831.8572,3820.0167999999994,2988.1595999999995"
2014,Qtr 1,March,22,-50.9345,5,"-50.9345,3157.4595,3106.525"
2014,Qtr 1,March,24,26.2758,2,"26.2758,3233.4474,3259.7232"
2014,Qtr 1,March,25,96.66839999999999,5,"96.66839999999999,3259.7232,3356.3916"
2014,Qtr 1,March,29,-152.7156,1,"-152.7156,3376.082,3223.3664"
2014,Qtr 2,April,3,85.6044,3,"85.6044,4244.7148,4330.3192"
2014,Qtr 2,April,4,105.4521,8,"105.4521,4330.3192,4435.7713"
2014,Qtr 2,April,5,253.90440000000007,13,"253.90440000000007,4435.7713,4689.675700000001"
2014,Qtr 2,April,6,299.51519999999994,13,"299.51519999999994,4689.675700000001,4989.1909000000005"
2014,Qtr 2,April,7,305.056,5,"305.056,4989.1909000000005,5294.2469"
2014,Qtr 2,April,11,523.2728999999999,9,"523.2728999999999,5654.095,6177.3679"
2014,Qtr 2,April,13,-384.7942,5,"-384.7942,6330.026,5945.2318"
2014,Qtr 2,April,15,108,2,"108,5945.2318,6053.2318"
2014,Qtr 2,April,16,9.768,1,"9.768,6053.2318,6062.9998"
2014,Qtr 2,April,18,169.93740000000003,8,"169.93740000000003,6062.9998,6232.937199999999"
2014,Qtr 2,April,19,87.5664,3,"87.5664,6232.937199999999,6320.503599999999"
2014,Qtr 2,April,20,-194.4528,4,"-194.4528,6320.503599999999,6126.050799999999"
2014,Qtr 2,April,21,5.5755,2,"5.5755,6126.050799999999,6131.626299999999"
2014,Qtr 2,April,23,-0.3052999999999999,6,"-0.3052999999999999,6256.413199999999,6256.107899999999"
2014,Qtr 2,April,26,40.745,4,"40.745,6588.974999999999,6629.719999999999"
2014,Qtr 2,April,28,292.1672,9,"292.1672,6629.719999999999,6921.887199999999"
2014,Qtr 2,April,30,276.4956,3,"276.4956,7023.568599999999,7300.064199999999"
2014,Qtr 2,April,1,26.0896,4,"26.0896,3811.2290000000003,3837.3186"
2014,Qtr 2,April,2,407.39619999999996,6,"407.39619999999996,3837.3186,4244.7148"
2014,Qtr 2,April,8,359.8481,7,"359.8481,5294.2469,5654.095"
2014,Qtr 2,April,12,152.6580999999999,6,"152.6580999999999,6177.3679,6330.026"
2014,Qtr 2,April,22,124.78689999999999,2,"124.78689999999999,6131.626299999999,6256.413199999999"
2014,Qtr 2,April,25,332.8671,6,"332.8671,6256.107899999999,6588.974999999999"
2014,Qtr 2,April,29,101.68139999999988,6,"101.68139999999988,6921.887199999999,7023.568599999999"
2014,Qtr 2,May,3,28.8624,3,"28.8624,7392.021400000001,7420.883800000001"
2014,Qtr 2,May,4,58.5624,6,"58.5624,7420.883800000001,7479.446200000001"
2014,Qtr 2,May,5,34.51309999999999,7,"34.51309999999999,7479.446200000001,7513.959300000001"
2014,Qtr 2,May,6,85.7158,3,"85.7158,7513.959300000001,7599.675100000001"
2014,Qtr 2,May,7,215.8138,4,"215.8138,7599.675100000001,7815.488900000001"
2014,Qtr 2,May,9,95.17360000000001,6,"95.17360000000001,8055.484900000001,8150.658500000001"
2014,Qtr 2,May,10,57.82599999999999,8,"57.82599999999999,8150.658500000001,8208.4845"
2014,Qtr 2,May,11,-289.6087999999999,8,"-289.6087999999999,8208.4845,7918.8757000000005"
2014,Qtr 2,May,13,-242.28369999999995,6,"-242.28369999999995,7799.6502,7557.3665"
2014,Qtr 2,May,14,23.316,1,"23.316,7557.3665,7580.6825"
2014,Qtr 2,May,16,20.85,2,"20.85,7580.6825,7601.5325"
2014,Qtr 2,May,18,-158.00400000000002,4,"-158.00400000000002,7647.3725,7489.3685000000005"
2014,Qtr 2,May,19,35.6472,2,"35.6472,7489.3685000000005,7525.015700000001"
2014,Qtr 2,May,20,62.058099999999996,7,"62.058099999999996,7525.015700000001,7587.073800000001"
2014,Qtr 2,May,21,1719.5086999999999,10,"1719.5086999999999,7587.073800000001,9306.5825"
2014,Qtr 2,May,23,58.050200000000004,7,"58.050200000000004,9353.1635,9411.2137"
2014,Qtr 2,May,26,130.50859999999994,8,"130.50859999999994,9284.4071,9414.9157"
2014,Qtr 2,May,27,111.54079999999999,5,"111.54079999999999,9414.9157,9526.4565"
2014,Qtr 2,May,28,59.3088,3,"59.3088,9526.4565,9585.765300000001"
2014,Qtr 2,May,30,222.03580000000002,8,"222.03580000000002,9585.765300000001,9807.8011"
2014,Qtr 2,May,31,230.9727,2,"230.9727,9807.8011,10038.7738"
2014,Qtr 2,May,2,91.9572,2,"91.9572,7300.064200000002,7392.021400000001"
2014,Qtr 2,May,8,239.996,1,"239.996,7815.488900000001,8055.484900000001"
2014,Qtr 2,May,12,-119.22550000000001,2,"-119.22550000000001,7918.8757000000005,7799.6502"
2014,Qtr 2,May,17,45.84,1,"45.84,7601.5325,7647.3725"
2014,Qtr 2,May,22,46.580999999999996,2,"46.580999999999996,9306.5825,9353.1635"
2014,Qtr 2,May,24,56.9772,1,"56.9772,9411.2137,9468.1909"
2014,Qtr 2,May,25,-183.78379999999999,3,"-183.78379999999999,9468.1909,9284.4071"
2014,Qtr 2,June,3,96.1086,5,"96.1086,11833.885499999999,11929.994099999998"
2014,Qtr 2,June,4,-6.493199999999999,5,"-6.493199999999999,11929.994099999998,11923.500899999997"
2014,Qtr 2,June,6,-265.2367,9,"-265.2367,11923.500899999997,11658.264199999998"
2014,Qtr 2,June,7,-230.33159999999998,2,"-230.33159999999998,11658.264199999998,11427.932599999998"
2014,Qtr 2,June,9,629.0288999999998,16,"629.0288999999998,11621.297599999998,12250.326499999997"
2014,Qtr 2,June,10,240.8595,1,"240.8595,12250.326499999997,12491.185999999998"
2014,Qtr 2,June,13,4.7916,1,"4.7916,12491.185999999998,12495.977599999998"
2014,Qtr 2,June,14,57.4938,1,"57.4938,12495.977599999998,12553.471399999999"
2014,Qtr 2,June,15,-78.241,4,"-78.241,12553.471399999999,12475.230399999999"
2014,Qtr 2,June,16,76.6875999999999,4,"76.6875999999999,12475.230399999999,12551.917999999998"
2014,Qtr 2,June,18,12.2325,1,"12.2325,13678.547699999997,13690.780199999997"
2014,Qtr 2,June,20,-62.95939999999999,9,"-62.95939999999999,13690.780199999997,13627.820799999998"
2014,Qtr 2,June,21,849.4221,18,"849.4221,13627.820799999998,14477.242899999997"
2014,Qtr 2,June,23,3.1803,3,"3.1803,14517.457599999998,14520.637899999998"
2014,Qtr 2,June,27,76.1052,3,"76.1052,14571.316299999997,14647.421499999997"
2014,Qtr 2,June,28,109.76200000000001,6,"109.76200000000001,14647.421499999997,14757.183499999997"
2014,Qtr 2,June,30,249.5572,8,"249.5572,14765.740999999998,15015.298199999997"
2014,Qtr 2,June,1,1576.7509,11,"1576.7509,10038.773799999999,11615.524699999998"
2014,Qtr 2,June,2,218.3608,5,"218.3608,11615.524699999998,11833.885499999999"
2014,Qtr 2,June,8,193.3649999999999,4,"193.3649999999999,11427.932599999998,11621.297599999998"
2014,Qtr 2,June,17,1126.6297000000002,5,"1126.6297000000002,12551.917999999998,13678.547699999997"
2014,Qtr 2,June,22,40.21470000000001,7,"40.21470000000001,14477.242899999997,14517.457599999998"
2014,Qtr 2,June,24,0.9612,1,"0.9612,14520.637899999998,14521.599099999998"
2014,Qtr 2,June,25,49.717200000000005,4,"49.717200000000005,14521.599099999998,14571.316299999997"
2014,Qtr 2,June,29,8.557500000000001,2,"8.557500000000001,14757.183499999997,14765.740999999998"
2014,Qtr 3,July,4,83.9448,4,"83.9448,15112.7822,15196.726999999999"
2014,Qtr 3,July,5,182.7936,10,"182.7936,15196.726999999999,15379.5206"
2014,Qtr 3,July,6,222.84550000000002,2,"222.84550000000002,15379.5206,15602.3661"
2014,Qtr 3,July,7,-34.6598,2,"-34.6598,15602.3661,15567.7063"
2014,Qtr 3,July,9,57.207800000000006,9,"57.207800000000006,15559.2643,15616.4721"
2014,Qtr 3,July,11,537.7298000000001,10,"537.7298000000001,15616.4721,16154.2019"
2014,Qtr 3,July,13,4.39019999999998,1,"4.39019999999998,16242.6563,16247.0465"
2014,Qtr 3,July,14,-31.101399999999995,9,"-31.101399999999995,16247.0465,16215.9451"
2014,Qtr 3,July,15,3.9882,2,"3.9882,16215.9451,16219.9333"
2014,Qtr 3,July,18,-21.3948,2,"-21.3948,16219.9333,16198.5385"
2014,Qtr 3,July,19,103.20620000000001,5,"103.20620000000001,16198.5385,16301.744700000001"
2014,Qtr 3,July,20,162.18809999999996,15,"162.18809999999996,16301.744700000001,16463.932800000002"
2014,Qtr 3,July,21,34.126000000000005,8,"34.126000000000005,16463.932800000002,16498.058800000003"
2014,Qtr 3,July,23,267.48440000000005,9,"267.48440000000005,16727.893600000003,16995.378000000004"
2014,Qtr 3,July,26,-3570.9710000000005,15,"-3570.9710000000005,17379.886400000003,13808.915400000002"
2014,Qtr 3,July,27,70.31219999999999,3,"70.31219999999999,13808.915400000002,13879.227600000002"
2014,Qtr 3,July,28,34.6984,3,"34.6984,13879.227600000002,13913.926000000001"
2014,Qtr 3,July,30,259.8896,1,"259.8896,13913.926000000001,14173.815600000002"
2014,Qtr 3,July,1,75.33319999999999,3,"75.33319999999999,15015.298200000001,15090.6314"
2014,Qtr 3,July,2,22.1508,2,"22.1508,15090.6314,15112.7822"
2014,Qtr 3,July,8,-8.441999999999993,3,"-8.441999999999993,15567.7063,15559.2643"
2014,Qtr 3,July,12,88.4544,12,"88.4544,16154.2019,16242.6563"
2014,Qtr 3,July,22,229.83479999999997,8,"229.83479999999997,16498.058800000003,16727.893600000003"
2014,Qtr 3,July,25,384.5084,5,"384.5084,16995.378000000004,17379.886400000003"
2014,Qtr 3,August,3,-76.7149,6,"-76.7149,14488.318199999998,14411.603299999997"
2014,Qtr 3,August,4,833.4829,9,"833.4829,14411.603299999997,15245.086199999998"
2014,Qtr 3,August,5,504.1059000000001,12,"504.1059000000001,15245.086199999998,15749.192099999998"
2014,Qtr 3,August,6,106.6392,2,"106.6392,15749.192099999998,15855.831299999998"
2014,Qtr 3,August,9,700.8937999999998,9,"700.8937999999998,16984.9655,17685.859299999996"
2014,Qtr 3,August,11,45.6444,4,"45.6444,17685.859299999996,17731.503699999997"
2014,Qtr 3,August,15,118.18260000000001,9,"118.18260000000001,18089.0967,18207.2793"
2014,Qtr 3,August,16,-227.4912,1,"-227.4912,18207.2793,17979.788099999998"
2014,Qtr 3,August,19,175.4619,7,"175.4619,18172.9717,18348.433599999997"
2014,Qtr 3,August,20,569.8905,4,"569.8905,18348.433599999997,18918.324099999998"
2014,Qtr 3,August,23,160.40159999999997,10,"160.40159999999997,18923.2028,19083.6044"
2014,Qtr 3,August,26,92.0889,6,"92.0889,19222.5799,19314.6688"
2014,Qtr 3,August,27,513.7323,7,"513.7323,19314.6688,19828.4011"
2014,Qtr 3,August,30,21.485,2,"21.485,19451.9316,19473.4166"
2014,Qtr 3,August,31,18.504,1,"18.504,19473.4166,19491.9206"
2014,Qtr 3,August,1,66.47500000000001,6,"66.47500000000001,14173.815599999998,14240.290599999998"
2014,Qtr 3,August,2,248.0276,3,"248.0276,14240.290599999998,14488.318199999998"
2014,Qtr 3,August,8,1129.1342,13,"1129.1342,15855.831299999998,16984.9655"
