Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Min(Orders.Product Name),
First Class,Copiers,14798.3793,45,Canon imageCLASS 2200 Advanced Copier,"13904.456225000002,0,13904.456225000002"
First Class,Phones,8400.270000000004,501,Aastra 57i VoIP phone,"11128.932650000006,13904.456225000002,25033.388875000008"
First Class,Accessories,5907.413099999997,461,AmazonBasics 3-Button USB Wired Mouse,"10484.158924999996,25033.388875000008,35517.5478"
First Class,Paper,4919.299099999999,785,14-7/8 x 11 Blue Bar Computer Printout Paper,"8513.392324999999,35517.5478,44030.940125"
First Class,Binders,4128.142500000004,918,3M Organizer Strips,"7555.440825,44030.940125,51586.38095"
First Class,Chairs,2645.2149000000004,335,DMI Arturo Collection Mission-style Design Wood Chair,"6647.541574999999,61440.588899999995,68088.130475"
First Class,Storage,3012.1836999999996,458,Acco Perma 2700 Stacking Storage Drawers,"5319.706599999999,56120.8823,61440.588899999995"
First Class,Appliances,3543.8611,253,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","4534.501350000002,51586.38095,56120.8823"
First Class,Furnishings,2093.0965000000006,540,24-Hour Round Wall Clock,"3264.7858999999985,68088.130475,71352.916375"
First Class,Envelopes,1001.5960999999999,114,"#10 White Business Envelopes,4 1/8 x 9 1/2","1741.0441749999998,71352.916375,73093.96055"
First Class,Art,750.35,414,4009 Highlighters by Sanford,"1631.9467499999996,74480.52405,76112.47080000001"
First Class,Labels,804.7151999999999,250,Alphabetical Labels for Top Tab Filing,"1386.5634999999997,73093.96055,74480.52405"
First Class,Machines,-1603.4990000000003,76,Cisco 8961 IP Phone Charcoal,"846.1892249999995,70753.06620000002,71599.25542500001"
First Class,Fasteners,127.07520000000002,106,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes","237.37954999999994,76112.47080000001,76349.85035000001"
First Class,Supplies,113.10619999999999,74,"Acme 10"" Easy Grip Assistive Scissors","-297.27487499999984,76349.85035000001,76052.575475"
First Class,Bookcases,-305.9975000000003,187,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","-868.1390000000004,76052.575475,75184.43647500001"
First Class,Tables,-1365.3665000000003,176,Balt Solid Wood Rectangular Table,"-4431.370274999999,75184.43647500001,70753.06620000002"
Same Day,Copiers,2580.9548999999997,16,Brother DCP1000 Digital 3 in 1 Multifunction Machine,"13904.456225000002,10484.158924999996,24388.615149999998"
Same Day,Phones,1784.4745999999998,143,Aastra 57i VoIP phone,"11128.932650000006,32902.007475,44030.94012500001"
Same Day,Accessories,3866.6910000000007,166,HP Standard 104 key PS/2 Keyboard,"10484.158924999996,0,10484.158924999996"
Same Day,Paper,2088.4229,287,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”","8513.392324999999,24388.615149999998,32902.007475"
Same Day,Binders,1140.2820999999994,258,3-ring staple pack,"7555.440825,44030.94012500001,51586.380950000006"
Same Day,Chairs,1135.6434999999994,160,DMI Arturo Collection Mission-style Design Wood Chair,"6647.541574999999,51586.380950000006,58233.922525"
Same Day,Storage,980.2761,179,Acco Perma 3000 Stacking Storage Drawers,"5319.706599999999,62768.42387500001,68088.13047500001"
Same Day,Appliances,1091.6577,77,"Belkin 325VA UPS Surge Protector, 6'","4534.501350000002,58233.922525,62768.42387500001"
Same Day,Furnishings,398.56179999999983,189,12-1/2 Diameter Round Wall Clock,"3264.7858999999985,70566.26645000001,73831.05235000001"
Same Day,Envelopes,348.81479999999993,58,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","1741.0441749999998,72962.91335000002,74703.95752500002"
Same Day,Art,403.4431,133,12 Colored Short Pencils,"1631.9467499999996,68934.31970000001,70566.26645000001"
Same Day,Labels,245.56420000000006,68,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","1386.5634999999997,74703.95752500002,76090.52102500002"
Same Day,Machines,438.77079999999944,35,Ativa V4110MDD Micro-Cut Shredder,"846.1892249999995,68088.13047500001,68934.31970000001"
