measures-as-group,Trellis.Account Level 2,Sum(Trellis.AC),
Sum of AC,Support revenue,1340,"1340,0,1340"
Sum of AC,Software revenue,1256,"1256,1340,2596"
Sum of AC,(Blank),1198,"1198,2596,3794"
Sum of AC,Consulting revenue,1084,"1084,3794,4878"
Sum of PY,Support revenue,640,"640,4919,5559"
Sum of PY,Software revenue,1030,"1030,0,1030"
Sum of PY,(Blank),435,"435,6689,7124"
Sum of PY,Consulting revenue,221,"221,7124,7345"
Sum of PY,Cost of sales,666,"666,4253,4919"
Sum of PY,Income from discontinued operations,918,"918,1030,1948"
Sum of PY,Income tax expenses,869,"869,1948,2817"
Sum of PY,"Other financial income,net",702,"702,3551,4253"
Sum of PY,Other operating expenses,633,"633,5559,6192"
Sum of PY,Research and development expenses,734,"734,2817,3551"
Sum of PY,Selling and general administrative expenses,497,"497,6192,6689"
