Orders.Sub-Category,Sum(Orders.Profit),CountNonNull(Orders.Postal Code),
Copiers,55617.82490000005,3873477,"55617.82490000005,0,55617.82490000005"
Phones,44515.73059999997,47897175,"44515.73059999997,55617.82490000005,100133.55550000002"
Accessories,41936.63569999995,44468434,"41936.63569999995,100133.55550000002,142070.19119999997"
Paper,34053.569300000054,76299221,"34053.569300000054,142070.19119999997,176123.76050000003"
Binders,30221.763300000024,83626398,"30221.763300000024,176123.76050000003,206345.52380000005"
Chairs,26590.166300000037,34936229,"26590.166300000037,206345.52380000005,232935.6901000001"
Storage,21278.826400000005,46248720,"21278.826400000005,232935.6901000001,254214.51650000009"
Appliances,18138.00540000001,25250538,"18138.00540000001,254214.51650000009,272352.5219000001"
Furnishings,13059.143600000012,51880430,"13059.143600000012,272352.5219000001,285411.6655000001"
Envelopes,6964.176699999998,13325731,"6964.176699999998,285411.6655000001,292375.84220000013"
Art,6527.786999999999,43329658,"6527.786999999999,292375.84220000013,298903.62920000014"
Labels,5546.2540000000035,19552985,"5546.2540000000035,298903.62920000014,304449.88320000016"
Machines,3384.756899999997,6364668,"3384.756899999997,304449.88320000016,307834.64010000014"
Fasteners,949.5181999999998,12506063,"949.5181999999998,307834.64010000014,308784.1583000001"
Supplies,-1189.0994999999984,10633558,"-1189.0994999999984,308784.1583000001,307595.0588000001"
Bookcases,-3472.5560000000005,12771539,"-3472.5560000000005,307595.0588000001,304122.50280000013"
Tables,-17725.48110000002,18607828,"-17725.48110000002,304122.50280000013,286397.0217000001"
