Orders.Ship Mode,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Discount),Sum(Orders.Sales),
First Class,Copiers,14798.3793,45,0,39369.63,"39369.63,0,39369.63"
First Class,Phones,8400.270000000004,501,0,53615.868,"53615.868,39369.63,92985.49799999999"
First Class,Accessories,5907.413099999997,461,0,22226.692,"22226.692,92985.49799999999,115212.18999999999"
First Class,Paper,4919.299099999999,785,0,11379.798,"11379.798,115212.18999999999,126591.98799999998"
First Class,Binders,4128.142500000004,918,109,36157.813,"36157.813,126591.98799999998,162749.80099999998"
First Class,Chairs,2645.2149000000004,335,0,47706.472,"47706.472,162749.80099999998,210456.273"
First Class,Storage,3012.1836999999996,458,0,26273.258,"26273.258,210456.273,236729.531"
First Class,Appliances,3543.8611,253,5,15726.024,"15726.024,236729.531,252455.555"
First Class,Furnishings,2093.0965000000006,540,17,13157.956,"13157.956,252455.555,265613.511"
First Class,Envelopes,1001.5960999999999,114,0,2563.456,"2563.456,265613.511,268176.967"
First Class,Art,750.35,414,0,3470.088,"3470.088,268176.967,271647.055"
First Class,Labels,804.7151999999999,250,0,1835.98,"1835.98,271647.055,273483.035"
First Class,Machines,-1603.4990000000003,76,9,24153.401,"24153.401,273483.035,297636.436"
First Class,Fasteners,127.07520000000002,106,0,357.598,"357.598,297636.436,297994.034"
First Class,Supplies,113.10619999999999,74,0,3568.294,"3568.294,297994.034,301562.328"
First Class,Bookcases,-305.9975000000003,187,4,21065.3189,"21065.3189,301562.328,322627.6469"
First Class,Tables,-1365.3665000000003,176,0,28800.776,"28800.776,322627.6469,351428.4229"
Same Day,Copiers,2580.9548999999997,16,0,7559.868,"7559.868,0,7559.868"
Same Day,Phones,1784.4745999999998,143,0,15988.236,"15988.236,7559.868,23548.104"
Same Day,Accessories,3866.6910000000007,166,0,13777.224,"13777.224,23548.104,37325.328"
Same Day,Paper,2088.4229,287,0,4705.696,"4705.696,37325.328,42031.024000000005"
Same Day,Binders,1140.2820999999994,258,29,5819.505,"5819.505,42031.024000000005,47850.529"
Same Day,Chairs,1135.6434999999994,160,0,21659.716,"21659.716,47850.529,69510.245"
Same Day,Storage,980.2761,179,0,8850.226,"8850.226,69510.245,78360.47099999999"
Same Day,Appliances,1091.6577,77,3,6270.592,"6270.592,78360.47099999999,84631.063"
Same Day,Furnishings,398.56179999999983,189,10,4874.134,"4874.134,84631.063,89505.197"
Same Day,Envelopes,348.81479999999993,58,0,790.476,"790.476,89505.197,90295.673"
Same Day,Art,403.4431,133,0,1437.476,"1437.476,90295.673,91733.14899999999"
Same Day,Labels,245.56420000000006,68,0,566.448,"566.448,91733.14899999999,92299.597"
Same Day,Machines,438.77079999999944,35,2,22798.537,"22798.537,92299.597,115098.13399999999"
Same Day,Fasteners,46.1181,53,0,139.752,"139.752,115098.13399999999,115237.88599999998"
Same Day,Supplies,78.94019999999999,34,0,510.31,"510.31,115237.88599999998,115748.19599999998"
Same Day,Bookcases,392.56559999999996,19,0,2970.582,"2970.582,115748.19599999998,118718.77799999998"
Same Day,Tables,-1129.4225,85,0,9644.347,"9644.347,118718.77799999998,128363.12499999997"
Second Class,Copiers,6883.8703,44,0,18899.628,"18899.628,0,18899.628"
Second Class,Phones,8377.6354,658,0,63255.228,"63255.228,18899.628,82154.856"
Second Class,Accessories,8733.670800000002,629,0,37572.986,"37572.986,82154.856,119727.842"
Second Class,Paper,7567.028799999996,1122,0,17233.45,"17233.45,119727.842,136961.29200000002"
Second Class,Binders,5461.342000000005,1021,79,27115.342,"27115.342,136961.29200000002,164076.63400000002"
