Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity)
Accessories,11254.440057830305,5.213109677419354
Appliances,21951.361833858,4.497619223047026
Art,178.91347320475407,4.539531830004293
Binders,93694.90328964255,5.249413997410684
Bookcases,32991.12353289624,5.190827947060637
Chairs,16128.207894935105,5.202057322381261
Copiers,2102903.9982988248,3.3053633217993053
Envelopes,1245.053642255445,4.166780333560668
Fasteners,25.435801723231357,5.798381787678647
Furnishings,2779.99515164029,4.6432807154891265
Labels,1158.5361266245086,5.503803888419272
Machines,1197451.055379141,4.648015122873346
Paper,1239.9100057219475,4.976224625712613
Phones,12811.424370569854,4.788312597033357
Storage,6703.543054923987,4.800976923807768
Supplies,10979.433216813819,3.356814404432132
Tables,52993.57574633933,5.96601841569953
