Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity)
Copiers,55617.82490000005,234
Phones,44515.73060000001,3289
Accessories,41936.63569999995,2976
Paper,34053.569299999974,5178
Binders,30221.76330000005,5974
Chairs,26590.166300000037,2356
Storage,21278.826400000005,3158
Appliances,18138.00540000001,1729
Furnishings,13059.143600000003,3563
Envelopes,6964.176699999998,906
Art,6527.786999999999,3000
Labels,5546.2540000000035,1400
Machines,3384.756899999997,440
Fasteners,949.5181999999998,914
Supplies,-1189.0994999999987,647
Bookcases,-3472.5560000000005,868
Tables,-17725.48110000002,1241
