financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),Sum(financials.Profit),
High,United States of America,573500,1238760,91760,"91760,234248,326008"
High,United States of America,873750,922680,48930,"48930,326008,374938"
High,United States of America,729820,884205,154385,"154385,374938,529323"
High,United States of America,748250,808110,59860,"59860,636235.5,696095.5"
High,United States of America,601380,728595,127215,"127215,767818.5,895033.5"
High,United States of America,643500,656370,12870,"12870,1138216,1151086"
High,United States of America,635250,655578,20328,"20328,1151086,1171414"
High,United States of America,615000,634680,19680,"19680,1380746.25,1400426.25"
High,United States of America,256360,607376,94656,"94656,1412801.25,1507457.25"
High,United States of America,521820,597082.5,75262.5,"75262.5,1507457.25,1582719.75"
High,United States of America,252500,521160,16160,"16160,1916465.25,1932625.25"
High,United States of America,413460,387618.75,-25841.25,"-25841.25,2091919.25,2066078"
High,United States of America,306020,354277,48257,"48257,2267462,2315719"
High,United States of America,341280,305730,-35550,"-35550,2228394.25,2192844.25"
High,United States of America,255450,299171.25,43721.25,"43721.25,2157581.75,2201303"
High,United States of America,286440,262570,-23870,
High,United States of America,292560,259037.5,-33522.5,
High,United States of America,216480,202950,-13530,
High,United States of America,191520,179550,-11970,
High,United States of America,70200,83160,12960,
High,United States of America,25670,66998.7,15658.699999999997,
High,United States of America,69480,65137.5,-4342.5,
High,United States of America,8742,60144.96,42660.96,
High,United States of America,26410,45953.4,19543.4,
High,United States of America,31995,42713.325,10718.324999999999,
High,United States of America,14980,36071.84,6111.8399999999965,
High,United States of America,25480,33633.6,8153.5999999999985,
High,United States of America,17430,29979.6,12549.599999999999,
High,United States of America,17670,22794.3,5124.299999999999,
High,United States of America,6045,20794.8,14749.8,
High,United States of America,2742,18645.6,13161.599999999999,
High,United States of America,5418,18421.2,13003.2,
High,United States of America,11640,14666.4,3026.3999999999996,
High,United States of America,7900,10665,2765,
High,United States of America,6060,10423.2,4363.200000000001,
High,United States of America,7895,9837.17,1942.17,
High,United States of America,2670,9078,3738,
High,United States of America,6770,8936.4,2166.3999999999996,
High,United States of America,7192.5,8760.465,1567.9649999999992,
High,United States of America,1158,8337.6,6021.6,
High,United States of America,6490,7904.82,1414.8199999999997,
High,United States of America,1900,2367.4,467.4000000000001,
High,Canada,17430,44969.4,10109.400000000001,
High,Canada,684320,1602888,234248,"234248,0,234248"
High,Canada,374000,771936,23936,"23936,696095.5,720031.5"
