financials.Discount Band,financials.Product,financials.Segment,Sum(financials. Sales),
High,Amarilla,Channel Partners,213561.96,"213561.96,4474145.34,4687707.3"
High,Amarilla,Enterprise,1168165,"1168165,3305980.34,4474145.34"
High,Amarilla,Government,1268101.34,"1268101.34,2037879,3305980.34"
High,Amarilla,Midmarket,179722.575,"179722.575,4687707.3,4867429.875"
High,Amarilla,Small Business,2037879,"2037879,0,2037879"
High,Carretera,Channel Partners,37650.6,"37650.6,33484345.365000002,33521995.965000004"
High,Carretera,Enterprise,2276067.5,"2276067.5,27956835.015,30232902.515"
High,Carretera,Government,1508692,"1508692,31836645.515,33345337.515"
High,Carretera,Midmarket,139007.84999999998,"139007.84999999998,33345337.515,33484345.365000002"
High,Carretera,Small Business,1603743,"1603743,30232902.515,31836645.515"
High,Montana,Channel Partners,34405.92,"34405.92,37338080.805,37372486.725"
High,Montana,Enterprise,202950,"202950,37039756.455,37242706.455"
High,Montana,Government,2597354.4899999998,"2597354.4899999998,33521995.964999996,36119350.455"
High,Montana,Midmarket,95374.34999999999,"95374.34999999999,37242706.455,37338080.805"
High,Montana,Small Business,920406,"920406,36119350.455,37039756.455"
High,Paseo,Channel Partners,179104.5,"179104.5,15151121.909999998,15330226.409999998"
High,Paseo,Enterprise,796153.75,"796153.75,14124872.809999999,14921026.559999999"
High,Paseo,Government,6440376.934999999,"6440376.934999999,4867429.875,11307806.809999999"
High,Paseo,Midmarket,230095.35,"230095.35,14921026.559999999,15151121.909999998"
High,Paseo,Small Business,2817066,"2817066,11307806.809999999,14124872.809999999"
High,Velo,Channel Partners,40625.64,"40625.64,27916209.374999996,27956835.014999997"
High,Velo,Enterprise,893893.75,"893893.75,26884889.599999998,27778783.349999998"
High,Velo,Government,1959151.6400000001,"1959151.6400000001,24925737.959999997,26884889.599999998"
High,Velo,Midmarket,137426.025,"137426.025,27778783.349999998,27916209.374999996"
High,Velo,Small Business,3544335,"3544335,21381402.959999997,24925737.959999997"
High,VTT,Channel Partners,69944.76,"69944.76,21311458.2,21381402.96"
High,VTT,Enterprise,1191741.25,"1191741.25,19955488.7,21147229.95"
High,VTT,Government,2517714.29,"2517714.29,15330226.409999998,17847940.7"
High,VTT,Midmarket,164228.25,"164228.25,21147229.95,21311458.2"
High,VTT,Small Business,2107548,"2107548,17847940.7,19955488.7"
Low,Amarilla,Channel Partners,23629.32,"23629.32,34591720.13,34615349.45"
Low,Amarilla,Enterprise,407690,"407690,34184030.13,34591720.13"
Low,Amarilla,Government,2924807.2,"2924807.2,30296078.930000003,33220886.130000003"
Low,Amarilla,Midmarket,14429.25,"14429.25,34615349.45,34629778.7"
Low,Amarilla,Small Business,963144,"963144,33220886.130000003,34184030.13"
Low,Carretera,Channel Partners,128532.59999999999,"128532.59999999999,4476404.915000001,4604937.515000001"
Low,Carretera,Enterprise,646318.125,"646318.125,3830086.7900000005,4476404.915000001"
Low,Carretera,Government,2837905.7900000005,"2837905.7900000005,0,2837905.7900000005"
Low,Carretera,Small Business,992181,"992181,2837905.7900000005,3830086.7900000005"
Low,Montana,Channel Partners,43671.96,"43671.96,26394098.990000002,26437770.950000003"
Low,Montana,Enterprise,784857.5,"784857.5,24801953.19,25586810.69"
Low,Montana,Government,716839.2,"716839.2,25586810.69,26303649.89"
Low,Montana,Midmarket,90449.1,"90449.1,26303649.89,26394098.990000002"
Low,Montana,Small Business,2542743,"2542743,22259210.19,24801953.19"
Low,Paseo,Channel Partners,121974.05999999998,"121974.05999999998,15169990.14,15291964.200000001"
Low,Paseo,Enterprise,2792688.75,"2792688.75,12121888.59,14914577.34"
Low,Paseo,Government,3156239.575,"3156239.575,8965649.015,12121888.59"
Low,Paseo,Midmarket,255412.8,"255412.8,14914577.34,15169990.14"
Low,Paseo,Small Business,4360711.5,"4360711.5,4604937.515000001,8965649.015"
Low,Velo,Channel Partners,42031.44,"42031.44,30254047.49000001,30296078.93000001"
Low,Velo,Enterprise,801723.75,"801723.75,29452323.74000001,30254047.49000001"
Low,Velo,Government,3014552.790000001,"3014552.790000001,26437770.950000007,29452323.74000001"
Low,VTT,Channel Partners,61134.12,"61134.12,22147974.720000003,22209108.840000004"
Low,VTT,Enterprise,1008937.5,"1008937.5,21139037.220000003,22147974.720000003"
Low,VTT,Government,3971659.02,"3971659.02,15291964.200000001,19263623.220000003"
Low,VTT,Midmarket,50101.35,"50101.35,22209108.840000004,22259210.190000005"
Low,VTT,Small Business,1875414,"1875414,19263623.220000003,21139037.220000003"
Medium,Amarilla,Channel Partners,31323.72,"31323.72,38749107.114999995,38780430.83499999"
Medium,Amarilla,Enterprise,540315,"540315,38163483.489999995,38703798.489999995"
Medium,Amarilla,Government,4729707.569999999,"4729707.569999999,31840517.919999998,36570225.489999995"
Medium,Amarilla,Midmarket,45308.625,"45308.625,38703798.489999995,38749107.114999995"
Medium,Amarilla,Small Business,1593258,"1593258,36570225.489999995,38163483.489999995"
Medium,Carretera,Channel Partners,116655.48000000001,"116655.48000000001,14875169.129999999,14991824.61"
Medium,Carretera,Enterprise,281322.5,"281322.5,14593846.629999999,14875169.129999999"
Medium,Carretera,Government,1146006.29,"1146006.29,13447840.34,14593846.629999999"
Medium,Carretera,Midmarket,115257.15,"115257.15,14991824.61,15107081.76"
Medium,Carretera,Small Business,1314588,"1314588,12133252.34,13447840.34"
Medium,Montana,Channel Partners,135010.68,"135010.68,11953916.06,12088926.74"
Medium,Montana,Enterprise,1250723.75,"1250723.75,10703192.31,11953916.06"
Medium,Montana,Government,2181740.3300000005,"2181740.3300000005,8521451.98,10703192.31"
Medium,Montana,Midmarket,44325.600000000006,"44325.600000000006,12088926.74,12133252.34"
Medium,Montana,Small Business,2924389.5,"2924389.5,5597062.48,8521451.98"
Medium,Paseo,Channel Partners,107871.84000000001,"107871.84000000001,24944599.65,25052471.49"
Medium,Paseo,Enterprise,1679017.5,"1679017.5,22935565.95,24614583.45"
Medium,Paseo,Government,3743852.1900000004,"3743852.1900000004,19191713.759999998,22935565.95"
Medium,Paseo,Midmarket,330016.19999999995,"330016.19999999995,24614583.45,24944599.65"
Medium,Paseo,Small Business,4084632,"4084632,15107081.76,19191713.759999998"
Medium,Velo,Channel Partners,55794.96,"55794.96,31784722.960000005,31840517.920000006"
Medium,Velo,Enterprise,1264370,"1264370,30393280.610000003,31657650.610000003"
Medium,Velo,Government,2477166.62,"2477166.62,27916113.990000002,30393280.610000003"
Medium,Velo,Midmarket,127072.34999999999,"127072.34999999999,31657650.610000003,31784722.960000005"
Medium,Velo,Small Business,2863642.5,"2863642.5,25052471.490000002,27916113.990000002"
Medium,VTT,Channel Partners,135694.08000000002,"135694.08000000002,5288503.4,5424197.48"
Medium,VTT,Enterprise,99758.75,"99758.75,5424197.48,5523956.23"
Medium,VTT,Government,1175665.4000000001,"1175665.4000000001,4112838,5288503.4"
Medium,VTT,Midmarket,73106.25,"73106.25,5523956.23,5597062.48"
Medium,VTT,Small Business,4112838,"4112838,0,4112838"
None,Amarilla,Channel Partners,49128,"49128,1547720.5,1596848.5"
None,Amarilla,Enterprise,527437.5,"527437.5,1020283,1547720.5"
None,Amarilla,Government,1020283,"1020283,0,1020283"
None,Amarilla,Midmarket,9225,"9225,1596848.5,1606073.5"
None,Carretera,Government,588340,"588340,7272274,7860614"
None,Carretera,Midmarket,83040,"83040,7860614,7943654"
None,Montana,Channel Partners,48756,"48756,2382878,2431634"
None,Montana,Enterprise,376312.5,"376312.5,1606073.5,1982386"
None,Montana,Government,53002,"53002,2329876,2382878"
None,Montana,Midmarket,60090,"60090,2269786,2329876"
None,Montana,Small Business,287400,"287400,1982386,2269786"
None,Paseo,Channel Partners,45564,"45564,4302001,4347565"
None,Paseo,Government,1541762,"1541762,2431634,3973396"
None,Paseo,Midmarket,92205,"92205,4209796,4302001"
None,Paseo,Small Business,236400,"236400,3973396,4209796"
None,Velo,Channel Partners,44472,"44472,5331366,5375838"
None,Velo,Enterprise,621250,"621250,4347565,4968815"
None,Velo,Government,362551,"362551,4968815,5331366"
None,VTT,Channel Partners,34056,"34056,7238218,7272274"
None,VTT,Government,570790,"570790,6621438,7192228"
None,VTT,Midmarket,45990,"45990,7192228,7238218"
None,VTT,Small Business,1245600,"1245600,5375838,6621438"
