financials.Discount Band,financials.Product,financials.Segment,Sum(financials. Sales),Sum(financials.COGS),
High,Amarilla,Channel Partners,213561.96,60913.5,"213561.96,4474145.34,4687707.3"
High,Amarilla,Enterprise,1168165,1275240,"1168165,3305980.34,4474145.34"
High,Amarilla,Government,1268101.34,1026557.5,"1268101.34,2037879,3305980.34"
High,Amarilla,Midmarket,179722.575,135895,"179722.575,4687707.3,4867429.875"
High,Amarilla,Small Business,2037879,1938750,"2037879,0,2037879"
High,Carretera,Channel Partners,37650.6,10563,"37650.6,33484345.365000002,33521995.965000004"
High,Carretera,Enterprise,2276067.5,2497260,"2276067.5,27956835.015,30232902.515"
High,Carretera,Government,1508692,1244425,"1508692,31836645.515,33345337.515"
High,Carretera,Midmarket,139007.84999999998,106290,"139007.84999999998,33345337.515,33484345.365000002"
High,Carretera,Small Business,1603743,1529500,"1603743,30232902.515,31836645.515"
High,Montana,Channel Partners,34405.92,9795,"34405.92,37338080.805,37372486.725"
High,Montana,Enterprise,202950,216480,"202950,37039756.455,37242706.455"
High,Montana,Government,2597354.4899999998,2158750,"2597354.4899999998,33521995.964999996,36119350.455"
High,Montana,Midmarket,95374.34999999999,72060,"95374.34999999999,37242706.455,37338080.805"
High,Montana,Small Business,920406,876250,"920406,36119350.455,37039756.455"
High,Paseo,Channel Partners,179104.5,51187.5,"179104.5,15151121.909999998,15330226.409999998"
High,Paseo,Enterprise,796153.75,871800,"796153.75,14124872.809999999,14921026.559999999"
High,Paseo,Government,6440376.934999999,5401497.5,"6440376.934999999,4867429.875,11307806.809999999"
High,Paseo,Midmarket,230095.35,177020,"230095.35,14921026.559999999,15151121.909999998"
High,Paseo,Small Business,2817066,2660250,"2817066,11307806.809999999,14124872.809999999"
High,Velo,Channel Partners,40625.64,11739,"40625.64,27916209.374999996,27956835.014999997"
High,Velo,Enterprise,893893.75,982560,"893893.75,26884889.599999998,27778783.349999998"
High,Velo,Government,1959151.6400000001,1632845,"1959151.6400000001,24925737.959999997,26884889.599999998"
High,Velo,Midmarket,137426.025,105035,"137426.025,27778783.349999998,27916209.374999996"
High,Velo,Small Business,3544335,3397750,"3544335,21381402.959999997,24925737.959999997"
High,VTT,Channel Partners,69944.76,19962,"69944.76,21311458.2,21381402.96"
High,VTT,Enterprise,1191741.25,1308000,"1191741.25,19955488.7,21147229.95"
High,VTT,Government,2517714.29,2069930,"2517714.29,15330226.409999998,17847940.7"
High,VTT,Midmarket,164228.25,124815,"164228.25,21147229.95,21311458.2"
High,VTT,Small Business,2107548,2010500,"2107548,17847940.7,19955488.7"
Low,Amarilla,Channel Partners,23629.32,5967,"23629.32,34591720.13,34615349.45"
Low,Amarilla,Enterprise,407690,402000,"407690,34184030.13,34591720.13"
Low,Amarilla,Government,2924807.2,2235930,"2924807.2,30296078.930000003,33220886.130000003"
Low,Amarilla,Midmarket,14429.25,9920,"14429.25,34615349.45,34629778.7"
Low,Amarilla,Small Business,963144,819000,"963144,33220886.130000003,34184030.13"
Low,Carretera,Channel Partners,128532.59999999999,32670,"128532.59999999999,4476404.915000001,4604937.515000001"
Low,Carretera,Enterprise,646318.125,637920,"646318.125,3830086.7900000005,4476404.915000001"
Low,Carretera,Government,2837905.7900000005,2122615,"2837905.7900000005,0,2837905.7900000005"
Low,Carretera,Small Business,992181,854500,"992181,2837905.7900000005,3830086.7900000005"
Low,Montana,Channel Partners,43671.96,11199,"43671.96,26394098.990000002,26437770.950000003"
Low,Montana,Enterprise,784857.5,774480,"784857.5,24801953.19,25586810.69"
Low,Montana,Government,716839.2,532550,"716839.2,25586810.69,26303649.89"
Low,Montana,Midmarket,90449.1,62120,"90449.1,26303649.89,26394098.990000002"
Low,Montana,Small Business,2542743,2169750,"2542743,22259210.19,24801953.19"
Low,Paseo,Channel Partners,121974.05999999998,31192.5,"121974.05999999998,15169990.14,15291964.200000001"
Low,Paseo,Enterprise,2792688.75,2753880,"2792688.75,12121888.59,14914577.34"
Low,Paseo,Government,3156239.575,2388817.5,"3156239.575,8965649.015,12121888.59"
Low,Paseo,Midmarket,255412.8,174850,"255412.8,14914577.34,15169990.14"
Low,Paseo,Small Business,4360711.5,3730750,"4360711.5,4604937.515000001,8965649.015"
Low,Velo,Channel Partners,42031.44,10812,"42031.44,30254047.49000001,30296078.93000001"
Low,Velo,Enterprise,801723.75,785880,"801723.75,29452323.74000001,30254047.49000001"
Low,Velo,Government,3014552.790000001,2232730,"3014552.790000001,26437770.950000007,29452323.74000001"
Low,VTT,Channel Partners,61134.12,15783,"61134.12,22147974.720000003,22209108.840000004"
