financials.Discount Band,financials.Country,financials.Product,financials.Segment,Sum(financials.COGS),
High,Canada,Paseo,Government,1477815,"1477815,0,1477815"
High,Canada,Paseo,Small Business,559750,"559750,1477815,2037565"
High,Canada,Paseo,Enterprise,189960,"189960,2037565,2227525"
High,Canada,Paseo,Midmarket,99510,"99510,2227525,2327035"
High,Canada,Paseo,Channel Partners,18744,"18744,2327035,2345779"
High,Canada,VTT,Government,199985,"199985,7524014.5,7723999.5"
High,Canada,VTT,Small Business,441250,"441250,7082764.5,7524014.5"
High,Canada,VTT,Enterprise,847920,"847920,6234844.5,7082764.5"
High,Canada,VTT,Midmarket,15650,"15650,7723999.5,7739649.5"
High,Canada,VTT,Channel Partners,6327,"6327,7739649.5,7745976.5"
High,Canada,Velo,Government,693360,"693360,3583023.5,4276383.5"
High,Canada,Velo,Small Business,67250,"67250,4506303.5,4573553.5"
High,Canada,Velo,Enterprise,229920,"229920,4276383.5,4506303.5"
High,Canada,Velo,Midmarket,3840,"3840,4573553.5,4577393.5"
High,Canada,Amarilla,Government,779890,"779890,2345779,3125669"
High,Canada,Amarilla,Small Business,222000,"222000,3125669,3347669"
High,Canada,Amarilla,Enterprise,199080,"199080,3347669,3546749"
High,Canada,Amarilla,Midmarket,17430,"17430,3565593.5,3583023.5"
High,Canada,Amarilla,Channel Partners,18844.5,"18844.5,3546749,3565593.5"
High,Canada,Montana,Government,659250,"659250,4577393.5,5236643.5"
High,Canada,Montana,Midmarket,23000,"23000,5236643.5,5259643.5"
High,Canada,Carretera,Government,239980,"239980,5923563.5,6163543.5"
High,Canada,Carretera,Small Business,374000,"374000,5259643.5,5633643.5"
High,Canada,Carretera,Enterprise,289920,"289920,5633643.5,5923563.5"
High,Canada,Carretera,Midmarket,65490,"65490,6163543.5,6229033.5"
High,Canada,Carretera,Channel Partners,5811,"5811,6229033.5,6234844.5"
High,France,Paseo,Government,971425,"971425,0,971425"
High,France,Paseo,Enterprise,292920,"292920,971425,1264345"
High,France,Paseo,Midmarket,21670,"21670,1264345,1286015"
High,France,Paseo,Channel Partners,15049.5,"15049.5,1286015,1301064.5"
High,France,VTT,Government,343445,"343445,2529673.5,2873118.5"
High,France,VTT,Midmarket,60415,"60415,2873118.5,2933533.5"
High,France,VTT,Channel Partners,5202,"5202,2933533.5,2938735.5"
High,France,Velo,Government,200140,"200140,3151985.5,3352125.5"
High,France,Velo,Small Business,213250,"213250,2938735.5,3151985.5"
High,France,Velo,Enterprise,79560,"79560,3352125.5,3431685.5"
High,France,Velo,Midmarket,68235,"68235,3431685.5,3499920.5"
High,France,Amarilla,Government,31712.5,"31712.5,4503880.5,4535593"
High,France,Amarilla,Small Business,832000,"832000,3499920.5,4331920.5"
High,France,Amarilla,Enterprise,171960,"171960,4331920.5,4503880.5"
High,France,Amarilla,Midmarket,20720,"20720,4535593,4556313"
High,France,Amarilla,Channel Partners,11604,"11604,4556313,4567917"
High,France,Montana,Government,1465,"1465,5328387,5329852"
High,France,Montana,Small Business,739750,"739750,4567917,5307667"
High,France,Montana,Midmarket,20720,"20720,5307667,5328387"
High,France,Carretera,Government,490615,"490615,2035464.5,2526079.5"
High,France,Carretera,Enterprise,734400,"734400,1301064.5,2035464.5"
High,France,Carretera,Channel Partners,3594,"3594,2526079.5,2529673.5"
High,Germany,Paseo,Government,179120,"179120,3060000,3239120"
