financials.Discount Band,DUMMY_IDENTIFIER,financials.Country,financials.Product,financials.Segment,Sum(financials.COGS)
High,,Canada,Paseo,Government,1477815
High,,Canada,Paseo,Small Business,559750
High,,Canada,Paseo,Enterprise,189960
High,,Canada,Paseo,Midmarket,99510
High,,Canada,Paseo,Channel Partners,18744
High,,Canada,VTT,Government,199985
High,,Canada,VTT,Small Business,441250
High,,Canada,VTT,Enterprise,847920
High,,Canada,VTT,Midmarket,15650
High,,Canada,VTT,Channel Partners,6327
High,,Canada,Velo,Government,693360
High,,Canada,Velo,Small Business,67250
High,,Canada,Velo,Enterprise,229920
High,,Canada,Velo,Midmarket,3840
High,,Canada,Amarilla,Government,779890
High,,Canada,Amarilla,Small Business,222000
High,,Canada,Amarilla,Enterprise,199080
High,,Canada,Amarilla,Midmarket,17430
High,,Canada,Amarilla,Channel Partners,18844.5
High,,Canada,Montana,Government,659250
High,,Canada,Montana,Midmarket,23000
High,,Canada,Carretera,Government,239980
High,,Canada,Carretera,Small Business,374000
High,,Canada,Carretera,Enterprise,289920
High,,Canada,Carretera,Midmarket,65490
High,,Canada,Carretera,Channel Partners,5811
High,,France,Paseo,Government,971425
High,,France,Paseo,Enterprise,292920
High,,France,Paseo,Midmarket,21670
High,,France,Paseo,Channel Partners,15049.5
High,,France,VTT,Government,343445
High,,France,VTT,Midmarket,60415
High,,France,VTT,Channel Partners,5202
High,,France,Velo,Government,200140
High,,France,Velo,Small Business,213250
High,,France,Velo,Enterprise,79560
High,,France,Velo,Midmarket,68235
High,,France,Amarilla,Government,31712.5
High,,France,Amarilla,Small Business,832000
High,,France,Amarilla,Enterprise,171960
High,,France,Amarilla,Midmarket,20720
High,,France,Amarilla,Channel Partners,11604
High,,France,Montana,Government,1465
High,,France,Montana,Small Business,739750
High,,France,Montana,Midmarket,20720
High,,France,Carretera,Government,490615
High,,France,Carretera,Enterprise,734400
High,,France,Carretera,Channel Partners,3594
High,,Germany,Paseo,Government,179120
High,,Germany,Paseo,Small Business,541500
High,,Germany,Paseo,Enterprise,130200
High,,Germany,Paseo,Midmarket,14530
High,,Germany,Paseo,Channel Partners,3039
High,,Germany,VTT,Government,502910
High,,Germany,VTT,Enterprise,66240
High,,Germany,VTT,Midmarket,16670
High,,Germany,Velo,Government,15735
High,,Germany,Velo,Small Business,634000
High,,Germany,Velo,Midmarket,18510
High,,Germany,Velo,Channel Partners,4455
High,,Germany,Amarilla,Enterprise,379800
High,,Germany,Amarilla,Channel Partners,14448
High,,Germany,Montana,Government,540820
High,,Germany,Carretera,Government,211740
High,,Germany,Carretera,Small Business,702750
High,,Germany,Carretera,Enterprise,462240
High,,Germany,Carretera,Midmarket,15130
High,,Mexico,Paseo,Government,1907125
High,,Mexico,Paseo,Small Business,685250
High,,Mexico,Paseo,Enterprise,258720
High,,Mexico,Paseo,Midmarket,23640
High,,Mexico,Paseo,Channel Partners,1713
High,,Mexico,VTT,Government,26845
High,,Mexico,VTT,Small Business,108000
High,,Mexico,VTT,Enterprise,107400
High,,Mexico,VTT,Midmarket,6410
High,,Mexico,VTT,Channel Partners,3015
High,,Mexico,Velo,Government,461190
High,,Mexico,Velo,Small Business,651250
High,,Mexico,Velo,Enterprise,189000
High,,Mexico,Velo,Midmarket,6550
High,,Mexico,Velo,Channel Partners,4542
High,,Mexico,Amarilla,Government,144755
High,,Mexico,Amarilla,Small Business,136500
High,,Mexico,Amarilla,Enterprise,113640
High,,Mexico,Amarilla,Midmarket,40270
High,,Mexico,Amarilla,Channel Partners,1230
High,,Mexico,Montana,Government,67275
High,,Mexico,Montana,Small Business,136500
High,,Mexico,Montana,Midmarket,21570
High,,Mexico,Montana,Channel Partners,9795
High,,Mexico,Carretera,Government,269680
High,,Mexico,Carretera,Small Business,200250
High,,Mexico,Carretera,Enterprise,597240
High,,United States of America,Paseo,Government,866012.5
High,,United States of America,Paseo,Small Business,873750
High,,United States of America,Paseo,Midmarket,17670
High,,United States of America,Paseo,Channel Partners,12642
High,,United States of America,VTT,Government,996745
High,,United States of America,VTT,Small Business,1461250
High,,United States of America,VTT,Enterprise,286440
High,,United States of America,VTT,Midmarket,25670
High,,United States of America,VTT,Channel Partners,5418
High,,United States of America,Velo,Government,262420
High,,United States of America,Velo,Small Business,1832000
High,,United States of America,Velo,Enterprise,484080
High,,United States of America,Velo,Midmarket,7900
High,,United States of America,Velo,Channel Partners,2742
High,,United States of America,Amarilla,Government,70200
High,,United States of America,Amarilla,Small Business,748250
High,,United States of America,Amarilla,Enterprise,410760
High,,United States of America,Amarilla,Midmarket,57475
High,,United States of America,Amarilla,Channel Partners,14787
High,,United States of America,Montana,Government,889940
High,,United States of America,Montana,Enterprise,216480
High,,United States of America,Montana,Midmarket,6770
High,,United States of America,Carretera,Government,32410
High,,United States of America,Carretera,Small Business,252500
High,,United States of America,Carretera,Enterprise,413460
High,,United States of America,Carretera,Midmarket,25670
High,,United States of America,Carretera,Channel Partners,1158
Low,,Canada,Paseo,Government,783515
Low,,Canada,Paseo,Small Business,479000
Low,,Canada,Paseo,Enterprise,781440
