financials.Discount Band,financials.Segment,Sum(financials. Sales),Sum(financials.COGS),Sum(financials.Discounts),
High,Channel Partners,575293.3800000001,164160,81346.62,NaN
High,Enterprise,6528971.25,7151340,920341.25,NaN
High,Government,16291390.694999991,13534005,2314897.3049999997,NaN
High,Midmarket,945854.3999999998,721115,135818.10000000003,NaN
High,Small Business,13030977,12413000,1864623,NaN
Low,Channel Partners,420973.49999999994,107623.5,9520.500000000002,NaN
Low,Enterprise,6442215.625,6340440,162409.375,NaN
Low,Government,16622003.575,12534377.5,423711.925,NaN
Low,Midmarket,410392.50000000006,281480,11827.5,NaN
Low,Small Business,10734193.5,9177000,278206.5,NaN
Medium,Channel Partners,582350.76,156513,43701.240000000005,NaN
Medium,Enterprise,5115507.5,5270460,374555,NaN
Medium,Government,15454138.400000004,12028200,1160196.5999999982,NaN
Medium,Midmarket,735086.175,525485,53141.325,NaN
Medium,Small Business,16893348,15220250,1370952,NaN
None,Channel Partners,221976,55494,0,NaN
None,Enterprise,1525000,1464000,0,NaN
None,Government,4136728,3019505,0,NaN
None,Midmarket,290550,193700,0,NaN
None,Small Business,1769400,1474500,0,NaN
