financials.Country,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit),
United States of America,High,11140926.280000001,866326.7800000001,"11140926.280000001,0,11140926.280000001"
United States of America,Medium,7168350.749999999,912328.75,"7168350.749999999,11140926.280000001,18309277.03"
United States of America,Low,6273404.135000001,1147004.1349999998,"6273404.135000001,18309277.03,24582681.165000003"
United States of America,None,447149,69881,"447149,24582681.165000003,25029830.165000003"
Canada,High,8657237.659999998,911261.1599999999,"8657237.659999998,0,8657237.659999998"
Canada,Medium,7865428.355,1093780.855,"7865428.355,8657237.659999998,16522666.014999999"
Canada,Low,6537899.370000001,1140580.3699999999,"6537899.370000001,16522666.014999999,23060565.384999998"
Canada,None,1827089.5,383606.5,"1827089.5,23060565.384999998,24887654.884999998"
France,High,5865834.735,535982.735,"5865834.735,15971052.544999998,21836887.279999997"
France,Medium,10057889.36,1619256.8599999999,"10057889.36,0,10057889.36"
France,Low,5913163.185,1061776.1849999998,"5913163.185,10057889.36,15971052.544999998"
France,None,2517285,564005,"2517285,21836887.279999997,24354172.279999997"
Germany,High,4878794.360000001,424957.35999999987,"4878794.360000001,16140637.959999997,21019432.32"
Germany,Medium,5824029.879999998,823095.88,"5824029.879999998,10316608.08,16140637.959999997"
Germany,Low,10316608.08,1847355.0800000003,"10316608.08,0,10316608.08"
Germany,None,2485908.5,584980.5,"2485908.5,21019432.32,23505340.82"
Mexico,High,6829693.690000001,650338.6900000002,"6829693.690000001,7864732.489999999,14694426.18"
Mexico,Medium,7864732.489999999,1131060.4899999995,"7864732.489999999,0,7864732.489999999"
Mexico,Low,5588703.93,992141.93,"5588703.93,14694426.18,20283130.11"
Mexico,None,666222,133982,"666222,20283130.11,20949352.11"
