financials.Discount Band,financials.Product,financials.Country,Sum(financials. Sales),Sum(financials.Profit),Sum(financials.COGS),Sum(financials.Units Sold),
High,Amarilla,United States of America,1389351.7049999998,87879.70499999999,1301472,17362.5,"1301472,1237244.5,2538716.5"
High,Amarilla,Canada,1444328.95,207084.45,1237244.5,16252.5,"1237244.5,0,1237244.5"
High,Amarilla,France,1127490.17,59493.67,1067996.5,17043.5,"1067996.5,2538716.5,3606713"
High,Amarilla,Germany,403425.21,9177.21,394248,7981,
High,Amarilla,Mexico,502833.84,66438.84,436395,12669,"436395,3606713,4043108"
High,Carretera,United States of America,733882.4199999999,8684.419999999995,725198,12147.5,
High,Carretera,Canada,1039459.46,64258.46000000001,975201,13321,"975201,3687639,4662840"
High,Carretera,France,1275224.29,46615.28999999999,1228609,11629.5,"1228609,1391860,2620469"
High,Carretera,Germany,1435414.1,43554.09999999999,1391860,9690,"1391860,0,1391860"
High,Carretera,Mexico,1081180.68,14010.680000000008,1067170,11949,"1067170,2620469,3687639"
High,Montana,United States of America,1280259.7899999998,167069.79,1113190,12398.5,"1113190,0,1113190"
High,Montana,Canada,801257.2999999999,119007.3,682250,9098.5,"682250,1875125,2557375"
High,Montana,France,810911.86,48976.86,761935,5324,"761935,1113190,1875125"
High,Montana,Germany,652765.6,111945.6,540820,4957,"540820,2557375,3098195"
High,Montana,Mexico,305296.21,70156.21,235140,15453,
High,Paseo,United States of America,2002018.145,231943.64499999996,1770074.5,17386.5,"1770074.5,5222227,6992301.5"
High,Paseo,Canada,2741974.6700000004,396195.6699999999,2345779,32251.5,"2345779,2876448,5222227"
High,Paseo,France,1506131.11,205066.61000000002,1301064.5,22346.5,"1301064.5,6992301.5,8293366"
High,Paseo,Germany,973880.32,105491.31999999999,868389,14704,
High,Paseo,Mexico,3238792.29,362344.29,2876448,22687,"2876448,0,2876448"
High,Velo,United States of America,2683116.5,93974.5,2589142,14658,"2589142,0,2589142"
High,Velo,Canada,1102786.24,108416.23999999999,994370,7009,"994370,3901674,4896044"
High,Velo,France,647413.725,86228.725,561185,12973.5,
High,Velo,Germany,715723.68,43023.68,672700,8778,"672700,4896044,5568744"
High,Velo,Mexico,1426391.9100000001,113859.90999999999,1312532,8993,"1312532,2589142,3901674"
High,VTT,United States of America,3052297.72,276774.72000000003,2775523,18244,"2775523,0,2775523"
High,VTT,Canada,1527431.04,16299.04,1511132,16928.5,"1511132,2775523,4286655"
High,VTT,France,498663.57999999996,89601.57999999999,409062,10840.5,"409062,4872475,5281537"
High,VTT,Germany,697585.45,111765.45000000001,585820,5900,"585820,4286655,4872475"
High,VTT,Mexico,275198.76,23528.760000000002,251670,7109,
Low,Amarilla,United States of America,57517.32,32480.32,25037,3896,"25037,3435160,3460197"
Low,Amarilla,Canada,1160712,219432,941280,3694,"941280,1604850,2546130"
Low,Amarilla,France,23210.449999999997,10590.449999999999,12620,1262,
Low,Amarilla,Germany,2013046,408196,1604850,7408,"1604850,0,1604850"
Low,Amarilla,Mexico,1079214,190184,889030,4040,"889030,2546130,3435160"
Low,Carretera,United States of America,195163.59000000003,60263.590000000004,134900,6938,
Low,Carretera,Canada,1147437.29,283308.29,864129,10924.5,"864129,1088258,1952387"
Low,Carretera,France,1307678.055,219420.05500000002,1088258,11214.5,"1088258,0,1088258"
Low,Carretera,Germany,904615.0800000001,145517.08000000002,759098,6270,"759098,2753707,3512805"
Low,Carretera,Mexico,1050043.5,248723.5,801320,3101,"801320,1952387,2753707"
Low,Montana,United States of America,1551472.77,253076.77000000002,1298396,8170,"1298396,1651730,2950126"
Low,Montana,Canada,60165.42,17090.42,43075,6648,
Low,Montana,France,209105.05,32487.049999999996,176618,5107.5,"176618,3330406,3507024"
Low,Montana,Germany,1947668.8199999998,295938.82,1651730,9341,"1651730,0,1651730"
Low,Montana,Mexico,410148.7,29868.700000000004,380280,7733,"380280,2950126,3330406"
Low,Paseo,United States of America,3199430.3549999995,596478.3550000001,2602952,24457,"2602952,0,2602952"
Low,Paseo,Canada,2456023.2700000005,382373.26999999996,2073650,21481,"2073650,4693485,6767135"
Low,Paseo,France,2493695.79,403162.79000000004,2090533,24842.5,"2090533,2602952,4693485"
Low,Paseo,Germany,1756117.28,183424.28,1572693,12169.5,"1572693,6767135,8339828"
Low,Paseo,Mexico,781759.99,42097.99,739662,12157,
Low,Velo,United States of America,143747.85,36772.85,106975,4430,
Low,Velo,Canada,497812.96,70547.95999999999,427265,11520.5,"427265,2227280,2654545"
Low,Velo,France,824814.27,213794.27,611020,7735,"611020,1616260,2227280"
Low,Velo,Germany,2103251.5,486991.5,1616260,6652,"1616260,0,1616260"
Low,Velo,Mexico,288681.4,20779.4,267902,4135,"267902,2654545,2922447"
Low,VTT,United States of America,1126072.25,167932.25,958140,4186,"958140,3830910,4789050"
Low,VTT,Canada,1215748.43,167828.43,1047920,6872.5,"1047920,2782990,3830910"
Low,VTT,France,1054659.57,182321.57,872338,5574,
Low,VTT,Germany,1591909.4,327287.39999999997,1264622,10334,"1264622,1518368,2782990"
Low,VTT,Mexico,1978856.34,460488.33999999997,1518368,9565,"1518368,0,1518368"
Medium,Amarilla,United States of America,1323894.38,226059.38,1097835,8359,"1097835,2787472,3885307"
Medium,Amarilla,Canada,1250724.925,220344.92500000002,1030380,9285.5,"1030380,3885307,4915687"
Medium,Amarilla,France,1865246.51,331293.51,1533953,8648.5,"1533953,0,1533953"
Medium,Amarilla,Germany,1004539.55,170294.55,834245,9320,
Medium,Amarilla,Mexico,1495507.5499999998,241988.55000000002,1253519,11687,"1253519,1533953,2787472"
Medium,Carretera,United States of America,910793.54,169543.53999999998,741250,6732.5,"741250,0,741250"
Medium,Carretera,Canada,390937.58999999997,72353.59,318584,8940,"318584,2029803,2348387"
Medium,Carretera,France,807749.55,111939.55,695810,9034,"695810,741250,1437060"
Medium,Carretera,Germany,153021.5,26783.5,126238,5262,
Medium,Carretera,Mexico,711327.24,118584.24,592743,9704,"592743,1437060,2029803"
Medium,Montana,United States of America,803169.24,11300.239999999998,791869,10429,
Medium,Montana,Canada,1443967.81,148054.81,1295913,10213.5,"1295913,2108601,3404514"
Medium,Montana,France,2469385.46,360784.46,2108601,18951.5,"2108601,0,2108601"
Medium,Montana,Germany,918232.9500000001,128751.95000000001,789481,9151,"789481,3404514,4193995"
Medium,Montana,Mexico,901434.4,177414.4,724020,5140,"724020,4193995,4918015"
Medium,Paseo,United States of America,1723932.27,181687.26999999996,1542245,25568,"1542245,2847095,4389340"
Medium,Paseo,Canada,1705097.05,276687.05000000005,1428410,15955,"1428410,4389340,5817750"
Medium,Paseo,France,1589689.1600000001,227774.16,1361915,23868,
Medium,Paseo,Germany,1613763.1400000001,225488.13999999996,1388275,25934,"1388275,5817750,7206025"
Medium,Paseo,Mexico,3312908.1100000003,465813.11000000004,2847095,23321,"2847095,0,2847095"
Medium,Velo,United States of America,1119338.65,120548.65000000001,998790,13852,"998790,4419848,5418638"
Medium,Velo,Canada,1685766.1400000001,189879.14,1495887,13589.5,"1495887,1881481,3377368"
Medium,Velo,France,2280368.24,398887.24,1881481,14097,"1881481,0,1881481"
Medium,Velo,Germany,1177359.8199999998,134879.82,1042480,10908,"1042480,3377368,4419848"
Medium,Velo,Mexico,525213.58,35678.579999999994,489535,11919,
Medium,VTT,United States of America,1287222.67,203189.67,1084033,12070,"1084033,1202473.5,2286506.5"
Medium,VTT,Canada,1388934.8399999999,186461.34,1202473.5,13629.5,"1202473.5,0,1202473.5"
Medium,VTT,France,1045450.4400000001,188577.93999999997,856872.5,13504,"856872.5,2286506.5,3143379"
Medium,VTT,Germany,957112.92,136897.92,820215,11171,"820215,3143379,3963594"
Medium,VTT,Mexico,918341.61,91581.61,826760,9455,
None,Amarilla,United States of America,66354,42207,24147,5852,"24147,1248760,1272907"
None,Amarilla,France,1000480,266490,733990,4649,"733990,0,733990"
None,Amarilla,Germany,539239.5,24469.5,514770,5905.5,"514770,733990,1248760"
None,Carretera,Canada,32370,16185,16185,1618.5,"16185,461950,478135"
None,Carretera,France,32670,10890,21780,2178,"21780,440170,461950"
None,Carretera,Germany,569290,153820,415470,3722,"415470,0,415470"
None,Carretera,Mexico,37050,12350,24700,2470,"24700,415470,440170"
None,Montana,United States of America,9225,3075,6150,615,
None,Montana,Canada,406528.5,37714.5,368814,5528.5,"368814,0,368814"
None,Montana,France,37980,18990,18990,1899,"18990,657589,676579"
None,Montana,Germany,47377,22802,24575,4612,"24575,633014,657589"
None,Montana,Mexico,324450,60250,264200,3428,"264200,368814,633014"
None,Paseo,United States of America,18945,10494,8451,2055,"8451,1390580,1399031"
None,Paseo,Canada,708426,209762,498664,8504,"498664,656041,1154705"
None,Paseo,France,8235,2745,5490,549,
None,Paseo,Germany,886054,230013,656041,2886,"656041,0,656041"
None,Paseo,Mexico,294271,58396,235875,5117,"235875,1154705,1390580"
None,Velo,United States of America,352625,14105,338520,2821,"338520,272678,611198"
None,Velo,Canada,43125,1725,41400,345,"41400,827678,869078"
None,Velo,France,225500,9020,216480,1804,"216480,611198,827678"
None,Velo,Germany,396572,123894,272678,4712,"272678,0,272678"
None,Velo,Mexico,10451,2986,7465,1493,
None,VTT,Canada,636640,118220,518420,3818,"518420,956550,1474970"
None,VTT,France,1212420,255870,956550,5856,"956550,0,956550"
None,VTT,Germany,47376,29982,17394,3726,"17394,1474970,1492364"
