Trellis.Year,Trellis.Account Level 2,Sum(Trellis.PY),
2014,Income from discontinued operations,206,"206,435,641"
2014,Income tax expenses,123,"123,953,1076"
2014,Research and development expenses,178,"178,641,819"
2014,"Other financial income,net",134,"134,819,953"
2014,Cost of sales,122,"122,1076,1198"
2014,Other operating expenses,111,"111,1319,1430"
2014,Selling and general administrative expenses,-197,"-197,1430,1233"
2014,(Blank),435,"435,0,435"
2014,Consulting revenue,121,"121,1198,1319"
2015,Software revenue,465,"465,0,465"
2015,Income from discontinued operations,306,"306,788,1094"
2015,Income tax expenses,323,"323,465,788"
2015,Research and development expenses,228,"228,1895,2123"
2015,"Other financial income,net",234,"234,1661,1895"
2015,Cost of sales,222,"222,2123,2345"
2015,Support revenue,270,"270,1391,1661"
2015,Other operating expenses,211,"211,2345,2556"
2015,Selling and general administrative expenses,297,"297,1094,1391"
2015,Consulting revenue,-221,"-221,2556,2335"
2016,Software revenue,565,"565,0,565"
2016,Income from discontinued operations,406,"406,988,1394"
2016,Income tax expenses,423,"423,565,988"
2016,Research and development expenses,328,"328,2495,2823"
2016,"Other financial income,net",334,"334,2161,2495"
2016,Cost of sales,322,"322,2823,3145"
2016,Support revenue,370,"370,1791,2161"
2016,Other operating expenses,311,"311,3466,3777"
2016,Selling and general administrative expenses,397,"397,1394,1791"
2016,Consulting revenue,321,"321,3145,3466"
