financials.Discount Band,financials.Country,financials.COGS,Sum(financials. Sales),
High,United States of America,573500,1238760,"1238760,0,1238760"
High,United States of America,873750,922680,"922680,1238760,2161440"
High,United States of America,729820,884205,"884205,2161440,3045645"
High,United States of America,748250,808110,"808110,3045645,3853755"
High,United States of America,601380,728595,"728595,3853755,4582350"
High,United States of America,643500,656370,"656370,4582350,5238720"
High,United States of America,635250,655578,"655578,5238720,5894298"
High,United States of America,615000,634680,"634680,5894298,6528978"
High,United States of America,256360,607376,"607376,6528978,7136354"
High,United States of America,521820,597082.5,"597082.5,7136354,7733436.5"
High,United States of America,252500,521160,"521160,7733436.5,8254596.5"
High,United States of America,413460,387618.75,"387618.75,8254596.5,8642215.25"
High,United States of America,306020,354277,"354277,8642215.25,8996492.25"
High,United States of America,341280,305730,"305730,8996492.25,9302222.25"
High,United States of America,255450,299171.25,"299171.25,9302222.25,9601393.5"
High,United States of America,286440,262570,"262570,9601393.5,9863963.5"
High,United States of America,292560,259037.5,"259037.5,9863963.5,10123001"
High,United States of America,216480,202950,"202950,10123001,10325951"
High,United States of America,191520,179550,"179550,10325951,10505501"
High,United States of America,70200,83160,"83160,10505501,10588661"
High,United States of America,25670,66998.7,"66998.7,10588661,10655659.7"
High,United States of America,69480,65137.5,"65137.5,10655659.7,10720797.2"
High,United States of America,8742,60144.96,"60144.96,10720797.2,10780942.16"
High,United States of America,26410,45953.4,"45953.4,10780942.16,10826895.56"
High,United States of America,31995,42713.325,"42713.325,10826895.56,10869608.885"
High,United States of America,14980,36071.84,"36071.84,10869608.885,10905680.725"
High,United States of America,25480,33633.6,"33633.6,10905680.725,10939314.325"
High,United States of America,17430,29979.6,"29979.6,10939314.325,10969293.924999999"
High,United States of America,17670,22794.3,"22794.3,10969293.924999999,10992088.225"
High,United States of America,6045,20794.8,"20794.8,10992088.225,11012883.025"
High,United States of America,2742,18645.6,"18645.6,11012883.025,11031528.625"
High,United States of America,5418,18421.2,"18421.2,11031528.625,11049949.825"
High,United States of America,11640,14666.4,"14666.4,11049949.825,11064616.225"
High,United States of America,7900,10665,"10665,11064616.225,11075281.225"
High,United States of America,6060,10423.2,"10423.2,11075281.225,11085704.424999999"
High,United States of America,7895,9837.17,"9837.17,11085704.424999999,11095541.594999999"
High,United States of America,2670,9078,"9078,11095541.594999999,11104619.594999999"
High,United States of America,6770,8936.4,"8936.4,11104619.594999999,11113555.995"
