financials.Discount Band,financials.Country,Sum(financials. Sales),Sum(financials.Profit)
High,Canada,8657237.659999998,911261.1599999999
High,France,5865834.735,535982.735
High,Germany,4878794.360000001,424957.35999999987
High,Mexico,6829693.690000001,650338.6900000002
High,United States of America,11140926.280000001,866326.7800000001
Low,Canada,6537899.370000001,1140580.3699999999
Low,France,5913163.185,1061776.1849999998
Low,Germany,10316608.08,1847355.0800000003
Low,Mexico,5588703.93,992141.93
Low,United States of America,6273404.135000001,1147004.1349999998
Medium,Canada,7865428.355,1093780.855
Medium,France,10057889.36,1619256.8599999999
Medium,Germany,5824029.879999998,823095.88
Medium,Mexico,7864732.489999999,1131060.4899999995
Medium,United States of America,7168350.749999999,912328.75
None,Canada,1827089.5,383606.5
None,France,2517285,564005
None,Germany,2485908.5,584980.5
None,Mexico,666222,133982
None,United States of America,447149,69881
