financials.Discount Band,financials.Country,Sum(financials. Sales)
High,United States of America,11140926.280000001
High,Canada,8657237.659999998
High,France,5865834.735
High,Germany,4878794.360000001
High,Mexico,6829693.690000001
Low,United States of America,6273404.135000001
Low,Canada,6537899.370000001
Low,France,5913163.185
Low,Germany,10316608.08
Low,Mexico,5588703.93
Medium,United States of America,7168350.749999999
Medium,Canada,7865428.355
Medium,France,10057889.36
Medium,Germany,5824029.879999998
Medium,Mexico,7864732.489999999
None,United States of America,447149
None,Canada,1827089.5
None,France,2517285
None,Germany,2485908.5
None,Mexico,666222
