100.County,100.Invoice/Item Number,100.City,Sum(100.Sale (Dollars)),,Sum(100.State Bottle Cost),Sum(100.State Bottle Retail),Sum(100.Store Number)
Black Hawk,S28865700001,WATERLOO,104.58,"2538,30479,33017",11.62,17.43,2538
Black Hawk,S28866800001,WATERLOO,104.58,"2643,33017,35660",11.62,17.43,2643
Black Hawk,S28867900001,WATERLOO,160.02,"2538,17851,20389",35.55,53.34,2538
Black Hawk,S28868300001,WATERLOO,106.68,"2571,27908,30479",35.55,53.34,2571
Black Hawk,S28868400001,CEDAR FALLS,160.02,"2572,20389,22961",35.55,53.34,2572
Black Hawk,S28869800001,CEDAR FALLS,160.02,"4947,22961,27908",35.55,53.34,4947
Black Hawk,S29049100001,WATERLOO,384,"2538,5110,7648",6.4,9.6,2538
Black Hawk,S29049400001,CEDAR FALLS,192,"2572,7648,10220",6.4,9.6,2572
Black Hawk,S29049800001,WATERLOO,192,"2643,10220,12863",6.4,9.6,2643
Black Hawk,S29051000001,CEDAR FALLS,192,"4988,12863,17851",6.4,9.6,4988
Black Hawk,S29195700002,WATERLOO,651.36,"2538,2572,5110",18.09,27.14,2538
Black Hawk,S29196000002,CEDAR FALLS,1628.4,"2572,0,2572",18.09,27.14,2572
Bremer,S28868700001,WAVERLY,106.68,"2651,0,2651",35.55,53.34,2651
Buchanan,S28869300001,OSKALOOSA,53.34,"3735,5001,8736",35.55,53.34,3735
Buchanan,S28869900001,INDEPENDENCE,160.02,"5001,0,5001",35.55,53.34,5001
Buchanan,S29050500001,OSKALOOSA,28.8,"3735,8736,12471",6.4,9.6,3735
Carroll,S28867200001,COON RAPIDS,17.43,"4881,0,4881",11.62,17.43,4881
Cass,S28869600001,ATLANTIC,160.02,"4114,2591,6705",35.55,53.34,4114
Cass,S29196200002,ATLANTIC,651.36,"2591,0,2591",18.09,27.14,2591
Cerro Gordo,S29196100002,MASON CITY,1628.4,"2582,0,2582",18.09,27.14,2582
Clay,S28869700001,SPENCER,106.68,"4234,0,4234",35.55,53.34,4234
Clinton,S29050100001,CLINTON,192,"2806,0,2806",6.4,9.6,2806
Crawford,S29196300002,DENISON,162.84,"2595,0,2595",18.09,27.14,2595
Dallas,S28869000001,WAUKEE,106.68,"2665,2665,5330",35.55,53.34,2665
Dallas,S29197200002,WAUKEE,325.68,"2665,0,2665",18.09,27.14,2665
Dubuque,S29049600001,DUBUQUE,192,"2624,0,2624",6.4,9.6,2624
Emmet,S29195900002,ESTHERVILLE,325.68,"2556,0,2556",18.09,27.14,2556
Hardin,S28865800001,IOWA FALLS,104.58,"2539,2539,5078",11.62,17.43,2539
Hardin,S29199300001,IOWA FALLS,325.68,"2539,0,2539",18.09,27.14,2539
Harrison,S29050900001,DUNLAP,19.2,"4307,4152,8459",6.4,9.6,4307
Harrison,S29331500076,MISSOURI VALLEY,29.37,"4152,0,4152",19.58,29.37,4152
Henry,S29199600001,MOUNT PLEASANT,488.52,"2558,0,2558",18.09,27.14,2558
Howard,S29198900001,CRESCO,651.36,"2353,0,2353",18.09,27.14,2353
Ida,S28866900001,HOLSTEIN,17.43,"3650,10950,14600",11.62,17.43,3650
Ida,S28869200001,HOLSTEIN,53.34,"3650,7300,10950",35.55,53.34,3650
Ida,S29050400001,HOLSTEIN,76.8,"3650,3650,7300",6.4,9.6,3650
Ida,S29197800002,HOLSTEIN,488.52,"3650,0,3650",18.09,27.14,3650
