501.County,501.Invoice/Item Number,501.City,Sum(501.Sale (Dollars)),,Sum(501.State Bottle Cost),Sum(501.State Bottle Retail),Sum(501.Store Number)
(Blank),S09377500017,GUTTENBERG,20.25,"6.75,0,6.75",4.5,6.75,3782
Benton,S21245300045,SHELLSBURG,44.98,"22.49,20.79,43.28",14.99,22.49,4346
Benton,S26347500007,VINTON,249.48,"20.79,0,20.79",13.86,20.79,4228
Black Hawk,S05217600013,CEDAR FALLS,65.82,"10.97,655.1,666.07",7.31,10.97,4035
Black Hawk,S05219100034,CEDAR FALLS,197.88,"16.49,151.85000000000002,168.34000000000003",10.99,16.49,2572
Black Hawk,S07909400041,WATERLOO,44.96,"11.24,706.6,717.84",7.5,11.24,2571
Black Hawk,S08736600003,WATERLOO,215.52,"4.49,129.69,134.18",3,4.49,3929
Black Hawk,S09885000005,WATERLOO,134.88,"11.24,403.8800000000001,415.1200000000001",7.5,11.24,4221
Black Hawk,S11491100014,WATERLOO,111,"27.75,444.3600000000001,472.1100000000001",18.5,27.75,4647
Black Hawk,S11648200025,WATERLOO,94.02,"15.67,609.0500000000001,624.72",10.45,15.67,2575
Black Hawk,S12302500025,WATERLOO,51,"12.75,693.85,706.6",8.5,12.75,3929
Black Hawk,S12303800002,WATERLOO,143.52,"2.99,400.8900000000001,403.8800000000001",2,2.99,3847
Black Hawk,S15893000028,WATERLOO,28.52,"7.13,726.15,733.28",4.75,7.13,2575
Black Hawk,S16288500014,WATERLOO,302.28,"25.19,84.25,109.44",16.8,25.19,3740
Black Hawk,S16498700048,CEDAR FALLS,243,"20.25,109.44,129.69",13.5,20.25,2106
Black Hawk,S18740000061,WATERLOO,189,"15.75,197.14000000000001,212.89000000000001",10.5,15.75,2564
Black Hawk,S18973900054,WATERLOO,55.56,"27.78,666.07,693.85",18.52,27.78,2571
Black Hawk,S18977800006,WATERLOO,125.88,"10.49,415.1200000000001,425.6100000000001",6.49,10.49,2564
Black Hawk,S22524200055,EVANSDALE,23.64,"11.82,733.28,745.1",7.88,11.82,4222
Black Hawk,S22615600010,WATERLOO,162,"13.5,227.37,240.87",9,13.5,3993
Black Hawk,S23033500009,CEDAR FALLS,112.5,"18.75,425.6100000000001,444.3600000000001",12.5,18.75,4988
Black Hawk,S23493100011,CEDAR FALLS,33.24,"8.31,717.84,726.15",5.54,8.31,4907
Black Hawk,S24497500063,CEDAR FALLS,212.04,"17.67,134.18,151.85000000000002",11.78,17.67,2106
Black Hawk,S25525700025,CEDAR FALLS,22.68,"7.56,745.1,752.66",4.87,7.56,4958
Black Hawk,S26481800019,WATERLOO,173.76,"14.48,212.89000000000001,227.37",9.65,14.48,2575
Black Hawk,S26770700004,WATERLOO,91.14,"30.38,624.72,655.1",20.25,30.38,2836
Black Hawk,S26948200001,WATERLOO,6844.32,"20.37,0,20.37",13.58,20.37,3494
Black Hawk,S28099300138,CEDAR FALLS,97.48,"48.74,560.3100000000001,609.0500000000001",32.49,48.74,4988
Black Hawk,S28865700001,WATERLOO,104.58,"17.43,525.4500000000002,542.8800000000001",11.62,17.43,2538
Black Hawk,S28866800001,WATERLOO,104.58,"17.43,542.8800000000001,560.3100000000001",11.62,17.43,2643
Black Hawk,S28867900001,WATERLOO,160.02,"53.34,240.87,294.21000000000004",35.55,53.34,2538
Black Hawk,S28868300001,WATERLOO,106.68,"53.34,472.1100000000001,525.4500000000002",35.55,53.34,2571
Black Hawk,S28868400001,CEDAR FALLS,160.02,"53.34,294.21000000000004,347.55000000000007",35.55,53.34,2572
Black Hawk,S28869800001,CEDAR FALLS,160.02,"53.34,347.55000000000007,400.8900000000001",35.55,53.34,4947
Black Hawk,S29049100001,WATERLOO,384,"9.6,74.65,84.25",6.4,9.6,2538
Black Hawk,S29049400001,CEDAR FALLS,192,"9.6,168.34000000000003,177.94000000000003",6.4,9.6,2572
Black Hawk,S29049800001,WATERLOO,192,"9.6,177.94000000000003,187.54000000000002",6.4,9.6,2643
Black Hawk,S29051000001,CEDAR FALLS,192,"9.6,187.54000000000002,197.14000000000001",6.4,9.6,4988
Black Hawk,S29195700002,WATERLOO,651.36,"27.14,47.510000000000005,74.65",18.09,27.14,2538
Black Hawk,S29196000002,CEDAR FALLS,1628.4,"27.14,20.37,47.510000000000005",18.09,27.14,2572
Bremer,S04412300032,SUMNER,20.22,"6.74,79.42,86.16",4.5,6.74,3717
Bremer,S09409900025,TRIPOLI,22.6,"11.3,68.12,79.42",7.53,11.3,4670
Bremer,S21891700006,WAVERLY,177.36,"14.78,0,14.78",9.85,14.78,4754
Bremer,S28868700001,WAVERLY,106.68,"53.34,14.78,68.12",35.55,53.34,2651
Buchanan,S08938700013,INDEPENDENCE,11.02,"11.02,133.17000000000002,144.19000000000003",7.35,11.02,3885
Buchanan,S11435500030,OSKALOOSA,64.74,"10.79,59.440000000000005,70.23",7.2,10.79,3735
Buchanan,S12613400003,INDEPENDENCE,146.4,"6.1,53.34,59.440000000000005",3.67,6.1,3859
Buchanan,S28869300001,OSKALOOSA,53.34,"53.34,70.23,123.57000000000001",35.55,53.34,3735
Buchanan,S28869900001,INDEPENDENCE,160.02,"53.34,0,53.34",35.55,53.34,5001
