Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales),
January,Accessories,1337.8401999999996,111,5477.906,"5477.906,29643.427000000003,35121.333000000006"
January,Appliances,598.7946,40,3176.2439999999997,NaN
January,Art,232.84590000000006,131,914.3699999999999,NaN
January,Binders,2851.658599999999,244,12214.200999999997,"12214.200999999997,0,12214.200999999997"
January,Bookcases,-551.2196000000002,48,5352.3586,NaN
January,Chairs,901.6178999999995,61,11285.169000000002,NaN
January,Copiers,1499.9729999999997,9,3959.9179999999997,"3959.9179999999997,25683.509000000002,29643.427000000003"
January,Envelopes,299.96439999999996,41,749.8960000000001,NaN
January,Fasteners,14.975499999999997,32,87.66,NaN
January,Furnishings,404.10690000000005,184,3979.6220000000003,NaN
January,Labels,88.9434,39,206.66600000000003,NaN
January,Machines,69.85359999999935,19,7214.631,NaN
January,Paper,997.2702000000003,184,2263.6219999999994,NaN
January,Phones,1927.2269000000003,132,13469.308000000005,"13469.308000000005,12214.200999999997,25683.509000000002"
January,Storage,1029.0916999999997,123,9217.802000000001,"9217.802000000001,35121.333000000006,44339.13500000001"
January,Supplies,130.22110000000004,25,4403.37,NaN
January,Tables,-2698.7182000000003,52,10952.092,NaN
February,Accessories,1481.7838,83,5369.276000000001,"5369.276000000001,8989.934000000001,14359.210000000003"
February,Appliances,1111.5373999999997,77,4932.986000000001,"4932.986000000001,17171.868000000002,22104.854000000003"
February,Art,261.4203,90,1117.5140000000001,NaN
February,Binders,690.0397999999994,148,4236.981,NaN
February,Bookcases,249.99299999999988,18,1649.6234,NaN
February,Chairs,764.0064999999995,61,7582.94,NaN
February,Envelopes,303.1741,29,668.566,NaN
February,Fasteners,53.2447,50,159.312,NaN
February,Furnishings,234.9750999999999,91,2315.6739999999995,NaN
February,Labels,134.8464,40,299.88199999999995,NaN
February,Machines,2838.9813999999997,7,8989.934000000001,"8989.934000000001,0,8989.934000000001"
February,Paper,1223.7166000000002,137,2812.658000000001,"2812.658000000001,14359.210000000003,17171.868000000002"
February,Phones,1006.2468999999996,111,8984.207999999999,"8984.207999999999,22104.854000000003,31089.062"
February,Storage,478.0774999999999,79,6124.663999999999,NaN
February,Supplies,17.962200000000006,8,289.35,NaN
February,Tables,-555.395,38,4217.683,NaN
March,Accessories,2303.41,183,8766.637999999999,"8766.637999999999,74207.29500000001,82973.93300000002"
March,Appliances,204.41650000000007,120,6733.628,NaN
March,Art,311.0219000000001,184,1301.9739999999995,NaN
March,Binders,5130.071900000002,406,13888.734999999999,"13888.734999999999,25589.736,39478.471"
March,Bookcases,-681.6280000000004,61,7351.915800000001,NaN
March,Chairs,1752.0313999999987,170,21344.327000000005,NaN
March,Copiers,11044.399399999998,29,25589.736,"25589.736,0,25589.736"
March,Envelopes,684.8742999999997,74,1656.518,NaN
March,Fasteners,34.16739999999999,52,149.636,NaN
March,Furnishings,901.2433000000002,205,5159.046,NaN
March,Labels,437.719,78,940.108,NaN
March,Machines,975.3787999999972,36,35051.904,NaN
March,Paper,2743.3738000000008,376,6285.532,"6285.532,67921.763,74207.29500000001"
March,Phones,3043.8819999999987,261,28443.292,"28443.292,39478.471,67921.763"
March,Storage,1753.625899999999,211,14792.767999999996,NaN
March,Supplies,-843.6412000000005,27,10636.743999999999,NaN
March,Tables,-1199.6592000000003,91,16912.986999999997,NaN
April,Accessories,1831.9534999999998,171,7951.708,"7951.708,17608.912000000008,25560.620000000006"
April,Appliances,-292.43790000000087,110,6041.785999999999,NaN
April,Art,608.6155999999999,269,2407.16,NaN
April,Binders,786.0207999999968,412,13364.853999999998,NaN
April,Bookcases,38.394800000000004,71,4720.480599999999,NaN
April,Chairs,1659.5660999999984,130,18526.585,"18526.585,29524.764000000006,48051.349"
April,Copiers,1286.9638999999997,13,3879.892,NaN
April,Envelopes,424.06239999999997,51,945.282,NaN
April,Fasteners,55.44179999999999,76,258.404,NaN
April,Furnishings,1200.0488999999993,246,7538.361999999999,NaN
April,Labels,189.3442,85,430.032,NaN
April,Machines,96.0440999999978,29,18189.763,NaN
April,Paper,1678.5749000000003,254,3964.1439999999993,"3964.1439999999993,25560.620000000006,29524.764000000006"
April,Phones,2164.4611,206,17608.912000000008,"17608.912000000008,0,17608.912000000008"
April,Storage,1302.994900000001,208,15805.663999999995,"15805.663999999995,48051.349,63857.013"
April,Supplies,-4.929099999999892,54,6215.9439999999995,NaN
April,Tables,-1437.6837000000003,62,9913.155999999999,NaN
May,Accessories,2471.693100000001,195,9613.099999999999,"9613.099999999999,48974.541999999994,58587.64199999999"
May,Appliances,1279.4082,161,7769.11,NaN
May,Art,490.55060000000003,243,2230.8300000000004,NaN
May,Binders,2227.5669,413,9159.443999999998,"9159.443999999998,58587.64199999999,67747.086"
May,Bookcases,-238.5166000000002,60,6289.5817,NaN
May,Chairs,1769.1749999999997,191,25893.829999999998,NaN
May,Copiers,3719.9489999999987,29,18399.79,"18399.79,0,18399.79"
May,Envelopes,467.03940000000006,72,1096.06,NaN
May,Fasteners,26.798900000000003,44,109.30199999999999,NaN
May,Furnishings,1147.1356000000003,272,6893.428000000003,NaN
May,Labels,368.2847,120,863.118,NaN
May,Machines,1626.0846999999994,33,11267.722999999998,NaN
May,Paper,2721.289599999999,404,6213.21,"6213.21,42761.331999999995,48974.541999999994"
May,Phones,3261.2361999999985,238,24361.541999999994,"24361.541999999994,18399.79,42761.331999999995"
May,Storage,1392.2041999999985,193,14669.976000000002,NaN
May,Supplies,129.85219999999998,60,1153.636,NaN
May,Tables,-375.4959000000006,65,9288.291,NaN
