Orders.Quantity,Orders.Category,blank-axis-row,CountNonNull(Orders.Row ID),Sum(Orders.Discount),Min(Orders.Order ID),
1,Furniture,(Blank),946654,34.70999999999998,CA-2014-102295,"946654,0,946654"
1,Office Supplies,(Blank),2681005,83.89999999999998,CA-2014-100328,"2681005,0,2681005"
2,Furniture,(Blank),2510855,85.96999999999971,CA-2014-102652,"2510855,0,2510855"
2,Office Supplies,(Blank),7352206,223.30000000000027,CA-2014-100363,"7352206,0,7352206"
3,Furniture,(Blank),2717269,91.76999999999967,CA-2014-100090,"2717269,0,2717269"
3,Office Supplies,(Blank),6943679,215.8000000000001,CA-2014-100363,"6943679,0,6943679"
4,Furniture,(Blank),1279238,40.02999999999997,CA-2014-100916,"1279238,0,1279238"
4,Office Supplies,(Blank),3485116,117.29999999999997,CA-2014-100762,"3485116,0,3485116"
5,Furniture,(Blank),1307149,50.68999999999998,CA-2014-101560,"1307149,0,1307149"
5,Office Supplies,(Blank),3862149,114.39999999999995,CA-2014-100860,"3862149,0,3862149"
6,Furniture,(Blank),611108,21.37000000000001,CA-2014-100706,"611108,0,611108"
6,Office Supplies,(Blank),1827296,62.09999999999998,CA-2014-100090,"1827296,0,1827296"
7,Furniture,(Blank),554925,21.96000000000001,CA-2014-102652,"554925,0,554925"
7,Office Supplies,(Blank),1839853,60.6,CA-2014-101392,"1839853,0,1839853"
8,Furniture,(Blank),275757,8.300000000000002,CA-2014-108609,"275757,0,275757"
8,Office Supplies,(Blank),742372,29.800000000000004,CA-2014-104780,"742372,0,742372"
9,Furniture,(Blank),285326,9.370000000000001,CA-2014-103219,"285326,0,285326"
9,Office Supplies,(Blank),789505,23.7,CA-2014-110184,"789505,0,789505"
10,Furniture,(Blank),76481,1.87,CA-2014-111871,"76481,0,76481"
10,Office Supplies,(Blank),177036,7.2,CA-2014-117464,"177036,0,177036"
11,Furniture,(Blank),36708,0.4,CA-2014-116834,"36708,0,36708"
11,Office Supplies,(Blank),109004,2.5,CA-2014-122931,"109004,0,109004"
12,Furniture,(Blank),29617,1.2000000000000002,CA-2014-168494,"29617,0,29617"
12,Office Supplies,(Blank),51121,0.8,CA-2014-102673,"51121,0,51121"
13,Furniture,(Blank),22397,0.55,CA-2014-114321,"22397,0,22397"
13,Office Supplies,(Blank),95139,3.5,CA-2014-101364,"95139,0,95139"
14,Furniture,(Blank),39842,0.7,CA-2014-120768,"39842,0,39842"
14,Office Supplies,(Blank),65048,2.9000000000000004,CA-2014-115259,"65048,0,65048"
