Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Month,Orders.Order Date.Variation.Date Hierarchy.Day,Sum(Orders.Discount),Sum(Orders.Profit),Sum(Orders.Quantity),Sum(Orders.Sales),
2014,Qtr 1,January,3,0.2,5.551199999999998,2,16.448,"16.448,9717.002999999997,9733.450999999997"
2014,Qtr 1,January,4,1.2000000000000002,-65.99010000000001,8,288.06,"288.06,9733.450999999997,10021.510999999997"
2014,Qtr 1,January,5,0.2,4.884,3,19.536,"19.536,10021.510999999997,10041.046999999997"
2014,Qtr 1,January,6,0,1358.0523999999998,30,4407.1,"4407.1,10041.046999999997,14448.146999999997"
2014,Qtr 1,January,7,1.4,-71.96209999999999,10,87.158,"87.158,14448.146999999997,14535.304999999997"
2014,Qtr 1,January,9,0.4,10.917999999999996,5,40.544000000000004,"40.544000000000004,14535.304999999997,14575.848999999997"
2014,Qtr 1,January,10,0,22.6537,2,54.83,"54.83,14575.848999999997,14630.678999999996"
2014,Qtr 1,January,11,0,3.0813999999999995,2,9.94,"9.94,14630.678999999996,14640.618999999997"
2014,Qtr 1,January,13,1.0499999999999998,673.6385999999999,48,3553.795,"3553.795,14640.618999999997,18194.413999999997"
2014,Qtr 1,January,14,0.5,-53.28560000000001,4,61.96,"61.96,18194.413999999997,18256.373999999996"
2014,Qtr 1,January,15,0,65.97800000000001,5,149.95,"149.95,18256.373999999996,18406.323999999997"
2014,Qtr 1,January,16,1.5,-5.933500000000016,14,299.964,"299.964,18406.323999999997,18706.287999999997"
2014,Qtr 1,January,18,0.2,6.486400000000003,4,64.864,"64.864,18706.287999999997,18771.152"
2014,Qtr 1,January,19,1.8,-287.9976,24,378.59400000000005,"378.59400000000005,18771.152,19149.746"
2014,Qtr 1,January,20,0.7999999999999999,584.3694999999998,58,2673.8700000000003,"2673.8700000000003,19149.746,21823.615999999998"
2014,Qtr 1,January,21,0.2,4.102799999999999,3,25.248,"25.248,21823.615999999998,21848.863999999998"
2014,Qtr 1,January,23,0,19.2384,9,46.019999999999996,"46.019999999999996,21848.863999999998,21894.884"
2014,Qtr 1,January,26,0,150.327,38,1097.2500000000002,"1097.2500000000002,21894.884,22992.134"
2014,Qtr 1,January,27,0.2,9.682700000000004,8,426.66999999999996,"426.66999999999996,22992.134,23418.803999999996"
2014,Qtr 1,January,28,0.2,1.3256999999999999,1,3.9280000000000004,"3.9280000000000004,23418.803999999996,23422.731999999996"
2014,Qtr 1,January,30,0,11.650200000000002,4,240.5,"240.5,23422.731999999996,23663.231999999996"
2014,Qtr 1,January,31,0.15,3.4195999999999884,2,290.666,"290.666,23663.231999999996,23953.897999999997"
2014,Qtr 1,February,3,0.4,31.5614,5,97.11200000000001,"97.11200000000001,23953.897999999994,24051.009999999995"
2014,Qtr 1,February,4,0.4,51.1432,9,134.384,"134.384,24051.009999999995,24185.393999999993"
2014,Qtr 1,February,6,0.8,76.48329999999999,12,330.512,"330.512,24185.393999999993,24515.90599999999"
2014,Qtr 1,February,7,0,59.34880000000001,11,180.32,"180.32,24515.90599999999,24696.22599999999"
2014,Qtr 1,February,11,0,293.52849999999995,25,2043.4000000000005,"2043.4000000000005,24696.22599999999,26739.625999999993"
2014,Qtr 1,February,14,0.2,120.1764,10,576.726,"576.726,26739.625999999993,27316.35199999999"
2014,Qtr 1,February,15,0.2,7.209,5,21.36,"21.36,27316.35199999999,27337.711999999992"
2014,Qtr 1,February,16,1.6,-15.658000000000003,5,9.039999999999997,"9.039999999999997,27337.711999999992,27346.751999999993"
2014,Qtr 1,February,18,0.8,-13.846800000000002,7,37.784,"37.784,27346.751999999993,27384.535999999993"
2014,Qtr 1,February,20,0,35.5612,9,95.59,"95.59,27384.535999999993,27480.125999999993"
2014,Qtr 1,February,21,0.8,-13.717499999999998,5,8.849999999999998,"8.849999999999998,27480.125999999993,27488.97599999999"
2014,Qtr 1,February,23,1,-4.522499999999998,6,11.364,"11.364,27488.97599999999,27500.339999999993"
2014,Qtr 1,February,27,0.2,3.404799999999998,4,19.456000000000003,"19.456000000000003,27500.339999999993,27519.79599999999"
2014,Qtr 1,February,1,0,206.31600000000006,6,468.90000000000003,"468.90000000000003,27519.79599999999,27988.695999999993"
2014,Qtr 1,February,2,0.8999999999999999,7.152499999999996,12,211.64600000000002,"211.64600000000002,27988.695999999993,28200.341999999993"
2014,Qtr 1,February,8,0,5.5328,2,14.56,"14.56,28200.341999999993,28214.901999999995"
2014,Qtr 1,February,12,0.2,-24.29400000000002,2,129.568,"129.568,28214.901999999995,28344.469999999994"
2014,Qtr 1,February,17,0.2,8.808799999999998,14,54.208,"54.208,28344.469999999994,28398.677999999993"
2014,Qtr 1,February,22,0,9.3312,3,19.44,"19.44,28398.677999999993,28418.11799999999"
2014,Qtr 1,February,24,0.4,18.789299999999997,7,55.672000000000004,"55.672000000000004,28418.11799999999,28473.78999999999"
2014,Qtr 1,March,3,2.5,-629.7989000000001,35,1345.892,"1345.892,28473.789999999997,29819.681999999997"
2014,Qtr 1,March,4,0.2,20.07779999999996,8,370.45200000000006,"370.45200000000006,29819.681999999997,30190.134"
2014,Qtr 1,March,5,0.2,261.19010000000003,16,705.5620000000001,"705.5620000000001,30190.134,30895.696"
2014,Qtr 1,March,7,0.8,134.1538999999999,27,1561.062,"1561.062,30895.696,32456.758"
2014,Qtr 1,March,10,0.4,4.188599999999905,9,741.9560000000001,"741.9560000000001,32456.758,33198.714"
2014,Qtr 1,March,11,0.4,279.0610000000001,39,918.3140000000002,"918.3140000000002,33198.714,34117.028"
2014,Qtr 1,March,14,1.1,528.5023999999999,38,2108.55,"2108.55,34117.028,36225.578"
2014,Qtr 1,March,15,2,33.59799999999997,14,370.782,"370.782,36225.578,36596.36"
2014,Qtr 1,March,16,0.2,29.49500000000002,2,471.92,"471.92,36596.36,37068.28"
2014,Qtr 1,March,18,2.35,-954.7089000000026,48,28106.716,"28106.716,37068.28,65174.996"
2014,Qtr 1,March,19,1.9,68.63529999999997,23,590.7620000000001,"590.7620000000001,65174.996,65765.758"
2014,Qtr 1,March,21,1.2,1055.3735000000004,39,4109.816000000001,"4109.816000000001,65765.758,69875.57400000001"
2014,Qtr 1,March,23,0.4,126.92240000000002,11,945.064,"945.064,69875.57400000001,70820.638"
2014,Qtr 1,March,26,0.4,30.7658,16,145.13000000000002,"145.13000000000002,70820.638,70965.76800000001"
2014,Qtr 1,March,28,0.6000000000000001,-11.075399999999945,11,1823.8039999999999,"1823.8039999999999,70965.76800000001,72789.57200000001"
2014,Qtr 1,March,30,0.8500000000000001,232.75289999999998,39,1170.322,"1170.322,72789.57200000001,73959.89400000001"
2014,Qtr 1,March,31,3.7,355.1097000000001,29,1959.5519999999997,"1959.5519999999997,73959.89400000001,75919.44600000001"
2014,Qtr 1,March,1,2.5,-208.96140000000014,40,2203.1510000000003,"2203.1510000000003,75919.44600000001,78122.59700000001"
2014,Qtr 1,March,2,0.4,56.0112,11,202.38400000000001,"202.38400000000001,78122.59700000001,78324.98100000001"
2014,Qtr 1,March,17,2,-831.8571999999999,82,3960.358,"3960.358,78324.98100000001,82285.339"
2014,Qtr 1,March,22,1.8,-50.93450000000001,17,464.09299999999996,"464.09299999999996,82285.339,82749.432"
2014,Qtr 1,March,24,0,26.275799999999997,7,65.38,"65.38,82749.432,82814.812"
2014,Qtr 1,March,25,0.1,96.66839999999999,21,459.146,"459.146,82814.812,83273.958"
2014,Qtr 1,March,29,0.3,-152.7156,3,890.8409999999999,"890.8409999999999,83273.958,84164.799"
2014,Qtr 2,April,3,0,85.6044,7,233.45,"233.45,84164.79899999997,84398.24899999997"
2014,Qtr 2,April,4,0.2,105.4521,25,475.844,"475.844,84398.24899999997,84874.09299999996"
2014,Qtr 2,April,5,0.4,253.90440000000007,54,5295.097999999998,"5295.097999999998,84874.09299999996,90169.19099999996"
2014,Qtr 2,April,6,1.7000000000000002,299.51519999999994,38,1650.6900000000005,"1650.6900000000005,90169.19099999996,91819.88099999996"
2014,Qtr 2,April,7,0,305.05600000000004,22,1021.17,"1021.17,91819.88099999996,92841.05099999996"
2014,Qtr 2,April,11,1.4,523.2729,37,1915.2400000000002,"1915.2400000000002,92841.05099999996,94756.29099999997"
2014,Qtr 2,April,13,1.5,-384.79419999999993,42,638.5760000000001,"638.5760000000001,94756.29099999997,95394.86699999997"
2014,Qtr 2,April,15,0,107.99999999999999,6,294.71999999999997,"294.71999999999997,95394.86699999997,95689.58699999997"
2014,Qtr 2,April,16,0.2,9.768,6,39.072,"39.072,95689.58699999997,95728.65899999997"
2014,Qtr 2,April,18,1.1,169.9373999999999,26,1020.5319999999999,"1020.5319999999999,95728.65899999997,96749.19099999998"
2014,Qtr 2,April,19,0,87.5664,17,205.47,"205.47,96749.19099999998,96954.66099999998"
2014,Qtr 2,April,20,0.8,-194.45280000000008,16,1250.4499999999998,"1250.4499999999998,96954.66099999998,98205.11099999998"
2014,Qtr 2,April,21,0.2,5.5755,11,845.3599999999999,"845.3599999999999,98205.11099999998,99050.47099999998"
2014,Qtr 2,April,23,2.1999999999999997,-0.3052999999999848,20,643.9799999999999,"643.9799999999999,99050.47099999998,99694.45099999997"
2014,Qtr 2,April,26,0.4,40.74499999999998,16,282.56800000000004,"282.56800000000004,99694.45099999997,99977.01899999997"
2014,Qtr 2,April,28,0.8,292.1672000000001,29,2578.476,"2578.476,99977.01899999997,102555.49499999997"
2014,Qtr 2,April,30,0,276.4956,13,1048.74,"1048.74,102555.49499999997,103604.23499999997"
2014,Qtr 2,April,1,0.2,26.089599999999997,12,119.888,"119.888,103604.23499999997,103724.12299999998"
