Orders.City,Orders.Segment,Sum(Orders.Sales),
Aberdeen,Consumer,25.5,NaN
Abilene,Consumer,1.3919999999999997,NaN
Akron,Consumer,885.1879999999999,NaN
Akron,Corporate,1821.8719999999998,NaN
Akron,Home Office,22.926000000000002,NaN
Albuquerque,Consumer,179.796,NaN
Albuquerque,Corporate,957.9019999999998,NaN
Albuquerque,Home Office,1082.462,NaN
Alexandria,Consumer,130.82,NaN
Alexandria,Corporate,4444.139999999999,NaN
Alexandria,Home Office,944.61,NaN
Allen,Consumer,290.20599999999996,NaN
Allentown,Consumer,15.808000000000002,NaN
Allentown,Home Office,837.444,NaN
Altoona,Corporate,20.451,NaN
Amarillo,Consumer,3548.082,NaN
Amarillo,Corporate,224.98079999999996,NaN
Anaheim,Consumer,3464.83,NaN
Anaheim,Corporate,4522.04,NaN
Andover,Consumer,435.85,NaN
Ann Arbor,Corporate,736.473,NaN
Ann Arbor,Home Office,152.79999999999998,NaN
Antioch,Corporate,19.44,NaN
Apopka,Consumer,193.152,NaN
Apopka,Corporate,29.97000000000001,NaN
Apopka,Home Office,681.4320000000001,NaN
Apple Valley,Consumer,701.8599999999999,NaN
Apple Valley,Corporate,1295.0249999999999,NaN
Apple Valley,Home Office,56.136,NaN
Appleton,Consumer,1649.75,NaN
Appleton,Home Office,21.560000000000002,NaN
Arlington,Consumer,16545.547000000006,NaN
Arlington,Corporate,3395.669,NaN
Arlington,Home Office,273.316,NaN
Arlington Heights,Consumer,14.111999999999998,NaN
Arvada,Corporate,503.4000000000001,NaN
Asheville,Consumer,1432.2240000000002,NaN
Asheville,Corporate,43.152,NaN
Athens,Consumer,1421.94,NaN
Athens,Corporate,298.86999999999995,NaN
Atlanta,Consumer,12667.69,NaN
Atlanta,Corporate,3133.7999999999997,NaN
Atlanta,Home Office,1396.35,NaN
Atlantic City,Corporate,23.36,NaN
Auburn,Consumer,2562.2479999999996,NaN
Auburn,Corporate,584.9800000000001,NaN
Auburn,Home Office,7.9399999999999995,NaN
Aurora,Consumer,5521.7620000000015,NaN
Aurora,Corporate,2628.253,NaN
Aurora,Home Office,3506.463,NaN
Austin,Consumer,2055.8019999999997,NaN
Austin,Corporate,3145.4380000000006,NaN
Austin,Home Office,856.742,NaN
Avondale,Consumer,946.808,NaN
Bakersfield,Consumer,1312.464,NaN
Bakersfield,Corporate,36.16,NaN
Bakersfield,Home Office,28.666000000000004,NaN
Baltimore,Consumer,2432.9919999999997,NaN
Baltimore,Corporate,2344.53,NaN
Baltimore,Home Office,1379.3200000000002,NaN
Bangor,Corporate,1164.45,NaN
Bartlett,Consumer,88.96000000000001,NaN
Bayonne,Home Office,183.4,NaN
Baytown,Corporate,10.368000000000002,NaN
Beaumont,Consumer,459.348,NaN
Beaumont,Corporate,12.768,NaN
Bedford,Corporate,205.29600000000002,NaN
Bedford,Home Office,20.96,NaN
Belleville,Consumer,627.93,NaN
Belleville,Corporate,1263.67,NaN
Bellevue,Consumer,72.992,NaN
Bellevue,Corporate,5.28,NaN
Bellevue,Home Office,25.349999999999998,NaN
Bellingham,Consumer,2690.74,NaN
Bellingham,Corporate,1099.5,NaN
Bethlehem,Consumer,1556.6940000000002,NaN
Bethlehem,Corporate,132.94,NaN
Beverly,Corporate,2583.1899999999996,NaN
Billings,Corporate,8.288,NaN
Bloomington,Consumer,1204.804,NaN
Bloomington,Corporate,54.336000000000006,NaN
Bloomington,Home Office,308.59999999999997,NaN
Boca Raton,Consumer,63.00800000000001,NaN
Boise,Consumer,89.97,NaN
Boise,Corporate,1004.4999999999999,NaN
Bolingbrook,Consumer,208.328,NaN
Bolingbrook,Home Office,9.979999999999997,NaN
Bossier City,Corporate,1417.18,NaN
Bowling Green,Consumer,810.271,NaN
Bowling Green,Corporate,1267.104,NaN
Boynton Beach,Consumer,437.49700000000007,NaN
Boynton Beach,Home Office,32.088,NaN
Bozeman,Home Office,43.66,NaN
Brentwood,Consumer,488.668,NaN
Brentwood,Corporate,3779.9320000000002,NaN
Brentwood,Home Office,821.5140000000001,NaN
Bridgeton,Corporate,52.410000000000004,NaN
Bristol,Consumer,121.24,NaN
Bristol,Corporate,1062.382,NaN
Bristol,Home Office,67.56,NaN
Broken Arrow,Consumer,12.86,NaN
Broken Arrow,Corporate,1604.7300000000002,NaN
Broken Arrow,Home Office,821.94,NaN
Broomfield,Consumer,725.072,NaN
Broomfield,Corporate,68.43200000000002,NaN
Brownsville,Consumer,329.47679999999997,NaN
Brownsville,Corporate,247.78400000000002,NaN
Brownsville,Home Office,714.966,NaN
Bryan,Corporate,550.8159999999999,NaN
Bryan,Home Office,65.84,NaN
Buffalo,Consumer,7142.408000000001,NaN
Buffalo,Corporate,1921.0879999999997,NaN
Buffalo Grove,Consumer,831.399,NaN
Bullhead City,Consumer,22.288000000000004,NaN
Burbank,Home Office,3247.1580000000004,NaN
Burlington,Consumer,3638.228,NaN
Burlington,Corporate,15089.235999999997,NaN
Burlington,Home Office,2940.6180000000004,NaN
Caldwell,Corporate,455.63199999999995,NaN
Camarillo,Consumer,14.73,NaN
Camarillo,Corporate,1452.7875000000001,NaN
Cambridge,Home Office,502.09000000000003,NaN
Canton,Corporate,316.32,NaN
Canton,Home Office,501.81000000000006,NaN
Carlsbad,Consumer,39.176,NaN
Carlsbad,Corporate,151.88400000000001,NaN
Carlsbad,Home Office,228.28,NaN
Carol Stream,Consumer,1305.81,NaN
Carrollton,Consumer,2090.992,NaN
Carrollton,Corporate,109.65400000000001,NaN
Cary,Corporate,505.208,NaN
Cedar Hill,Consumer,7.080000000000001,NaN
Cedar Hill,Corporate,115.296,NaN
Cedar Rapids,Consumer,278.4,NaN
Champaign,Consumer,151.96,NaN
Chandler,Consumer,18.24,NaN
Chandler,Corporate,157.79500000000002,NaN
Chandler,Home Office,900.7120000000001,NaN
Chapel Hill,Corporate,14.015999999999998,NaN
Charlotte,Consumer,8036.739000000001,NaN
