Orders.State,Orders.Region,Sum(Orders.Profit),,Sum(Orders.Quantity)
Alabama,South,5786.825300000001,"5786.825300000001,0,5786.825300000001",256
Arizona,West,-3427.9246000000007,"-3427.9246000000007,0,-3427.9246000000007",862
Arkansas,South,4008.6870999999996,"4008.6870999999996,0,4008.6870999999996",240
California,West,76381.38710000005,"76381.38710000005,0,76381.38710000005",7667
Colorado,West,-6527.857900000002,"-6527.857900000002,0,-6527.857900000002",693
Connecticut,East,3511.4918000000002,"3511.4918000000002,0,3511.4918000000002",281
Delaware,East,9977.374800000001,"9977.374800000001,0,9977.374800000001",367
District of Columbia,East,1059.5893,"1059.5893,0,1059.5893",40
Florida,South,-3399.301700000003,"-3399.301700000003,0,-3399.301700000003",1379
Georgia,South,16250.043300000003,"16250.043300000003,0,16250.043300000003",705
Idaho,West,826.7231000000002,"826.7231000000002,0,826.7231000000002",64
Illinois,Central,-12607.887000000006,"-12607.887000000006,0,-12607.887000000006",1845
Indiana,Central,18382.936299999998,"18382.936299999998,0,18382.936299999998",578
Iowa,Central,1183.8119000000002,"1183.8119000000002,0,1183.8119000000002",112
Kansas,Central,836.4435000000001,"836.4435000000001,0,836.4435000000001",74
Kentucky,South,11199.696600000005,"11199.696600000005,0,11199.696600000005",523
Louisiana,South,2196.1023000000005,"2196.1023000000005,0,2196.1023000000005",156
Maine,East,454.4862,"454.4862,0,454.4862",35
Maryland,East,7031.178799999998,"7031.178799999998,0,7031.178799999998",420
Massachusetts,East,6785.5016,"6785.5016,0,6785.5016",491
Michigan,Central,24463.187600000012,"24463.187600000012,0,24463.187600000012",946
Minnesota,Central,10823.187399999999,"10823.187399999999,0,10823.187399999999",331
Mississippi,South,3172.9761999999987,"3172.9761999999987,0,3172.9761999999987",221
Missouri,Central,6436.210500000001,"6436.210500000001,0,6436.210500000001",252
Montana,West,1833.3284999999998,"1833.3284999999998,0,1833.3284999999998",56
Nebraska,Central,2037.0942000000002,"2037.0942000000002,0,2037.0942000000002",136
Nevada,West,3316.765899999999,"3316.765899999999,0,3316.765899999999",168
New Hampshire,East,1706.5028000000002,"1706.5028000000002,0,1706.5028000000002",127
New Jersey,East,9772.913799999997,"9772.913799999997,0,9772.913799999997",454
New Mexico,West,1157.1160999999997,"1157.1160999999997,0,1157.1160999999997",151
New York,East,74038.5486,"74038.5486,0,74038.5486",4224
North Carolina,South,-7490.912200000001,"-7490.912200000001,0,-7490.912200000001",983
North Dakota,Central,230.14969999999997,"230.14969999999997,0,230.14969999999997",30
Ohio,East,-16971.376600000003,"-16971.376600000003,0,-16971.376600000003",1759
Oklahoma,Central,4853.956,"4853.956,0,4853.956",247
Oregon,West,-1190.4705,"-1190.4705,0,-1190.4705",499
Pennsylvania,East,-15559.960300000006,"-15559.960300000006,0,-15559.960300000006",2153
Rhode Island,East,7285.629299999998,"7285.629299999998,0,7285.629299999998",199
South Carolina,South,1769.0566000000003,"1769.0566000000003,0,1769.0566000000003",172
South Dakota,Central,394.82830000000007,"394.82830000000007,0,394.82830000000007",42
Tennessee,South,-5341.6936000000005,"-5341.6936000000005,0,-5341.6936000000005",681
Texas,Central,-25729.356300000007,"-25729.356300000007,0,-25729.356300000007",3724
Utah,West,2546.5334999999995,"2546.5334999999995,0,2546.5334999999995",219
Vermont,East,2244.9782999999998,"2244.9782999999998,0,2244.9782999999998",50
Virginia,South,18597.950399999998,"18597.950399999998,0,18597.950399999998",893
Washington,West,33402.65170000002,"33402.65170000002,0,33402.65170000002",1883
West Virginia,East,185.9216,"185.9216,0,185.9216",18
Wisconsin,Central,8401.800399999996,"8401.800399999996,0,8401.800399999996",463
Wyoming,West,100.19599999999997,"100.19599999999997,0,100.19599999999997",4
