Overlapped data.Date.Variation.Date Hierarchy.Year,Overlapped data.Date.Variation.Date Hierarchy.Month,Sum(Overlapped data.Lower quartile 1),,Sum(Overlapped data.Lower quartile 2),Sum(Overlapped data.Lower quartile 3),Sum(Overlapped data.Median 1),Sum(Overlapped data.Median 3),Sum(Overlapped data.Upper quartile 1),Sum(Overlapped data.Upper Quartile 2),Sum(Overlapped data.Whisker Max 1),Sum(Overlapped data.Whisker Max 3),Sum(Overlapped data.Whisker Min 1),Sum(Overlapped data.Upper Quartile 3),Sum(Overlapped data.Whisker Min 3)
2022,November,71,,41,,82,,88,87,100,,28,,
2022,April,62,,40,,74,,84,78,93,,36,,
2022,December,57,,30,,63,,90,77,100,,42,,
2022,March,48,,34,,51,,87,81,99,,21,,
2022,September,48,,33,,58,,80,80,89,,26,,
2022,February,43,,42,,78,,90,58,95,,26,,
2022,May,42,,38,,63,,71,88,93,,10,,
2022,July,36,,32,,48,,61,67,91,,23,,
2022,October,36,,34,,51,,76,71,95,,20,,
2022,January,32,,38,,45,,56,75,99,,23,,
2022,August,31,,49,,41,,79,85,100,,25,,
2022,June,29,,37,,74,,89,84,94,,20,,
2023,November,,,38,50,,71,,73,,98,,80,20
2023,April,36,,43,,41,,63,63,87,,22,,
2023,December,,,43,36,,53,,76,,96,,78,24
2023,March,34,,56,,56,,82,73,98,,22,,
2023,September,,,37,30,,57,,77,,99,,67,26
2023,February,50,,46,,61,,70,83,96,,20,,
2023,May,39,,49,,44,,57,87,97,,28,,
2023,July,53,,37,,55,,72,70,96,,27,,
2023,October,,,30,66,,74,,68,,96,,91,22
2023,January,55,,45,,72,,83,78,97,,39,,
2023,August,,,27,35,,50,,75,,88,,77,24
2023,June,44,,44,,59,,62,61,95,,20,,
